node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-1.4e-05,0.0,0.000472,0.0205
2,315.0,545.596,-0.2,2e-06,8e-06,0.000472,0.0298
3,630.0,0.0,0.0,6e-06,4e-06,-0.000339,0.0289
4,630.0,0.0,-0.2,-6e-06,-1.3e-05,-0.000339,0.029
5,55.0,95.2628,0.0,-1e-05,9e-06,-0.000469,0.0309
6,55.0,95.2628,-0.2,1e-05,3e-06,-0.000469,0.0654
7,110.0,0.0,0.0,-5e-06,6e-06,-2.6e-05,0.0925
8,110.0,0.0,-0.2,2e-06,-2e-06,-2.6e-05,0.0437
9,63.0801,99.258,0.0,1e-06,0.0,-1e-06,0.1433
10,117.5,5.0,0.0,0.0,0.0,-0.0,0.0873
11,617.5,5.0,0.0,1e-06,-0.0,-3e-06,0.4519
12,314.0,533.864,0.0,-0.0,-0.0,5e-06,0.2275
13,301.645,173.0,-0.2,-0.0,-0.0,-3e-06,0.0918
14,63.0801,99.258,0.128,0.0,0.0,0.0,0.1678
15,117.5,5.0,0.128,0.0,0.0,0.0,0.1438
16,617.5,5.0,0.128,0.0,0.0,0.0,0.2116
17,314.0,533.864,0.128,0.0,0.0,0.0,0.7952
18,63.1803,99.4316,0.128,0.0,0.0,0.0,0.3795
19,117.801,194.038,0.128,0.0,0.0,0.0,0.8789
20,301.645,173.0,-0.4,0.0,0.0,0.0,0.2651
21,314.0,532.617,0.128,2e-06,-4e-06,-2.5e-05,1.2508
22,69.9103,101.088,0.128,2e-06,-4e-06,0.0,0.6524
23,122.5,10.0,0.128,3e-06,-2e-06,0.0,0.6034
24,312.41,521.11,0.128,1.2e-05,-2.4e-05,0.0,0.9129
25,607.5,10.0,0.128,-1.2e-05,5e-06,0.0,1.0702
26,69.9103,101.088,0.0,1e-06,-2e-06,8e-06,0.4652
27,122.5,10.0,0.0,3e-06,0.0,2.3e-05,0.7555
28,607.5,10.0,0.0,-7e-06,5e-06,5e-06,0.927
29,312.41,521.11,0.0,1.2e-05,-2.3e-05,1.8e-05,0.9425
30,117.5,5.0,0.628,0.0,0.0,0.0,1.2789
31,63.0801,99.6058,0.128,0.0,0.0,0.0,0.0
32,63.0801,99.6058,0.628,0.0,0.0,0.0,0.4355
33,617.5,5.0,0.628,0.0,0.0,0.0,0.0
34,314.0,532.617,0.628,-8e-06,-0.000402,-0.000704,1.2378
35,315.0,545.596,-0.1,-6e-06,4e-06,0.000472,0.0077
36,630.0,0.0,-0.1,0.0,-4e-06,-0.000339,0.0027
37,318.987,538.69,0.0,-1.2e-05,-1e-06,0.000394,0.043
38,322.975,531.783,0.0,-0.0,9e-06,0.000241,0.0541
39,326.962,524.877,0.0,7e-06,3e-06,0.00014,0.0673
40,330.949,517.971,0.0,-6e-06,-5e-06,0.000186,0.0455
41,334.937,511.065,0.0,-6e-06,-4e-06,0.000198,0.0374
42,338.924,504.158,0.0,-2e-06,-1e-06,5.7e-05,0.0629
43,342.911,497.252,0.0,-0.0,1e-06,-5.2e-05,0.0336
44,346.899,490.346,0.0,2e-06,-1e-06,-0.00024,0.0583
45,350.886,483.439,0.0,3e-06,6e-06,-0.000138,0.032
46,354.873,476.533,0.0,-3e-06,-2e-06,-3.4e-05,0.0162
47,358.861,469.627,0.0,-5e-06,-4e-06,-0.000109,0.0896
48,362.848,462.721,0.0,7e-06,3e-06,-0.000151,0.0621
49,366.835,455.814,0.0,-6e-06,0.0,-4e-05,0.057
50,370.823,448.908,0.0,4e-06,1e-06,-9.7e-05,0.0775
51,374.81,442.002,0.0,-2e-06,-0.0,-7.6e-05,0.0156
52,378.797,435.096,0.0,-1e-06,0.0,2.2e-05,0.0288
53,382.785,428.189,0.0,2e-06,-2e-06,-6.8e-05,0.0153
54,386.772,421.283,0.0,9e-06,4e-06,-0.000356,0.0299
55,390.759,414.377,0.0,4e-06,2e-06,-0.000272,0.0399
56,394.747,407.47,0.0,1e-06,5e-06,-6.3e-05,0.0315
57,398.734,400.564,0.0,-2e-06,-3e-06,-2e-06,0.0495
58,402.722,393.658,0.0,-6e-06,2e-06,0.000176,0.0533
59,406.709,386.752,0.0,-7e-06,-2e-06,0.000371,0.0375
60,410.696,379.845,0.0,-6e-06,-4e-06,0.000295,0.0495
61,414.684,372.939,0.0,6e-06,-1e-06,9e-06,0.0474
62,418.671,366.033,0.0,1e-05,1e-06,-0.000345,0.043
63,422.658,359.126,0.0,2.3e-05,2e-06,-0.000957,0.0819
64,426.646,352.22,0.0,2.6e-05,1e-05,-0.001503,0.094
65,430.633,345.314,0.0,2.4e-05,1.2e-05,-0.0016,0.0861
66,434.62,338.408,0.0,7e-06,1.5e-05,-0.001107,0.0908
67,438.608,331.501,0.0,-0.0,1.5e-05,-0.000324,0.0258
68,442.595,324.595,0.0,1.1e-05,1e-06,-0.00022,0.0764
69,446.582,317.689,0.0,2e-06,2e-06,-0.000387,0.0382
70,450.57,310.783,0.0,3e-06,1e-06,-0.000231,0.0691
71,454.557,303.876,0.0,4e-06,1e-06,-0.000305,0.0841
72,458.544,296.97,0.0,9e-06,-0.0,-0.000425,0.0356
73,462.532,290.064,0.0,9e-06,-5e-06,-0.000784,0.042
74,466.519,283.157,0.0,-1e-06,1.7e-05,-0.000721,0.0366
75,470.506,276.251,0.0,1.3e-05,4e-06,-0.000565,0.0439
76,474.494,269.345,0.0,9e-06,9e-06,-0.000688,0.0163
77,478.481,262.439,0.0,5e-06,3e-06,-0.000559,0.0422
78,482.468,255.532,0.0,3e-06,6e-06,-0.000455,0.09
79,486.456,248.626,0.0,-1e-06,2e-06,-0.000234,0.0678
80,490.443,241.72,0.0,-0.0,0.0,5e-06,0.0702
81,494.43,234.813,0.0,-3e-06,-2e-06,0.000125,0.0464
82,498.418,227.907,0.0,-1e-06,-5e-06,0.000139,0.0816
83,502.405,221.001,0.0,-8e-06,-4e-06,0.000237,0.0654
84,506.392,214.095,0.0,-1.1e-05,-5e-06,0.000385,0.0357
85,510.38,207.188,0.0,-7e-06,-5e-06,0.000419,0.085
86,514.367,200.282,0.0,-5e-06,-8e-06,0.000144,0.1077
87,518.354,193.376,0.0,3e-06,-9e-06,-0.000395,0.1123
88,522.342,186.47,0.0,-6e-06,-1e-06,-0.00051,0.1073
89,526.329,179.563,0.0,2e-06,4e-06,-0.000531,0.1469
90,530.316,172.657,0.0,-2e-06,6e-06,-0.000474,0.0288
91,534.304,165.751,0.0,-2e-06,4e-06,-0.000353,0.0435
92,538.291,158.844,0.0,1e-06,7e-06,-7e-06,0.0864
93,542.279,151.938,0.0,2e-06,-0.0,0.000144,0.1157
94,546.266,145.032,0.0,-2e-06,-9e-06,6.5e-05,0.0695
95,550.253,138.126,0.0,-7e-06,-6e-06,0.000149,0.0454
96,554.24,131.219,0.0,-1e-06,-8e-06,-1.3e-05,0.1733
97,558.228,124.313,0.0,1e-06,-4e-06,-0.000463,0.0753
98,562.215,117.407,0.0,1e-06,7e-06,-0.000612,0.0462
99,566.203,110.5,0.0,2e-06,7e-06,-0.000245,0.0219
100,570.19,103.594,0.0,6e-06,5e-06,-0.000233,0.0201
101,574.177,96.6879,0.0,1.1e-05,2e-06,-0.000176,0.0342
102,578.165,89.7816,0.0,1.2e-05,-8e-06,-0.000118,0.3973
103,582.152,82.8753,0.0,1.3e-05,-1.2e-05,-0.000796,0.1522
104,586.139,75.9691,0.0,1.1e-05,-1e-05,-0.00188,0.0479
105,590.127,69.0628,0.0,-2e-05,2.1e-05,-0.001412,0.1498
106,594.114,62.1565,0.0,-1e-05,6e-06,-0.000301,0.0747
107,598.101,55.2502,0.0,7e-06,2e-06,-0.000223,0.0448
108,602.089,48.3439,0.0,9e-06,3e-06,-0.000444,0.1369
109,606.076,41.4377,0.0,1.7e-05,6e-06,-0.000874,0.0441
110,610.063,34.5314,0.0,1e-05,-3e-06,-0.001346,0.0519
111,614.051,27.6251,0.0,-3e-06,1.6e-05,-0.001196,0.1393
112,618.038,20.7188,0.0,5e-06,4e-06,-0.000827,0.0826
113,622.025,13.8126,0.0,6e-06,7e-06,-0.000823,0.058
114,626.013,6.9063,0.0,1e-05,7e-06,-0.000625,0.0449
115,316.994,542.143,0.0,-1.2e-05,-0.0,0.000459,0.0251
116,320.981,535.237,0.0,-7e-06,4e-06,0.000308,0.0534
117,324.968,528.33,0.0,7e-06,9e-06,0.000186,0.0945
118,328.956,521.424,0.0,-0.0,-1e-06,0.000152,0.0366
119,332.943,514.518,0.0,-8e-06,-5e-06,0.000212,0.0389
120,336.93,507.611,0.0,-2e-06,-4e-06,0.00011,0.0393
121,340.918,500.705,0.0,-2e-06,-0.0,5e-06,0.0155
122,344.905,493.799,0.0,-2e-06,-1e-06,-0.000147,0.0299
123,348.892,486.893,0.0,3e-06,1e-06,-0.000235,0.0427
124,352.88,479.986,0.0,3e-06,2e-06,-5.9e-05,0.0205
125,356.867,473.08,0.0,-8e-06,-2e-06,-6.1e-05,0.0424
126,360.854,466.174,0.0,4e-06,-2e-06,-0.000147,0.0761
127,364.842,459.268,0.0,-1e-06,1e-06,-0.000108,0.0396
128,368.829,452.361,0.0,-1e-06,-0.0,-2.1e-05,0.0365
129,372.816,445.455,0.0,1e-06,-2e-06,-0.00013,0.0283
130,376.804,438.549,0.0,-0.0,1e-06,-7e-06,0.017
131,380.791,431.642,0.0,-0.0,-1e-06,1e-06,0.0432
132,384.778,424.736,0.0,4e-06,-0.0,-0.000211,0.03
133,388.766,417.83,0.0,4e-06,-2e-06,-0.000338,0.026
134,392.753,410.924,0.0,0.0,4e-06,-0.000153,0.025
135,396.741,404.017,0.0,1e-06,2e-06,2e-06,0.0419
136,400.728,397.111,0.0,-1e-06,-2e-06,3.2e-05,0.0622
137,404.715,390.205,0.0,-7e-06,0.0,0.000328,0.038
138,408.703,383.298,0.0,-8e-06,-6e-06,0.000347,0.0103
139,412.69,376.392,0.0,1e-06,-2e-06,0.000179,0.0266
140,416.677,369.486,0.0,9e-06,1e-06,-0.000166,0.0376
141,420.665,362.58,0.0,1.8e-05,1e-06,-0.000593,0.0371
142,424.652,355.673,0.0,2.6e-05,9e-06,-0.001312,0.0472
143,428.639,348.767,0.0,2.8e-05,1.5e-05,-0.001597,0.0597
144,432.627,341.861,0.0,1.7e-05,1.3e-05,-0.00146,0.0479
145,436.614,334.954,0.0,1e-06,1.4e-05,-0.000681,0.0696
146,440.601,328.048,0.0,7e-06,1.2e-05,-0.000152,0.0608
147,444.589,321.142,0.0,9e-06,1e-06,-0.000352,0.0396
148,448.576,314.236,0.0,2e-06,4e-06,-0.00029,0.0393
149,452.563,307.329,0.0,4e-06,2e-06,-0.000279,0.0151
150,456.551,300.423,0.0,6e-06,1e-06,-0.000343,0.0405
151,460.538,293.517,0.0,1e-05,-1e-06,-0.000568,0.0192
152,464.525,286.611,0.0,0.0,3e-06,-0.00089,0.0781
153,468.513,279.704,0.0,8e-06,7e-06,-0.000491,0.074
154,472.5,272.798,0.0,1.3e-05,7e-06,-0.000711,0.0331
155,476.487,265.892,0.0,9e-06,8e-06,-0.000592,0.0359
156,480.475,258.985,0.0,5e-06,4e-06,-0.000518,0.0228
157,484.462,252.079,0.0,3e-06,5e-06,-0.000359,0.2366
158,488.449,245.173,0.0,1e-06,3e-06,-0.0001,0.0435
159,492.437,238.267,0.0,-2e-06,-1e-06,7.2e-05,0.0415
160,496.424,231.36,0.0,-3e-06,-3e-06,0.00016,0.1205
161,500.411,224.454,0.0,-6e-06,-2e-06,0.000175,0.1042
162,504.399,217.548,0.0,-1.1e-05,-5e-06,0.00032,0.0235
163,508.386,210.641,0.0,-1.1e-05,-6e-06,0.000439,0.0448
164,512.373,203.735,0.0,-4e-06,-7e-06,0.000311,0.14
165,516.361,196.829,0.0,1e-06,-9e-06,-0.000125,0.1047
166,520.348,189.923,0.0,5e-06,-4e-06,-0.000541,0.0929
167,524.335,183.016,0.0,3e-06,-4e-06,-0.0005,0.0349
168,528.323,176.11,0.0,1e-06,8e-06,-0.00052,0.0229
169,532.31,169.204,0.0,-4e-06,4e-06,-0.000429,0.0171
170,536.297,162.298,0.0,-6e-06,5e-06,-0.000141,0.074
171,540.285,155.391,0.0,3e-06,8e-06,0.000109,0.0451
172,544.272,148.485,0.0,-2e-06,-8e-06,8.9e-05,0.1929
173,548.26,141.579,0.0,-4e-06,-6e-06,9.4e-05,0.0297
174,552.247,134.672,0.0,-3e-06,-7e-06,0.000124,0.1326
175,556.234,127.766,0.0,0.0,-8e-06,-0.000233,0.0847
176,560.221,120.86,0.0,-2e-06,5e-06,-0.000597,0.0382
177,564.209,113.954,0.0,2e-06,7e-06,-0.000353,0.0849
178,568.196,107.047,0.0,4e-06,6e-06,-0.000227,0.0333
179,572.184,100.141,0.0,9e-06,4e-06,-0.000218,0.0229
180,576.171,93.2348,0.0,1e-05,-2e-06,-0.000119,0.1423
181,580.158,86.3285,0.0,1.3e-05,-1.3e-05,-0.000374,0.5788
182,584.146,79.4222,0.0,1.6e-05,-1.2e-05,-0.001371,0.1016
183,588.133,72.5159,0.0,-2e-06,2e-06,-0.001992,0.1327
184,592.12,65.6096,0.0,-1.8e-05,1.5e-05,-0.000638,0.2381
185,596.108,58.7034,0.0,0.0,4e-06,-0.00024,0.054
186,600.095,51.7971,0.0,5e-06,2e-06,-0.000331,0.1609
187,604.082,44.8908,0.0,1.2e-05,8e-06,-0.000671,0.2581
188,608.07,37.9845,0.0,1.8e-05,1e-06,-0.001086,0.0658
189,612.057,31.0783,0.0,4e-06,6e-06,-0.001489,0.1905
190,616.044,24.172,0.0,3e-06,7e-06,-0.000857,0.039
191,620.032,17.2657,0.0,3e-06,7e-06,-0.000863,0.0798
192,624.019,10.3594,0.0,1.1e-05,8e-06,-0.000734,0.0618
193,628.006,3.4531,0.0,8e-06,5e-06,-0.000494,0.0326
194,318.987,538.69,-0.2,3e-06,1.3e-05,0.000394,0.0204
195,322.975,531.783,-0.2,1.2e-05,1.9e-05,0.000241,0.0453
196,326.962,524.877,-0.2,1.6e-05,9e-06,0.00014,0.0439
197,330.949,517.971,-0.2,4e-06,-2e-06,0.000186,0.01
198,334.937,511.065,-0.2,3e-06,4e-06,0.000198,0.0249
199,338.924,504.158,-0.2,-0.0,2e-06,5.7e-05,0.0501
200,342.911,497.252,-0.2,-2e-06,5e-06,-5.2e-05,0.042
201,346.899,490.346,-0.2,-4e-06,-0.0,-0.00024,0.0426
202,350.886,483.439,-0.2,-0.0,-4e-06,-0.000138,0.1101
203,354.873,476.533,-0.2,-4e-06,-3e-06,-3.4e-05,0.1677
204,358.861,469.627,-0.2,-1e-05,-3e-06,-0.000109,0.0502
205,362.848,462.721,-0.2,5e-06,0.0,-0.000151,0.1573
206,366.835,455.814,-0.2,-4e-06,-3e-06,-4e-05,0.0482
207,370.823,448.908,-0.2,2e-06,5e-06,-9.7e-05,0.0611
208,374.81,442.002,-0.2,-1e-06,-6e-06,-7.6e-05,0.1211
209,378.797,435.096,-0.2,-1e-06,-0.0,2.2e-05,0.0244
210,382.785,428.189,-0.2,-3e-06,1e-06,-6.8e-05,0.0288
211,386.772,421.283,-0.2,-3e-06,1e-06,-0.000356,0.0982
212,390.759,414.377,-0.2,-2e-06,-8e-06,-0.000272,0.0822
213,394.747,407.47,-0.2,1e-06,0.0,-6.3e-05,0.0835
214,398.734,400.564,-0.2,3e-06,2e-06,-2e-06,0.0568
215,402.722,393.658,-0.2,8e-06,-2e-06,0.000176,0.0358
216,406.709,386.752,-0.2,8e-06,7e-06,0.000371,0.0125
217,410.696,379.845,-0.2,3e-06,5e-06,0.000295,0.0325
218,414.684,372.939,-0.2,-2e-06,5e-06,9e-06,0.0748
219,418.671,366.033,-0.2,-8e-06,0.0,-0.000345,0.0698
220,422.658,359.126,-0.2,-1.8e-05,2e-06,-0.000957,0.0962
221,426.646,352.22,-0.2,-2e-05,-9e-06,-0.001503,0.0796
222,430.633,345.314,-0.2,-2.3e-05,-1.8e-05,-0.0016,0.1174
223,434.62,338.408,-0.2,-1.7e-05,-2.6e-05,-0.001107,0.11
224,438.608,331.501,-0.2,-9e-06,-8e-06,-0.000324,0.0663
225,442.595,324.595,-0.2,-1e-06,5e-06,-0.00022,0.1198
226,446.582,317.689,-0.2,-8e-06,-8e-06,-0.000387,0.0565
227,450.57,310.783,-0.2,-6e-06,-4e-06,-0.000232,0.08
228,454.557,303.876,-0.2,-6e-06,-4e-06,-0.000305,0.0181
229,458.544,296.97,-0.2,-1e-05,-5e-06,-0.000424,0.0497
230,462.532,290.064,-0.2,-1.9e-05,-6e-06,-0.000784,0.0862
231,466.519,283.157,-0.2,-1.7e-05,-1.1e-05,-0.000721,0.037
232,470.506,276.251,-0.2,-1.9e-05,-1e-06,-0.000565,0.0607
233,474.494,269.345,-0.2,-1e-05,-9e-06,-0.000688,0.1101
234,478.481,262.439,-0.2,-1.5e-05,-9e-06,-0.00056,0.2182
235,482.468,255.532,-0.2,-8e-06,-5e-06,-0.000456,0.1591
236,486.456,248.626,-0.2,-3e-06,-7e-06,-0.000234,0.0682
237,490.443,241.72,-0.2,5e-06,-1e-06,5e-06,0.0572
238,494.43,234.813,-0.2,4e-06,-1e-06,0.000125,0.0623
239,498.418,227.907,-0.2,5e-06,-0.0,0.000139,0.0155
240,502.405,221.001,-0.2,7e-06,0.0,0.000237,0.0232
241,506.392,214.095,-0.2,7e-06,3e-06,0.000385,0.0804
242,510.38,207.188,-0.2,8e-06,7e-06,0.000419,0.0204
243,514.367,200.282,-0.2,-1e-06,8e-06,0.000142,0.4483
244,518.354,193.376,-0.2,-6e-06,-3e-06,-0.000395,0.1632
245,522.342,186.47,-0.2,-1.5e-05,-1.3e-05,-0.00051,0.058
246,526.329,179.563,-0.2,-1.5e-05,-4e-06,-0.000531,0.1521
247,530.316,172.657,-0.2,-1.3e-05,-3e-06,-0.000474,0.0914
248,534.304,165.751,-0.2,-6e-06,-6e-06,-0.000353,0.3392
249,538.291,158.844,-0.2,6e-06,3e-06,-7e-06,0.0588
250,542.279,151.938,-0.2,7e-06,5e-06,0.000144,0.0461
251,546.266,145.032,-0.2,2e-06,-7e-06,6.5e-05,0.1134
252,550.253,138.126,-0.2,2e-06,-4e-06,0.000149,0.0305
253,554.24,131.219,-0.2,-7e-06,1e-06,-1.2e-05,0.0863
254,558.228,124.313,-0.2,-1.4e-05,-1e-06,-0.000463,0.1775
255,562.215,117.407,-0.2,-7e-06,-1.1e-05,-0.000611,0.041
256,566.203,110.5,-0.2,-7e-06,-0.0,-0.000245,0.022
257,570.19,103.594,-0.2,-5e-06,-1e-06,-0.000233,0.0246
258,574.177,96.6879,-0.2,2e-06,-7e-06,-0.000175,0.0171
259,578.165,89.7816,-0.2,2e-06,-1e-05,-0.000118,0.1751
260,582.152,82.8753,-0.2,-2.8e-05,-4e-06,-0.000796,0.0736
261,586.139,75.9691,-0.2,-4.8e-05,-1.7e-05,-0.00188,0.0437
262,590.127,69.0628,-0.2,-2.1e-05,-3.4e-05,-0.001412,0.0559
263,594.114,62.1565,-0.2,-1.5e-05,-3e-06,-0.000301,0.0357
264,598.101,55.2502,-0.2,-4e-06,-2e-06,-0.000223,0.0343
265,602.089,48.3439,-0.2,-1.3e-05,-1e-06,-0.000444,0.0246
266,606.076,41.4377,-0.2,-2.2e-05,-6e-06,-0.000874,0.3446
267,610.063,34.5314,-0.2,-4.3e-05,-1.3e-05,-0.001346,0.0488
268,614.051,27.6251,-0.2,-2.3e-05,-2.4e-05,-0.001196,0.1939
269,618.038,20.7188,-0.2,-2.5e-05,-7e-06,-0.000827,0.0518
270,622.025,13.8126,-0.2,-1.9e-05,-1.1e-05,-0.000823,0.0509
271,626.013,6.9063,-0.2,-9e-06,-1.1e-05,-0.000625,0.0276
272,316.994,542.143,-0.2,3e-06,1.1e-05,0.000459,0.0259
273,320.981,535.237,-0.2,6e-06,1.6e-05,0.000308,0.0165
274,324.968,528.33,-0.2,1.7e-05,1.8e-05,0.000186,0.0305
275,328.956,521.424,-0.2,9e-06,3e-06,0.000152,0.0139
276,332.943,514.518,-0.2,2e-06,0.0,0.000212,0.0261
277,336.93,507.611,-0.2,2e-06,3e-06,0.00011,0.015
278,340.918,500.705,-0.2,-2e-06,3e-06,5e-06,0.0225
279,344.905,493.799,-0.2,-6e-06,2e-06,-0.000147,0.0245
280,348.892,486.893,-0.2,-0.0,-4e-06,-0.000235,0.0275
281,352.88,479.986,-0.2,1e-06,-2e-06,-5.9e-05,0.0959
282,356.867,473.08,-0.2,-1e-05,-2e-06,-6.1e-05,0.0816
283,360.854,466.174,-0.2,0.0,-3e-06,-0.000147,0.0566
284,364.842,459.268,-0.2,-0.0,-2e-06,-0.000108,0.0369
285,368.829,452.361,-0.2,-1e-06,1e-06,-2.1e-05,0.0864
286,372.816,445.455,-0.2,0.0,-3e-06,-0.00013,0.0783
287,376.804,438.549,-0.2,-1e-06,-2e-06,-7e-06,0.0511
288,380.791,431.642,-0.2,-3e-06,1e-06,2e-06,0.0192
289,384.778,424.736,-0.2,-6e-06,2e-06,-0.000211,0.0457
290,388.766,417.83,-0.2,-4e-06,-9e-06,-0.000338,0.0545
291,392.753,410.924,-0.2,-3e-06,-3e-06,-0.000153,0.0511
292,396.741,404.017,-0.2,3e-06,2e-06,2e-06,0.0292
293,400.728,397.111,-0.2,9e-06,-1e-06,3.2e-05,0.0829
294,404.715,390.205,-0.2,8e-06,3e-06,0.000328,0.0226
295,408.703,383.298,-0.2,3e-06,3e-06,0.000347,0.0322
296,412.69,376.392,-0.2,1e-06,6e-06,0.000179,0.0522
297,416.677,369.486,-0.2,-4e-06,4e-06,-0.000166,0.0535
298,420.665,362.58,-0.2,-1.2e-05,2e-06,-0.000594,0.162
299,424.652,355.673,-0.2,-1.8e-05,-1e-06,-0.001312,0.0956
300,428.639,348.767,-0.2,-1.9e-05,-1e-05,-0.001598,0.1401
301,432.627,341.861,-0.2,-1.9e-05,-2.2e-05,-0.00146,0.1253
302,436.614,334.954,-0.2,-1.6e-05,-1.8e-05,-0.000681,0.105
