node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-6e-06,0.0,0.000202,0.0088
2,315.0,545.596,-0.2,1e-06,4e-06,0.000202,0.0128
3,630.0,0.0,0.0,3e-06,2e-06,-0.000145,0.0124
4,630.0,0.0,-0.2,-3e-06,-5e-06,-0.000145,0.0124
5,55.0,95.2628,0.0,-4e-06,4e-06,-0.000201,0.0133
6,55.0,95.2628,-0.2,4e-06,1e-06,-0.000201,0.028
7,110.0,0.0,0.0,-2e-06,3e-06,-1.1e-05,0.0396
8,110.0,0.0,-0.2,1e-06,-1e-06,-1.1e-05,0.0187
9,63.0801,99.258,0.0,0.0,0.0,-0.0,0.0614
10,117.5,5.0,0.0,0.0,0.0,-0.0,0.0374
11,617.5,5.0,0.0,0.0,-0.0,-1e-06,0.1937
12,314.0,533.864,0.0,-0.0,-0.0,2e-06,0.0975
13,301.645,173.0,-0.2,-0.0,-0.0,-1e-06,0.0393
14,63.0801,99.258,0.128,0.0,0.0,0.0,0.0719
15,117.5,5.0,0.128,0.0,0.0,0.0,0.0616
16,617.5,5.0,0.128,0.0,0.0,0.0,0.0907
17,314.0,533.864,0.128,0.0,0.0,0.0,0.3408
18,63.1803,99.4316,0.128,0.0,0.0,0.0,0.1626
19,117.801,194.038,0.128,0.0,0.0,0.0,0.3767
20,301.645,173.0,-0.4,0.0,0.0,0.0,0.1136
21,314.0,532.617,0.128,1e-06,-2e-06,-1.1e-05,0.536
22,69.9103,101.088,0.128,1e-06,-2e-06,0.0,0.2796
23,122.5,10.0,0.128,1e-06,-1e-06,0.0,0.2586
24,312.41,521.11,0.128,5e-06,-1e-05,0.0,0.3912
25,607.5,10.0,0.128,-5e-06,2e-06,0.0,0.4587
26,69.9103,101.088,0.0,0.0,-1e-06,3e-06,0.1994
27,122.5,10.0,0.0,1e-06,0.0,1e-05,0.3238
28,607.5,10.0,0.0,-3e-06,2e-06,2e-06,0.3973
29,312.41,521.11,0.0,5e-06,-1e-05,8e-06,0.4039
30,117.5,5.0,0.628,0.0,0.0,0.0,0.5481
31,63.0801,99.6058,0.128,0.0,0.0,0.0,0.0
32,63.0801,99.6058,0.628,0.0,0.0,0.0,0.1867
33,617.5,5.0,0.628,0.0,0.0,0.0,0.0
34,314.0,532.617,0.628,-4e-06,-0.000172,-0.000302,0.5305
35,315.0,545.596,-0.1,-3e-06,2e-06,0.000202,0.0033
36,630.0,0.0,-0.1,0.0,-2e-06,-0.000145,0.0012
37,318.987,538.69,0.0,-5e-06,-0.0,0.000169,0.0184
38,322.975,531.783,0.0,-0.0,4e-06,0.000103,0.0232
39,326.962,524.877,0.0,3e-06,1e-06,6e-05,0.0288
40,330.949,517.971,0.0,-3e-06,-2e-06,8e-05,0.0195
41,334.937,511.065,0.0,-3e-06,-2e-06,8.5e-05,0.016
42,338.924,504.158,0.0,-1e-06,-1e-06,2.4e-05,0.0269
43,342.911,497.252,0.0,-0.0,0.0,-2.2e-05,0.0144
44,346.899,490.346,0.0,1e-06,-0.0,-0.000103,0.025
45,350.886,483.439,0.0,1e-06,2e-06,-5.9e-05,0.0137
46,354.873,476.533,0.0,-1e-06,-1e-06,-1.5e-05,0.007
47,358.861,469.627,0.0,-2e-06,-2e-06,-4.7e-05,0.0384
48,362.848,462.721,0.0,3e-06,1e-06,-6.5e-05,0.0266
49,366.835,455.814,0.0,-3e-06,0.0,-1.7e-05,0.0244
50,370.823,448.908,0.0,2e-06,0.0,-4.2e-05,0.0332
51,374.81,442.002,0.0,-1e-06,-0.0,-3.3e-05,0.0067
52,378.797,435.096,0.0,-0.0,0.0,9e-06,0.0123
53,382.785,428.189,0.0,1e-06,-1e-06,-2.9e-05,0.0066
54,386.772,421.283,0.0,4e-06,2e-06,-0.000153,0.0128
55,390.759,414.377,0.0,2e-06,1e-06,-0.000117,0.0171
56,394.747,407.47,0.0,0.0,2e-06,-2.7e-05,0.0135
57,398.734,400.564,0.0,-1e-06,-1e-06,-1e-06,0.0212
58,402.722,393.658,0.0,-2e-06,1e-06,7.6e-05,0.0229
59,406.709,386.752,0.0,-3e-06,-1e-06,0.000159,0.0161
60,410.696,379.845,0.0,-2e-06,-2e-06,0.000127,0.0212
61,414.684,372.939,0.0,3e-06,-0.0,4e-06,0.0203
62,418.671,366.033,0.0,4e-06,0.0,-0.000148,0.0184
63,422.658,359.126,0.0,1e-05,1e-06,-0.00041,0.0351
64,426.646,352.22,0.0,1.1e-05,4e-06,-0.000644,0.0403
65,430.633,345.314,0.0,1e-05,5e-06,-0.000686,0.0369
66,434.62,338.408,0.0,3e-06,6e-06,-0.000475,0.0389
67,438.608,331.501,0.0,-0.0,7e-06,-0.000139,0.011
68,442.595,324.595,0.0,5e-06,0.0,-9.4e-05,0.0328
69,446.582,317.689,0.0,1e-06,1e-06,-0.000166,0.0164
70,450.57,310.783,0.0,1e-06,0.0,-9.9e-05,0.0296
71,454.557,303.876,0.0,2e-06,0.0,-0.000131,0.036
72,458.544,296.97,0.0,4e-06,-0.0,-0.000182,0.0152
73,462.532,290.064,0.0,4e-06,-2e-06,-0.000336,0.018
74,466.519,283.157,0.0,-1e-06,7e-06,-0.000309,0.0157
