T_Nm,T_Ncm,delta_T_K,max_Uz_mm,min_Uz_mm,max_abs_Uz_mm,max_vonMises_MPa
500,5.0,20.0,0.002078,-0.015981,0.015981,8.0624
600,6.0,24.0,0.002494,-0.019177,0.019177,9.6749
700,7.0,28.0,0.002909,-0.022373,0.022373,11.2874
800,8.0,32.0,0.003325,-0.025569,0.025569,12.8998
900,9.0,36.0,0.003741,-0.028766,0.028766,14.5124
1000,10.0,40.0,0.004156,-0.031962,0.031962,16.1249
