node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-1.5e-05,0.0,0.00054,0.0235
2,315.0,545.596,-0.2,2e-06,1e-05,0.00054,0.034
3,630.0,0.0,0.0,7e-06,5e-06,-0.000388,0.033
4,630.0,0.0,-0.2,-7e-06,-1.4e-05,-0.000388,0.0331
5,55.0,95.2628,0.0,-1.2e-05,1.1e-05,-0.000536,0.0353
6,55.0,95.2628,-0.2,1.1e-05,3e-06,-0.000536,0.0747
7,110.0,0.0,0.0,-6e-06,7e-06,-2.9e-05,0.1057
8,110.0,0.0,-0.2,2e-06,-3e-06,-2.9e-05,0.05
9,63.0801,99.258,0.0,1e-06,0.0,-1e-06,0.1637
10,117.5,5.0,0.0,0.0,0.0,-0.0,0.0998
11,617.5,5.0,0.0,1e-06,-0.0,-3e-06,0.5165
12,314.0,533.864,0.0,-0.0,-0.0,5e-06,0.26
13,301.645,173.0,-0.2,-0.0,-0.0,-3e-06,0.1049
14,63.0801,99.258,0.128,0.0,0.0,0.0,0.1918
15,117.5,5.0,0.128,0.0,0.0,0.0,0.1643
16,617.5,5.0,0.128,0.0,0.0,0.0,0.2418
17,314.0,533.864,0.128,0.0,0.0,0.0,0.9088
18,63.1803,99.4316,0.128,0.0,0.0,0.0,0.4337
19,117.801,194.038,0.128,0.0,0.0,0.0,1.0044
20,301.645,173.0,-0.4,0.0,0.0,0.0,0.303
21,314.0,532.617,0.128,3e-06,-5e-06,-2.9e-05,1.4294
22,69.9103,101.088,0.128,2e-06,-4e-06,0.0,0.7455
23,122.5,10.0,0.128,4e-06,-3e-06,0.0,0.6897
24,312.41,521.11,0.128,1.4e-05,-2.8e-05,0.0,1.0433
25,607.5,10.0,0.128,-1.3e-05,6e-06,0.0,1.2231
26,69.9103,101.088,0.0,1e-06,-2e-06,9e-06,0.5317
27,122.5,10.0,0.0,3e-06,0.0,2.7e-05,0.8634
28,607.5,10.0,0.0,-8e-06,6e-06,6e-06,1.0594
29,312.41,521.11,0.0,1.4e-05,-2.7e-05,2.1e-05,1.0771
30,117.5,5.0,0.628,0.0,0.0,0.0,1.4616
31,63.0801,99.6058,0.128,0.0,0.0,0.0,0.0
32,63.0801,99.6058,0.628,0.0,0.0,0.0,0.4977
33,617.5,5.0,0.628,0.0,0.0,0.0,0.0
34,314.0,532.617,0.628,-9e-06,-0.00046,-0.000804,1.4146
35,315.0,545.596,-0.1,-7e-06,5e-06,0.00054,0.0088
36,630.0,0.0,-0.1,0.0,-5e-06,-0.000388,0.0031
37,318.987,538.69,0.0,-1.3e-05,-1e-06,0.00045,0.0492
38,322.975,531.783,0.0,-0.0,1e-05,0.000276,0.0619
39,326.962,524.877,0.0,8e-06,3e-06,0.00016,0.0769
40,330.949,517.971,0.0,-7e-06,-6e-06,0.000213,0.052
41,334.937,511.065,0.0,-7e-06,-5e-06,0.000227,0.0427
42,338.924,504.158,0.0,-2e-06,-2e-06,6.5e-05,0.0719
43,342.911,497.252,0.0,-1e-06,1e-06,-5.9e-05,0.0384
44,346.899,490.346,0.0,2e-06,-1e-06,-0.000275,0.0666
45,350.886,483.439,0.0,3e-06,6e-06,-0.000158,0.0365
46,354.873,476.533,0.0,-3e-06,-3e-06,-3.9e-05,0.0186
47,358.861,469.627,0.0,-6e-06,-4e-06,-0.000125,0.1024
48,362.848,462.721,0.0,8e-06,3e-06,-0.000173,0.071
49,366.835,455.814,0.0,-7e-06,0.0,-4.6e-05,0.0651
50,370.823,448.908,0.0,5e-06,1e-06,-0.000111,0.0886
51,374.81,442.002,0.0,-2e-06,-0.0,-8.7e-05,0.0179
52,378.797,435.096,0.0,-1e-06,0.0,2.5e-05,0.0329
53,382.785,428.189,0.0,3e-06,-2e-06,-7.8e-05,0.0175
54,386.772,421.283,0.0,1e-05,4e-06,-0.000407,0.0342
55,390.759,414.377,0.0,4e-06,2e-06,-0.000311,0.0456
56,394.747,407.47,0.0,1e-06,6e-06,-7.2e-05,0.036
57,398.734,400.564,0.0,-2e-06,-4e-06,-2e-06,0.0566
58,402.722,393.658,0.0,-6e-06,2e-06,0.000201,0.061
59,406.709,386.752,0.0,-8e-06,-2e-06,0.000424,0.0428
60,410.696,379.845,0.0,-7e-06,-5e-06,0.000338,0.0566
61,414.684,372.939,0.0,7e-06,-1e-06,1.1e-05,0.0542
62,418.671,366.033,0.0,1.2e-05,1e-06,-0.000395,0.0491
63,422.658,359.126,0.0,2.6e-05,2e-06,-0.001094,0.0936
64,426.646,352.22,0.0,2.9e-05,1.1e-05,-0.001718,0.1075
65,430.633,345.314,0.0,2.7e-05,1.4e-05,-0.001828,0.0983
66,434.62,338.408,0.0,8e-06,1.7e-05,-0.001266,0.1038
67,438.608,331.501,0.0,-1e-06,1.7e-05,-0.00037,0.0294
68,442.595,324.595,0.0,1.2e-05,1e-06,-0.000252,0.0873
69,446.582,317.689,0.0,2e-06,2e-06,-0.000442,0.0437
70,450.57,310.783,0.0,3e-06,1e-06,-0.000265,0.0789
71,454.557,303.876,0.0,4e-06,1e-06,-0.000348,0.0961
72,458.544,296.97,0.0,1e-05,-0.0,-0.000486,0.0407
73,462.532,290.064,0.0,1e-05,-6e-06,-0.000896,0.048
74,466.519,283.157,0.0,-1e-06,1.9e-05,-0.000824,0.0418
75,470.506,276.251,0.0,1.5e-05,5e-06,-0.000646,0.0501
76,474.494,269.345,0.0,1.1e-05,1e-05,-0.000786,0.0187
77,478.481,262.439,0.0,6e-06,4e-06,-0.000639,0.0482
78,482.468,255.532,0.0,4e-06,7e-06,-0.000521,0.1029
79,486.456,248.626,0.0,-1e-06,2e-06,-0.000268,0.0775
80,490.443,241.72,0.0,-0.0,0.0,6e-06,0.0802
81,494.43,234.813,0.0,-3e-06,-3e-06,0.000143,0.053
82,498.418,227.907,0.0,-1e-06,-6e-06,0.000159,0.0933
83,502.405,221.001,0.0,-9e-06,-4e-06,0.000271,0.0747
84,506.392,214.095,0.0,-1.3e-05,-5e-06,0.000441,0.0408
85,510.38,207.188,0.0,-8e-06,-6e-06,0.000479,0.0971
86,514.367,200.282,0.0,-6e-06,-9e-06,0.000164,0.1231
87,518.354,193.376,0.0,3e-06,-1e-05,-0.000452,0.1284
88,522.342,186.47,0.0,-6e-06,-2e-06,-0.000583,0.1226
89,526.329,179.563,0.0,3e-06,4e-06,-0.000607,0.1678
90,530.316,172.657,0.0,-3e-06,7e-06,-0.000542,0.0329
91,534.304,165.751,0.0,-2e-06,5e-06,-0.000403,0.0497
92,538.291,158.844,0.0,1e-06,8e-06,-8e-06,0.0988
93,542.279,151.938,0.0,3e-06,-0.0,0.000164,0.1322
94,546.266,145.032,0.0,-2e-06,-1e-05,7.5e-05,0.0794
95,550.253,138.126,0.0,-8e-06,-6e-06,0.00017,0.0519
96,554.24,131.219,0.0,-2e-06,-9e-06,-1.5e-05,0.198
97,558.228,124.313,0.0,1e-06,-4e-06,-0.00053,0.086
98,562.215,117.407,0.0,2e-06,8e-06,-0.000699,0.0528
99,566.203,110.5,0.0,2e-06,8e-06,-0.00028,0.025
100,570.19,103.594,0.0,7e-06,6e-06,-0.000267,0.0229
101,574.177,96.6879,0.0,1.2e-05,2e-06,-0.000201,0.0391
102,578.165,89.7816,0.0,1.4e-05,-9e-06,-0.000135,0.454
103,582.152,82.8753,0.0,1.5e-05,-1.4e-05,-0.00091,0.1739
104,586.139,75.9691,0.0,1.3e-05,-1.2e-05,-0.002149,0.0548
105,590.127,69.0628,0.0,-2.3e-05,2.4e-05,-0.001614,0.1712
106,594.114,62.1565,0.0,-1.2e-05,6e-06,-0.000345,0.0853
107,598.101,55.2502,0.0,8e-06,2e-06,-0.000255,0.0511
108,602.089,48.3439,0.0,1e-05,4e-06,-0.000507,0.1564
109,606.076,41.4377,0.0,2e-05,7e-06,-0.000999,0.0504
110,610.063,34.5314,0.0,1.1e-05,-3e-06,-0.001538,0.0593
