node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
65,430.6330,345.3140,0.0000,0.000088,0.000085,0.001663,1.476455,203.7
66,434.6200,338.4080,0.0000,0.000004,0.000024,0.000639,1.476455,203.7
67,438.6080,331.5010,0.0000,-0.000015,-0.000006,0.000286,1.476455,203.7
68,442.5950,324.5950,0.0000,0.000016,0.000050,-0.000072,1.476455,203.7
69,446.5820,317.6890,0.0000,0.000017,-0.000010,-0.000213,1.476455,203.7
70,450.5700,310.7830,0.0000,0.000034,-0.000056,0.000109,1.476455,203.7
71,454.5570,303.8760,0.0000,0.000012,-0.000028,-0.000146,1.476455,203.7
72,458.5440,296.9700,0.0000,0.000028,-0.000032,-0.000184,1.476455,203.7
73,462.5320,290.0640,0.0000,-0.000057,-0.000107,-0.000268,1.476455,203.7
74,466.5190,283.1570,0.0000,-0.000086,0.000004,-0.000998,1.476455,203.7
75,470.5060,276.2510,0.0000,-0.000013,0.000052,-0.000514,1.476455,203.7
76,474.4940,269.3450,0.0000,0.000007,0.000004,-0.000247,1.476455,203.7
77,478.4810,262.4390,0.0000,-0.000045,-0.000004,-0.000117,1.476455,203.7
78,482.4680,255.5320,0.0000,-0.000039,0.000020,0.000080,1.476455,203.7
79,486.4560,248.6260,0.0000,0.000019,0.000038,-0.000069,1.476455,203.7
80,490.4430,241.7200,0.0000,0.000061,0.000035,-0.000076,1.476455,203.7
81,494.4300,234.8130,0.0000,-0.000028,-0.000020,-0.000030,1.476455,203.7
82,498.4180,227.9070,0.0000,-0.000003,0.000004,-0.000019,1.476455,203.7
83,502.4050,221.0010,0.0000,-0.000004,0.000012,0.000101,1.476455,203.7
84,506.3920,214.0950,0.0000,-0.000022,0.000012,0.000252,1.476455,203.7
85,510.3800,207.1880,0.0000,0.000003,-0.000002,0.000115,1.476455,203.7
86,514.3670,200.2820,0.0000,-0.000021,-0.000033,-0.000022,1.476455,203.7
87,518.3540,193.3760,0.0000,-0.000080,0.000018,-0.000470,1.476455,203.7
88,522.3420,186.4700,0.0000,0.000003,0.000101,-0.000991,1.476455,203.7
89,526.3290,179.5630,0.0000,0.000010,0.000025,-0.000285,1.476455,203.7
90,530.3160,172.6570,0.0000,0.000010,-0.000005,-0.000183,1.476455,203.7
91,534.3040,165.7510,0.0000,0.000025,-0.000012,-0.000213,1.476455,203.7
92,538.2910,158.8440,0.0000,0.000055,0.000007,-0.000203,1.476455,203.7
93,542.2790,151.9380,0.0000,0.000117,0.000016,-0.000180,1.476455,203.7
94,546.2660,145.0320,0.0000,0.000136,-0.000024,-0.000186,1.476455,203.7
95,550.2530,138.1260,0.0000,-0.000005,-0.000093,-0.000228,1.476455,203.7
96,554.2400,131.2190,0.0000,-0.000044,-0.000049,-0.000166,1.476455,203.7
97,558.2280,124.3130,0.0000,-0.000002,0.000018,-0.000049,1.476455,203.7
98,562.2150,117.4070,0.0000,0.000007,0.000030,0.000179,1.476455,203.7
99,566.2030,110.5000,0.0000,0.000008,0.000009,0.000169,1.476455,203.7
100,570.1900,103.5940,0.0000,0.000002,0.000002,0.000100,1.476455,203.7
101,574.1770,96.6879,0.0000,0.000004,-0.000006,0.000103,1.476455,203.7
102,578.1650,89.7816,0.0000,0.000016,-0.000012,0.000079,1.476455,203.7
103,582.1520,82.8753,0.0000,0.000033,0.000006,-0.000049,1.476455,203.7
104,586.1390,75.9691,0.0000,0.000028,0.000017,-0.000117,1.476455,203.7
105,590.1270,69.0628,0.0000,0.000007,0.000001,-0.000032,1.476455,203.7
106,594.1140,62.1565,0.0000,-0.000010,-0.000009,0.000005,1.476455,203.7
107,598.1010,55.2502,0.0000,0.000018,-0.000042,-0.000026,1.476455,203.7
108,602.0890,48.3439,0.0000,0.000021,-0.000038,-0.000026,1.476455,203.7
109,606.0760,41.4377,0.0000,0.000007,-0.000027,-0.000036,1.476455,203.7
110,610.0630,34.5314,0.0000,0.000003,-0.000019,-0.000078,1.476455,203.7
111,614.0510,27.6251,0.0000,0.000007,-0.000029,-0.000134,1.476455,203.7
112,618.0380,20.7188,0.0000,0.000017,-0.000012,0.000003,1.476455,203.7
113,622.0250,13.8126,0.0000,-0.000000,-0.000007,0.000060,1.476455,203.7
114,626.0130,6.9063,0.0000,-0.000003,-0.000002,0.000097,1.476455,203.7
115,316.9940,542.1430,0.0000,-0.000001,0.000001,-0.000001,1.476455,203.7
116,320.9810,535.2370,0.0000,-0.000003,0.000002,0.000002,1.476455,203.7
117,324.9680,528.3300,0.0000,-0.000005,0.000015,0.000009,1.476455,203.7
118,328.9560,521.4240,0.0000,0.000031,0.000038,0.000012,1.476455,203.7
119,332.9430,514.5180,0.0000,-0.000001,-0.000022,0.000014,1.476455,203.7
120,336.9300,507.6110,0.0000,-0.000007,-0.000001,-0.000013,1.476455,203.7
121,340.9180,500.7050,0.0000,0.000008,-0.000003,-0.000013,1.476455,203.7
122,344.9050,493.7990,0.0000,0.000057,-0.000080,0.000050,1.476455,203.7
123,348.8920,486.8930,0.0000,0.000069,-0.000099,0.000014,1.476455,203.7
124,352.8800,479.9860,0.0000,0.000015,-0.000020,-0.000062,1.476455,203.7
125,356.8670,473.0800,0.0000,0.000003,-0.000007,-0.000090,1.476455,203.7
126,360.8540,466.1740,0.0000,0.000020,0.000010,-0.000102,1.476455,203.7
127,364.8420,459.2680,0.0000,0.000004,0.000003,-0.000070,1.476455,203.7
128,368.8290,452.3610,0.0000,-0.000010,0.000016,-0.000043,1.476455,203.7
129,372.8160,445.4550,0.0000,-0.000009,0.000021,-0.000035,1.476455,203.7
130,376.8040,438.5490,0.0000,0.000002,0.000009,-0.000016,1.476455,203.7
131,380.7910,431.6420,0.0000,-0.000002,-0.000004,-0.000023,1.476455,203.7
132,384.7780,424.7360,0.0000,-0.000032,-0.000008,-0.000266,1.476455,203.7
133,388.7660,417.8300,0.0000,0.000065,0.000005,-0.000481,1.476455,203.7
134,392.7530,410.9240,0.0000,-0.000009,0.000047,-0.000255,1.476455,203.7
135,396.7410,404.0170,0.0000,-0.000006,0.000130,-0.000360,1.476455,203.7
136,400.7280,397.1110,0.0000,0.000065,0.000139,-0.000590,1.476455,203.7
137,404.7150,390.2050,0.0000,-0.000064,-0.000122,0.000169,1.476455,203.7
138,408.7030,383.2980,0.0000,-0.000023,-0.000009,0.000037,1.476455,203.7
139,412.6900,376.3920,0.0000,-0.000023,-0.000043,0.000462,1.476455,203.7
140,416.6770,369.4860,0.0000,-0.000026,0.000020,0.000783,1.476455,203.7
141,420.6650,362.5800,0.0000,-0.000093,0.000059,0.001421,1.476455,203.7
142,424.6520,355.6730,0.0000,0.000086,0.000231,0.002887,1.476455,203.7
143,428.6390,348.7670,0.0000,0.000134,0.000181,0.002226,1.476455,203.7
144,432.6270,341.8610,0.0000,0.000031,0.000038,0.001032,1.476455,203.7
145,436.6140,334.9540,0.0000,-0.000004,0.000006,0.000420,1.476455,203.7
146,440.6010,328.0480,0.0000,-0.000011,0.000006,0.000139,1.476455,203.7
147,444.5890,321.1420,0.0000,0.000027,0.000054,-0.000230,1.476455,203.7
148,448.5760,314.2360,0.0000,0.000015,-0.000051,0.000013,1.476455,203.7
149,452.5630,307.3290,0.0000,0.000019,-0.000037,-0.000052,1.476455,203.7
150,456.5510,300.4230,0.0000,0.000016,-0.000025,-0.000168,1.476455,203.7
151,460.5380,293.5170,0.0000,0.000006,-0.000054,-0.000197,1.476455,203.7
152,464.5250,286.6110,0.0000,-0.000102,-0.000094,-0.000557,1.476455,203.7
153,468.5130,279.7040,0.0000,-0.000044,0.000063,-0.000794,1.476455,203.7
154,472.5000,272.7980,0.0000,0.000003,0.000021,-0.000291,1.476455,203.7
155,476.4870,265.8920,0.0000,-0.000013,0.000002,-0.000259,1.476455,203.7
156,480.4750,258.9850,0.0000,-0.000048,0.000011,0.000081,1.476455,203.7
157,484.4620,252.0790,0.0000,-0.000008,0.000027,-0.000037,1.476455,203.7
158,488.4490,245.1730,0.0000,0.000056,0.000040,-0.000076,1.476455,203.7
159,492.4370,238.2670,0.0000,-0.000004,-0.000006,-0.000054,1.476455,203.7
160,496.4240,231.3600,0.0000,-0.000017,-0.000011,-0.000022,1.476455,203.7
161,500.4110,224.4540,0.0000,-0.000001,0.000003,0.000017,1.476455,203.7
162,504.3990,217.5480,0.0000,-0.000018,0.000023,0.000196,1.476455,203.7
163,508.3860,210.6410,0.0000,-0.000007,0.000008,0.000179,1.476455,203.7
164,512.3730,203.7350,0.0000,-0.000001,-0.000016,0.000046,1.476455,203.7
165,516.3610,196.8290,0.0000,-0.000057,-0.000023,-0.000203,1.476455,203.7
166,520.3480,189.9230,0.0000,-0.000009,0.000092,-0.000957,1.476455,203.7
