node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-0.558921,-4.166909,0.443951,0.961875,24.0469
2,315.0000,545.5960,-0.2000,-0.556473,-4.158309,0.443922,0.961875,24.0469
3,630.0000,0.0000,0.0000,-6.123593,4.723524,0.011885,0.961875,24.0469
4,630.0000,0.0000,-0.2000,-6.123742,4.722860,0.011964,0.961875,24.0469
5,55.0000,95.2628,0.0000,5.647552,4.948565,0.071832,0.961875,24.0469
6,55.0000,95.2628,-0.2000,5.644079,4.949961,0.070765,0.961875,24.0469
7,110.0000,0.0000,0.0000,5.472916,5.715007,0.018899,0.961875,24.0469
8,110.0000,0.0000,-0.2000,5.472608,5.714102,0.018862,0.961875,24.0469
9,63.0801,99.2580,0.0000,5.864002,4.434020,0.000240,0.961875,24.0469
10,117.5000,5.0000,0.0000,5.223878,6.097792,0.000106,0.961875,24.0469
11,617.5000,5.0000,0.0000,-5.857171,5.444448,0.000041,0.961875,24.0469
12,314.0000,533.8640,0.0000,0.709384,-4.346390,0.003295,0.961875,24.0469
13,301.6450,173.0000,-0.2000,0.702710,7.054359,-0.210417,0.961875,24.0469
14,63.0801,99.2580,0.1280,6.016943,4.404647,0.000000,0.961875,24.0469
15,117.5000,5.0000,0.1280,5.226661,6.103434,0.000000,0.961875,24.0469
16,617.5000,5.0000,0.1280,-5.860778,5.451162,0.000000,0.961875,24.0469
17,314.0000,533.8640,0.1280,0.718008,-4.606571,0.000000,0.961875,24.0469
18,63.1803,99.4316,0.1280,5.892602,4.425943,0.000000,0.961875,24.0469
19,117.8010,194.0380,0.1280,0.975055,5.632621,0.000000,0.961875,24.0469
20,301.6450,173.0000,-0.4000,0.702647,7.053296,-0.210589,0.961875,24.0469
21,314.0000,532.6170,0.1280,0.757590,-4.140785,0.000000,0.961875,24.0469
22,69.9103,101.0880,0.1280,5.269487,4.540097,0.000000,0.961875,24.0469
23,122.5000,10.0000,0.1280,4.984046,6.208023,0.000000,0.961875,24.0469
24,312.4100,521.1100,0.1280,0.835650,-2.065851,0.000000,0.961875,24.0469
25,607.5000,10.0000,0.1280,-5.570583,5.650319,0.000000,0.961875,24.0469
26,69.9103,101.0880,0.0000,5.269836,4.540338,-0.000464,0.961875,24.0469
27,122.5000,10.0000,0.0000,4.983747,6.207650,-0.000124,0.961875,24.0469
28,607.5000,10.0000,0.0000,-5.570766,5.650428,-0.000142,0.961875,24.0469
29,312.4100,521.1100,0.0000,0.835600,-2.065078,-0.000015,0.961875,24.0469
30,117.5000,5.0000,0.6280,5.274149,6.194504,0.000000,0.961875,24.0469
31,63.0801,99.6058,0.1280,6.810290,4.413346,0.000000,0.961875,24.0469
32,63.0801,99.6058,0.6280,6.408087,4.383466,0.000000,0.961875,24.0469
33,617.5000,5.0000,0.6280,-5.943655,5.604145,0.000000,0.961875,24.0469
34,314.0000,532.6170,0.6280,0.758216,-4.081730,0.000000,0.961875,24.0469
35,315.0000,545.5960,-0.1000,-0.557699,-4.162613,0.443935,0.961875,24.0469
36,630.0000,0.0000,-0.1000,-6.123667,4.723192,0.011924,0.961875,24.0469
37,318.9870,538.6900,0.0000,0.093559,-3.345110,0.209787,0.961875,24.0469
38,322.9750,531.7830,0.0000,0.700514,-2.381131,0.085700,0.961875,24.0469
39,326.9620,524.8770,0.0000,0.883994,-1.457261,0.027863,0.961875,24.0469
40,330.9490,517.9710,0.0000,0.856681,-0.689342,0.019497,0.961875,24.0469
41,334.9370,511.0650,0.0000,0.849228,-0.074544,0.014290,0.961875,24.0469
42,338.9240,504.1580,0.0000,0.836489,0.446407,0.010385,0.961875,24.0469
43,342.9110,497.2520,0.0000,0.818391,0.897887,0.010311,0.961875,24.0469
44,346.8990,490.3460,0.0000,0.798331,1.300464,0.008159,0.961875,24.0469
45,350.8860,483.4390,0.0000,0.778277,1.659917,0.007192,0.961875,24.0469
46,354.8730,476.5330,0.0000,0.756725,1.989323,0.007143,0.961875,24.0469
47,358.8610,469.6270,0.0000,0.735769,2.294141,0.006749,0.961875,24.0469
48,362.8480,462.7210,0.0000,0.717656,2.574780,0.006132,0.961875,24.0469
49,366.8350,455.8140,0.0000,0.700633,2.837512,0.004678,0.961875,24.0469
50,370.8230,448.9080,0.0000,0.685963,3.083600,0.003543,0.961875,24.0469
51,374.8100,442.0020,0.0000,0.673285,3.315779,0.002800,0.961875,24.0469
52,378.7970,435.0960,0.0000,0.663151,3.534945,0.002322,0.961875,24.0469
53,382.7850,428.1890,0.0000,0.655326,3.742245,0.001995,0.961875,24.0469
54,386.7720,421.2830,0.0000,0.649558,3.939749,0.000937,0.961875,24.0469
55,390.7590,414.3770,0.0000,0.646184,4.126966,0.000959,0.961875,24.0469
56,394.7470,407.4700,0.0000,0.644725,4.305616,0.001982,0.961875,24.0469
57,398.7340,400.5640,0.0000,0.645415,4.475899,0.002756,0.961875,24.0469
58,402.7220,393.6580,0.0000,0.648001,4.638396,0.002791,0.961875,24.0469
59,406.7090,386.7520,0.0000,0.652447,4.793572,0.003532,0.961875,24.0469
60,410.6960,379.8450,0.0000,0.658655,4.941569,0.002705,0.961875,24.0469
61,414.6840,372.9390,0.0000,0.666583,5.082320,0.001905,0.961875,24.0469
62,418.6710,366.0330,0.0000,0.675668,5.216358,0.001524,0.961875,24.0469
63,422.6580,359.1260,0.0000,0.685809,5.343831,0.001147,0.961875,24.0469
64,426.6460,352.2200,0.0000,0.696907,5.464739,0.000970,0.961875,24.0469
65,430.6330,345.3140,0.0000,0.708734,5.579225,0.001216,0.961875,24.0469
66,434.6200,338.4080,0.0000,0.721072,5.686997,0.001075,0.961875,24.0469
67,438.6080,331.5010,0.0000,0.733511,5.788262,0.000951,0.961875,24.0469
68,442.5950,324.5950,0.0000,0.745636,5.883254,0.001158,0.961875,24.0469
69,446.5820,317.6890,0.0000,0.757461,5.971699,0.001189,0.961875,24.0469
70,450.5700,310.7830,0.0000,0.768285,6.053786,0.000563,0.961875,24.0469
71,454.5570,303.8760,0.0000,0.778153,6.129168,0.000509,0.961875,24.0469
72,458.5440,296.9700,0.0000,0.786489,6.197953,0.000508,0.961875,24.0469
73,462.5320,290.0640,0.0000,0.792684,6.260306,0.000523,0.961875,24.0469
74,466.5190,283.1570,0.0000,0.796797,6.315770,0.000615,0.961875,24.0469
75,470.5060,276.2510,0.0000,0.798099,6.364579,0.000911,0.961875,24.0469
76,474.4940,269.3450,0.0000,0.796283,6.406583,0.000933,0.961875,24.0469
77,478.4810,262.4390,0.0000,0.790811,6.441972,0.000641,0.961875,24.0469
78,482.4680,255.5320,0.0000,0.781299,6.470614,0.000478,0.961875,24.0469
79,486.4560,248.6260,0.0000,0.767341,6.492434,0.000376,0.961875,24.0469
80,490.4430,241.7200,0.0000,0.748446,6.507383,0.000242,0.961875,24.0469
81,494.4300,234.8130,0.0000,0.723990,6.515526,0.000163,0.961875,24.0469
82,498.4180,227.9070,0.0000,0.693530,6.517096,0.000079,0.961875,24.0469
83,502.4050,221.0010,0.0000,0.656646,6.511978,0.000096,0.961875,24.0469
84,506.3920,214.0950,0.0000,0.612737,6.500320,0.000140,0.961875,24.0469
85,510.3800,207.1880,0.0000,0.561276,6.482147,0.000265,0.961875,24.0469
86,514.3670,200.2820,0.0000,0.501722,6.457810,0.000276,0.961875,24.0469
87,518.3540,193.3760,0.0000,0.433604,6.427356,0.000253,0.961875,24.0469
88,522.3420,186.4700,0.0000,0.356456,6.390845,0.000321,0.961875,24.0469
89,526.3290,179.5630,0.0000,0.269566,6.348692,0.000350,0.961875,24.0469
90,530.3160,172.6570,0.0000,0.172520,6.301212,0.000410,0.961875,24.0469
91,534.3040,165.7510,0.0000,0.064764,6.248781,0.000489,0.961875,24.0469
92,538.2910,158.8440,0.0000,-0.054080,6.191488,0.000429,0.961875,24.0469
93,542.2790,151.9380,0.0000,-0.184652,6.130090,0.000331,0.961875,24.0469
94,546.2660,145.0320,0.0000,-0.327295,6.064904,0.000386,0.961875,24.0469
95,550.2530,138.1260,0.0000,-0.482546,5.996676,0.000505,0.961875,24.0469
96,554.2400,131.2190,0.0000,-0.650606,5.925698,0.000686,0.961875,24.0469
97,558.2280,124.3130,0.0000,-0.832135,5.853341,0.000822,0.961875,24.0469
98,562.2150,117.4070,0.0000,-1.026789,5.779521,0.000954,0.961875,24.0469
99,566.2030,110.5000,0.0000,-1.235527,5.705493,0.000934,0.961875,24.0469
100,570.1900,103.5940,0.0000,-1.458134,5.632263,0.000840,0.961875,24.0469
101,574.1770,96.6879,0.0000,-1.694467,5.560546,0.000680,0.961875,24.0469
102,578.1650,89.7816,0.0000,-1.944594,5.491520,0.000663,0.961875,24.0469
103,582.1520,82.8753,0.0000,-2.208489,5.426683,0.000731,0.961875,24.0469
104,586.1390,75.9691,0.0000,-2.485588,5.367113,0.001221,0.961875,24.0469
105,590.1270,69.0628,0.0000,-2.775200,5.313818,0.001507,0.961875,24.0469
106,594.1140,62.1565,0.0000,-3.076770,5.268324,0.001912,0.961875,24.0469
107,598.1010,55.2502,0.0000,-3.389133,5.232079,0.001947,0.961875,24.0469
108,602.0890,48.3439,0.0000,-3.710471,5.205157,0.001713,0.961875,24.0469
109,606.0760,41.4377,0.0000,-4.039253,5.188771,0.002191,0.961875,24.0469
110,610.0630,34.5314,0.0000,-4.372888,5.180910,0.003758,0.961875,24.0469
111,614.0510,27.6251,0.0000,-4.707139,5.178309,0.004425,0.961875,24.0469
112,618.0380,20.7188,0.0000,-5.035339,5.162788,0.004415,0.961875,24.0469
113,622.0250,13.8126,0.0000,-5.364629,5.101157,0.005023,0.961875,24.0469
114,626.0130,6.9063,0.0000,-5.734958,4.941403,0.003475,0.961875,24.0469
115,316.9940,542.1430,0.0000,-0.187775,-3.840262,0.323797,0.961875,24.0469
116,320.9810,535.2370,0.0000,0.449067,-2.902224,0.134583,0.961875,24.0469
117,324.9680,528.3300,0.0000,0.841766,-1.878427,0.048485,0.961875,24.0469
118,328.9560,521.4240,0.0000,0.866710,-1.052905,0.024307,0.961875,24.0469
119,332.9430,514.5180,0.0000,0.853100,-0.365418,0.015149,0.961875,24.0469
120,336.9300,507.6110,0.0000,0.843320,0.195047,0.012026,0.961875,24.0469
121,340.9180,500.7050,0.0000,0.827567,0.680713,0.010218,0.961875,24.0469
122,344.9050,493.7990,0.0000,0.808529,1.104481,0.008896,0.961875,24.0469
123,348.8920,486.8930,0.0000,0.788625,1.484283,0.007545,0.961875,24.0469
124,352.8800,479.9860,0.0000,0.767472,1.828230,0.007263,0.961875,24.0469
125,356.8670,473.0800,0.0000,0.745881,2.144790,0.006931,0.961875,24.0469
