node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-0.001730,0.000126,-0.002227,nan,nan
2,315.0000,545.5960,-0.2000,-0.001854,0.000090,-0.002229,nan,nan
3,630.0000,0.0000,0.0000,-0.000194,-0.000104,0.000338,nan,nan
4,630.0000,0.0000,-0.2000,-0.000188,-0.000113,0.000337,nan,nan
5,55.0000,95.2628,0.0000,0.000117,-0.000719,0.000876,nan,nan
6,55.0000,95.2628,-0.2000,0.000067,-0.000720,0.000877,nan,nan
7,110.0000,0.0000,0.0000,-0.000599,0.000775,-0.001834,nan,nan
8,110.0000,0.0000,-0.2000,-0.000511,0.000787,-0.001835,nan,nan
9,63.0801,99.2580,0.0000,-0.000024,0.000007,-0.000013,nan,nan
10,117.5000,5.0000,0.0000,-0.000002,-0.000028,-0.000004,nan,nan
11,617.5000,5.0000,0.0000,-0.000004,-0.000001,0.000003,nan,nan
12,314.0000,533.8640,0.0000,-0.000020,-0.000001,-0.000001,nan,nan
13,301.6450,173.0000,-0.2000,0.000819,-0.000390,-0.071161,nan,nan
14,63.0801,99.2580,0.1280,0.000001,-0.000000,0.000000,nan,nan
15,117.5000,5.0000,0.1280,0.000016,-0.000001,0.000000,nan,nan
16,617.5000,5.0000,0.1280,0.000006,0.000007,0.000000,nan,nan
17,314.0000,533.8640,0.1280,-0.000001,0.000001,0.000000,nan,nan
18,63.1803,99.4316,0.1280,0.000011,-0.000006,0.000000,nan,nan
19,117.8010,194.0380,0.1280,-0.000759,-0.000082,0.000000,nan,nan
20,301.6450,173.0000,-0.4000,0.003128,-0.001750,-0.071159,nan,nan
21,314.0000,532.6170,0.1280,0.000020,-0.000003,0.000000,nan,nan
22,69.9103,101.0880,0.1280,0.000369,-0.000787,0.000000,nan,nan
23,122.5000,10.0000,0.1280,0.000152,-0.000217,0.000000,nan,nan
24,312.4100,521.1100,0.1280,-0.002514,-0.000859,0.000000,nan,nan
25,607.5000,10.0000,0.1280,-0.000361,-0.000632,0.000000,nan,nan
26,69.9103,101.0880,0.0000,0.000024,-0.000463,-0.000029,nan,nan
27,122.5000,10.0000,0.0000,0.000073,-0.000293,0.000004,nan,nan
28,607.5000,10.0000,0.0000,-0.000324,-0.000511,-0.000004,nan,nan
29,312.4100,521.1100,0.0000,-0.001991,-0.000404,0.000001,nan,nan
30,117.5000,5.0000,0.6280,0.000009,0.000002,0.000000,nan,nan
31,63.0801,99.6058,0.1280,-0.000001,0.000002,0.000000,nan,nan
32,63.0801,99.6058,0.6280,0.000009,-0.000008,0.000000,nan,nan
33,617.5000,5.0000,0.6280,0.000007,0.000007,0.000000,nan,nan
34,314.0000,532.6170,0.6280,-0.000024,-0.000697,0.000000,nan,nan
35,315.0000,545.5960,-0.1000,-0.001793,0.000109,-0.002230,nan,nan
36,630.0000,0.0000,-0.1000,-0.000192,-0.000109,0.000339,nan,nan
37,318.9870,538.6900,0.0000,-0.000711,0.000863,-0.002884,nan,nan
38,322.9750,531.7830,0.0000,0.000670,0.001028,-0.002339,nan,nan
39,326.9620,524.8770,0.0000,0.000292,0.000868,-0.001022,nan,nan
40,330.9490,517.9710,0.0000,0.000267,0.000680,-0.001659,nan,nan
41,334.9370,511.0650,0.0000,0.000228,0.001261,-0.001911,nan,nan
42,338.9240,504.1580,0.0000,0.000794,0.001133,0.000490,nan,nan
43,342.9110,497.2520,0.0000,0.000397,0.000399,0.000248,nan,nan
44,346.8990,490.3460,0.0000,0.000272,0.000807,-0.002105,nan,nan
45,350.8860,483.4390,0.0000,0.000666,0.000520,-0.001229,nan,nan
46,354.8730,476.5330,0.0000,0.000396,0.000038,-0.000096,nan,nan
47,358.8610,469.6270,0.0000,0.000677,-0.000036,0.000398,nan,nan
48,362.8480,462.7210,0.0000,0.000334,-0.000084,0.001158,nan,nan
49,366.8350,455.8140,0.0000,-0.000560,0.000248,0.001804,nan,nan
50,370.8230,448.9080,0.0000,-0.000174,0.000630,0.002620,nan,nan
51,374.8100,442.0020,0.0000,0.000111,0.000315,0.001775,nan,nan
52,378.7970,435.0960,0.0000,0.000312,0.000118,0.001001,nan,nan
53,382.7850,428.1890,0.0000,0.000447,-0.000039,0.000570,nan,nan
54,386.7720,421.2830,0.0000,0.000041,0.000224,0.003301,nan,nan
55,390.7590,414.3770,0.0000,0.000138,0.000297,0.002271,nan,nan
56,394.7470,407.4700,0.0000,-0.000004,-0.000336,0.001406,nan,nan
57,398.7340,400.5640,0.0000,-0.000075,-0.000432,0.000661,nan,nan
58,402.7220,393.6580,0.0000,0.000103,-0.000530,0.000714,nan,nan
59,406.7090,386.7520,0.0000,0.000146,-0.000175,0.000939,nan,nan
60,410.6960,379.8450,0.0000,-0.000025,-0.000230,0.002883,nan,nan
61,414.6840,372.9390,0.0000,-0.000328,-0.000312,0.003430,nan,nan
62,418.6710,366.0330,0.0000,-0.000388,-0.000049,0.002402,nan,nan
63,422.6580,359.1260,0.0000,-0.000187,0.000041,0.002685,nan,nan
64,426.6460,352.2200,0.0000,-0.000095,-0.000043,0.003168,nan,nan
65,430.6330,345.3140,0.0000,-0.000054,0.000003,0.002491,nan,nan
