node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
1,315.0000,545.5960,0.0000,-0.000004,0.000002,0.000013,-7768.478000,-939960.8
2,315.0000,545.5960,-0.2000,-0.000007,0.000002,0.000013,-7768.478000,-939960.8
3,630.0000,0.0000,0.0000,0.000004,0.000005,0.000005,-7768.478000,-939960.8
4,630.0000,0.0000,-0.2000,0.000006,0.000010,0.000005,-7768.478000,-939960.8
5,55.0000,95.2628,0.0000,0.000067,-0.000078,-0.000204,-7768.478000,-939960.8
6,55.0000,95.2628,-0.2000,0.000068,-0.000069,-0.000204,-7768.478000,-939960.8
7,110.0000,0.0000,0.0000,-0.000125,0.000248,-0.000426,-7768.478000,-939960.8
8,110.0000,0.0000,-0.2000,-0.000106,0.000253,-0.000426,-7768.478000,-939960.8
9,63.0801,99.2580,0.0000,-0.000003,0.000001,0.000001,-7768.478000,-939960.8
10,117.5000,5.0000,0.0000,-0.000002,-0.000003,-0.000000,-7768.478000,-939960.8
11,617.5000,5.0000,0.0000,-0.000000,0.000001,-0.000000,-7768.478000,-939960.8
12,314.0000,533.8640,0.0000,-0.000000,0.000001,-0.000001,-7768.478000,-939960.8
13,301.6450,173.0000,-0.2000,0.000236,-0.000818,-0.527624,-7768.478000,-939960.8
14,63.0801,99.2580,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
15,117.5000,5.0000,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
16,617.5000,5.0000,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
17,314.0000,533.8640,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
18,63.1803,99.4316,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
19,117.8010,194.0380,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
20,301.6450,173.0000,-0.4000,0.001053,-0.002359,-0.527624,-7768.478000,-939960.8
21,314.0000,532.6170,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
22,69.9103,101.0880,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
23,122.5000,10.0000,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
24,312.4100,521.1100,0.1280,0.000000,0.000000,0.000000,-7768.478000,-939960.8
