node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-1.397645,-0.428227,-1.000000,1.013579,25.3395
2,315.0000,545.5960,-0.2000,-1.399650,-0.484602,-0.999956,1.013579,25.3395
3,630.0000,0.0000,0.0000,0.968082,0.109886,-0.018730,1.013579,25.3395
4,630.0000,0.0000,-0.2000,0.967558,0.110098,-0.018723,1.013579,25.3395
5,55.0000,95.2628,0.0000,0.891156,-0.765605,0.001252,1.013579,25.3395
6,55.0000,95.2628,-0.2000,0.891082,-0.765561,0.001234,1.013579,25.3395
7,110.0000,0.0000,0.0000,1.063082,-0.669217,-0.000367,1.013579,25.3395
8,110.0000,0.0000,-0.2000,1.063095,-0.669208,-0.000367,1.013579,25.3395
9,63.0801,99.2580,0.0000,0.890371,-0.762401,-0.000015,1.013579,25.3395
10,117.5000,5.0000,0.0000,1.050656,-0.649518,-0.000009,1.013579,25.3395
11,617.5000,5.0000,0.0000,0.938417,0.037010,-0.000026,1.013579,25.3395
12,314.0000,533.8640,0.0000,-1.235775,-0.478416,0.000123,1.013579,25.3395
13,301.6450,173.0000,-0.2000,0.751332,-0.321431,-0.008929,1.013579,25.3395
14,63.0801,99.2580,0.1280,0.890237,-0.762505,0.000000,1.013579,25.3395
15,117.5000,5.0000,0.1280,1.050690,-0.649791,0.000000,1.013579,25.3395
16,617.5000,5.0000,0.1280,0.939256,0.037222,0.000000,1.013579,25.3395
17,314.0000,533.8640,0.1280,-1.233380,-0.478572,0.000000,1.013579,25.3395
18,63.1803,99.4316,0.1280,0.889939,-0.762393,0.000000,1.013579,25.3395
19,117.8010,194.0380,0.1280,0.717427,-0.641491,0.000000,1.013579,25.3395
20,301.6450,173.0000,-0.4000,0.751718,-0.321750,-0.008928,1.013579,25.3395
21,314.0000,532.6170,0.1280,-1.225639,-0.477768,0.000000,1.013579,25.3395
22,69.9103,101.0880,0.1280,0.883214,-0.738195,0.000000,1.013579,25.3395
23,122.5000,10.0000,0.1280,1.036740,-0.635109,0.000000,1.013579,25.3395
24,312.4100,521.1100,0.1280,-1.003150,-0.458250,0.000000,1.013579,25.3395
