node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,0.531234,-0.087216,-0.173149,-24503970.000000,-612599250.0000
2,315.0000,545.5960,-0.2000,0.531401,-0.090623,-0.173147,-24503970.000000,-612599250.0000
3,630.0000,0.0000,0.0000,0.095265,0.270724,-0.005631,-24503970.000000,-612599250.0000
4,630.0000,0.0000,-0.2000,0.095419,0.271233,-0.005687,-24503970.000000,-612599250.0000
5,55.0000,95.2628,0.0000,0.097257,-0.218250,-0.031161,-24503970.000000,-612599250.0000
6,55.0000,95.2628,-0.2000,0.098932,-0.219049,-0.030615,-24503970.000000,-612599250.0000
7,110.0000,0.0000,0.0000,-0.085973,0.134103,-0.022577,-24503970.000000,-612599250.0000
8,110.0000,0.0000,-0.2000,-0.085095,0.134385,-0.022443,-24503970.000000,-612599250.0000
9,63.0801,99.2580,0.0000,0.006830,-0.000872,-0.000140,-24503970.000000,-612599250.0000
10,117.5000,5.0000,0.0000,0.001196,0.003017,-0.000269,-24503970.000000,-612599250.0000
11,617.5000,5.0000,0.0000,-0.000642,0.002064,-0.000045,-24503970.000000,-612599250.0000
12,314.0000,533.8640,0.0000,0.008642,0.004052,-0.002245,-24503970.000000,-612599250.0000
13,301.6450,173.0000,-0.2000,0.058036,-1.540617,0.494525,-24503970.000000,-612599250.0000
14,63.0801,99.2580,0.1280,-0.000007,-0.000001,0.000000,-24503970.000000,-612599250.0000
15,117.5000,5.0000,0.1280,-0.000013,-0.000038,0.000000,-24503970.000000,-612599250.0000
16,617.5000,5.0000,0.1280,0.000006,-0.000025,0.000000,-24503970.000000,-612599250.0000
17,314.0000,533.8640,0.1280,-0.000018,0.000004,0.000000,-24503970.000000,-612599250.0000
18,63.1803,99.4316,0.1280,-0.000041,0.000038,0.000000,-24503970.000000,-612599250.0000
19,117.8010,194.0380,0.1280,1.837591,-1.409291,0.000000,-24503970.000000,-612599250.0000
20,301.6450,173.0000,-0.4000,0.062895,-1.539663,0.494487,-24503970.000000,-612599250.0000
21,314.0000,532.6170,0.1280,-0.011157,-0.059346,0.000000,-24503970.000000,-612599250.0000
22,69.9103,101.0880,0.1280,0.281169,-0.059067,0.000000,-24503970.000000,-612599250.0000
23,122.5000,10.0000,0.1280,0.089047,0.003693,0.000000,-24503970.000000,-612599250.0000
