node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-0.000013,0.000002,-0.000116,1.000370,25.0093
2,315.0000,545.5960,-0.2000,-0.000014,-0.000004,-0.000116,1.000370,25.0093
3,630.0000,0.0000,0.0000,-0.000002,0.000001,0.000024,1.000370,25.0093
4,630.0000,0.0000,-0.2000,-0.000001,0.000000,0.000024,1.000370,25.0093
5,55.0000,95.2628,0.0000,-0.000002,-0.000001,0.000006,1.000370,25.0093
6,55.0000,95.2628,-0.2000,-0.000002,-0.000001,0.000006,1.000370,25.0093
7,110.0000,0.0000,0.0000,-0.000003,0.000002,-0.000009,1.000370,25.0093
8,110.0000,0.0000,-0.2000,-0.000003,0.000003,-0.000009,1.000370,25.0093
9,63.0801,99.2580,0.0000,-0.000003,0.000002,-0.000000,1.000370,25.0093
10,117.5000,5.0000,0.0000,-0.000001,-0.000002,-0.000000,1.000370,25.0093
11,617.5000,5.0000,0.0000,-0.000002,0.000000,0.000000,1.000370,25.0093
12,314.0000,533.8640,0.0000,-0.000002,-0.000002,-0.000000,1.000370,25.0093
13,301.6450,173.0000,-0.2000,0.000177,0.000056,-0.354063,1.000370,25.0093
14,63.0801,99.2580,0.1280,0.000004,0.000001,0.000000,1.000370,25.0093
15,117.5000,5.0000,0.1280,-0.000001,-0.000001,0.000000,1.000370,25.0093
16,617.5000,5.0000,0.1280,-0.000002,0.000000,0.000000,1.000370,25.0093
17,314.0000,533.8640,0.1280,0.000001,-0.000003,0.000000,1.000370,25.0093
18,63.1803,99.4316,0.1280,-0.000003,0.000002,0.000000,1.000370,25.0093
19,117.8010,194.0380,0.1280,0.000002,-0.000002,0.000000,1.000370,25.0093
20,301.6450,173.0000,-0.4000,0.000553,0.000175,-0.354061,1.000370,25.0093
21,314.0000,532.6170,0.1280,-0.000002,-0.000002,0.000000,1.000370,25.0093
22,69.9103,101.0880,0.1280,-0.000001,-0.000000,0.000000,1.000370,25.0093
23,122.5000,10.0000,0.1280,0.000001,-0.000004,0.000000,1.000370,25.0093
24,312.4100,521.1100,0.1280,-0.000009,-0.000008,0.000000,1.000370,25.0093
25,607.5000,10.0000,0.1280,-0.000001,-0.000004,0.000000,1.000370,25.0093
26,69.9103,101.0880,0.0000,-0.000002,0.000001,-0.000001,1.000370,25.0093
27,122.5000,10.0000,0.0000,0.000001,-0.000005,-0.000000,1.000370,25.0093
28,607.5000,10.0000,0.0000,-0.000001,-0.000003,-0.000000,1.000370,25.0093
29,312.4100,521.1100,0.0000,-0.000007,-0.000006,-0.000000,1.000370,25.0093
30,117.5000,5.0000,0.6280,0.000009,-0.000002,0.000000,1.000370,25.0093
31,63.0801,99.6058,0.1280,0.000001,-0.000005,0.000000,1.000370,25.0093
32,63.0801,99.6058,0.6280,0.000001,0.000002,0.000000,1.000370,25.0093
33,617.5000,5.0000,0.6280,-0.000003,-0.000002,0.000000,1.000370,25.0093
34,314.0000,532.6170,0.6280,-0.000002,-0.000006,0.000000,1.000370,25.0093
35,315.0000,545.5960,-0.1000,-0.000014,-0.000001,-0.000116,1.000370,25.0093
36,630.0000,0.0000,-0.1000,-0.000002,0.000000,0.000024,1.000370,25.0093
37,318.9870,538.6900,0.0000,-0.000007,0.000003,-0.000020,1.000370,25.0093
38,322.9750,531.7830,0.0000,0.000002,0.000002,-0.000014,1.000370,25.0093
39,326.9620,524.8770,0.0000,0.000002,-0.000001,-0.000006,1.000370,25.0093
40,330.9490,517.9710,0.0000,0.000002,-0.000003,-0.000009,1.000370,25.0093
41,334.9370,511.0650,0.0000,0.000002,-0.000002,-0.000010,1.000370,25.0093
42,338.9240,504.1580,0.0000,0.000004,-0.000003,0.000002,1.000370,25.0093
43,342.9110,497.2520,0.0000,0.000002,-0.000007,0.000001,1.000370,25.0093
44,346.8990,490.3460,0.0000,0.000002,-0.000006,-0.000007,1.000370,25.0093
45,350.8860,483.4390,0.0000,0.000003,-0.000007,-0.000004,1.000370,25.0093
46,354.8730,476.5330,0.0000,0.000003,-0.000009,0.000000,1.000370,25.0093
47,358.8610,469.6270,0.0000,0.000004,-0.000010,0.000001,1.000370,25.0093
48,362.8480,462.7210,0.0000,0.000002,-0.000011,0.000004,1.000370,25.0093
49,366.8350,455.8140,0.0000,-0.000002,-0.000010,0.000007,1.000370,25.0093
50,370.8230,448.9080,0.0000,0.000000,-0.000008,0.000009,1.000370,25.0093
51,374.8100,442.0020,0.0000,0.000001,-0.000010,0.000006,1.000370,25.0093
