node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
1,315.0000,545.5960,0.0000,-0.000284,0.000195,-0.002019,-7067.187000,-855104.6
2,315.0000,545.5960,-0.2000,-0.000686,0.000161,-0.002021,-7067.187000,-855104.6
3,630.0000,0.0000,0.0000,0.000854,-0.000121,-0.008987,-7067.187000,-855104.6
4,630.0000,0.0000,-0.2000,0.000873,0.000350,-0.008987,-7067.187000,-855104.6
5,55.0000,95.2628,0.0000,-0.002229,0.009874,-0.029865,-7067.187000,-855104.6
6,55.0000,95.2628,-0.2000,-0.000193,0.009173,-0.029882,-7067.187000,-855104.6
7,110.0000,0.0000,0.0000,0.000334,-0.000590,-0.019519,-7067.187000,-855104.6
8,110.0000,0.0000,-0.2000,0.001224,-0.000441,-0.019526,-7067.187000,-855104.6
9,63.0801,99.2580,0.0000,0.000138,-0.000102,0.000058,-7067.187000,-855104.6
10,117.5000,5.0000,0.0000,0.000015,0.000011,-0.000040,-7067.187000,-855104.6
11,617.5000,5.0000,0.0000,-0.000152,-0.000022,0.000018,-7067.187000,-855104.6
12,314.0000,533.8640,0.0000,-0.000025,0.000045,-0.000052,-7067.187000,-855104.6
13,301.6450,173.0000,-0.2000,-0.000175,0.000668,0.279528,-7067.187000,-855104.6
14,63.0801,99.2580,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
15,117.5000,5.0000,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
16,617.5000,5.0000,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
17,314.0000,533.8640,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
18,63.1803,99.4316,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
19,117.8010,194.0380,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
20,301.6450,173.0000,-0.4000,-0.000741,0.002582,0.279529,-7067.187000,-855104.6
21,314.0000,532.6170,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
22,69.9103,101.0880,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
23,122.5000,10.0000,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
24,312.4100,521.1100,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
25,607.5000,10.0000,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
26,69.9103,101.0880,0.0000,-0.000092,0.000062,-0.000373,-7067.187000,-855104.6
27,122.5000,10.0000,0.0000,-0.000104,-0.000022,0.000071,-7067.187000,-855104.6
28,607.5000,10.0000,0.0000,0.000075,0.000009,-0.000020,-7067.187000,-855104.6
29,312.4100,521.1100,0.0000,-0.000076,-0.000025,-0.000066,-7067.187000,-855104.6
30,117.5000,5.0000,0.6280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
31,63.0801,99.6058,0.1280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
32,63.0801,99.6058,0.6280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
33,617.5000,5.0000,0.6280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
34,314.0000,532.6170,0.6280,0.000000,0.000000,0.000000,-7067.187000,-855104.6
35,315.0000,545.5960,-0.1000,-0.000487,0.000179,-0.002023,-7067.187000,-855104.6
36,630.0000,0.0000,-0.1000,0.000866,0.000116,-0.008986,-7067.187000,-855104.6
37,318.9870,538.6900,0.0000,-0.000177,0.000349,-0.005004,-7067.187000,-855104.6
38,322.9750,531.7830,0.0000,-0.001014,0.000903,-0.002886,-7067.187000,-855104.6
39,326.9620,524.8770,0.0000,0.003912,0.004644,-0.000807,-7067.187000,-855104.6
40,330.9490,517.9710,0.0000,-0.000007,0.000457,-0.001628,-7067.187000,-855104.6
41,334.9370,511.0650,0.0000,-0.000524,-0.001005,-0.003771,-7067.187000,-855104.6
42,338.9240,504.1580,0.0000,0.000153,0.000004,-0.001555,-7067.187000,-855104.6
43,342.9110,497.2520,0.0000,0.008984,-0.004403,-0.010311,-7067.187000,-855104.6
44,346.8990,490.3460,0.0000,-0.004480,-0.004112,-0.018503,-7067.187000,-855104.6
45,350.8860,483.4390,0.0000,0.000431,-0.000218,-0.001242,-7067.187000,-855104.6
46,354.8730,476.5330,0.0000,0.000345,-0.000050,0.001582,-7067.187000,-855104.6
47,358.8610,469.6270,0.0000,-0.000356,-0.000480,-0.020131,-7067.187000,-855104.6
48,362.8480,462.7210,0.0000,0.000389,-0.000385,-0.018580,-7067.187000,-855104.6
49,366.8350,455.8140,0.0000,-0.001014,0.002441,-0.000117,-7067.187000,-855104.6
50,370.8230,448.9080,0.0000,-0.002244,0.004621,0.011898,-7067.187000,-855104.6
51,374.8100,442.0020,0.0000,-0.001646,0.002157,0.004666,-7067.187000,-855104.6
52,378.7970,435.0960,0.0000,0.000143,0.000491,-0.003415,-7067.187000,-855104.6
53,382.7850,428.1890,0.0000,0.000425,0.001103,-0.001634,-7067.187000,-855104.6
54,386.7720,421.2830,0.0000,-0.004032,-0.000042,0.052916,-7067.187000,-855104.6
55,390.7590,414.3770,0.0000,-0.001478,0.000508,0.036723,-7067.187000,-855104.6
56,394.7470,407.4700,0.0000,-0.000618,0.000261,0.020941,-7067.187000,-855104.6
