T_Nm,T_Ncm,delta_T_K,max_Uz_mm,min_Uz_mm,max_abs_Uz_mm,max_vonMises_MPa
300,3.0,12.0,0.000786,-0.000693,0.000786,0.924
700,7.0,28.0,0.001834,-0.001617,0.001834,2.1559
1000,10.0,40.0,0.00262,-0.00231,0.00262,3.0799
