channel_id,x,y,vmm,ch,n,k,adc_med,adc_p25,adc_p75,adc_med_dnl,adc_n,station,eff,use,adc_med_untracked,n_hits,illuminated
510,465.3,206.9,3,1,1018,252,103.0,94.0,128.0,106.83544303797468,249,P2_IN,0.2475442043222004,True,106.28159278737792,48558.0,True
509,413.1,183.66,3,2,25500,6783,97.0,87.0,121.0,99.67137355584082,6783,P2_IN,0.266,True,99.44590011305446,72599.0,True
508,497.59,218.67,3,3,0,0,,,,,0,P2_IN,,False,116.53962264150942,21403.0,False
507,360.9,160.42,3,4,0,0,,,,,0,P2_IN,,False,107.0702479338843,48387.0,False
506,445.38,195.43,3,5,5977,1422,114.0,104.0,142.0,117.53846153846153,1422,P2_IN,0.23791199598460766,True,119.31795906601326,60219.0,True
505,529.86,230.43,3,6,0,0,,,,,0,P2_IN,,False,122.42220019821606,10649.0,False
504,308.7,137.19,3,7,0,0,,,,,0,P2_IN,,False,105.7008202057024,25998.0,False
503,393.18,172.19,3,8,26640,8781,90.0,81.0,113.0,93.13318777292577,8781,P2_IN,0.3296171171171171,True,93.46855226709432,84324.0,True
502,477.66,207.19,3,9,0,0,,,,,0,P2_IN,,False,115.76831019626616,24168.0,False
501,256.49,113.95,3,10,0,0,,,,,0,P2_IN,,False,110.27487707796767,12775.0,False
500,340.97,148.96,3,11,0,0,,,,,0,P2_IN,,False,97.08998474834776,48016.0,False
499,425.45,183.96,3,12,11126,3120,111.0,99.0,137.0,111.6584564860427,3120,P2_IN,0.28042423152975016,True,114.55520039341036,66833.0,True
498,509.92,218.95,3,13,0,0,,,,,0,P2_IN,,False,117.14803625377644,18300.0,False
497,288.77,125.73,3,14,0,0,,,,,0,P2_IN,,False,100.98807200173498,21723.0,False
496,373.24,160.72,3,15,0,0,,,,,0,P2_IN,,False,115.48993895546008,47513.0,False
495,457.71,195.72,3,16,1504,391,109.0,98.0,135.0,110.05263157894737,391,P2_IN,0.2599734042553192,True,111.28719172633254,48146.0,True
494,542.19,230.71,3,17,0,0,,,,,0,P2_IN,,False,111.16699410609036,6812.0,False
493,204.29,90.72,3,18,0,0,,,,,0,P2_IN,,False,115.09142857142858,7935.0,False
492,321.03,137.49,3,19,0,0,,,,,0,P2_IN,,False,121.29576174112256,19764.0,False
491,405.5,172.48,3,20,16893,3330,125.0,112.0,159.0,126.53169347209082,3330,P2_IN,0.19712306872669152,True,131.06810948440483,43204.0,True
490,489.97,207.47,3,21,0,0,,,,,0,P2_IN,,False,106.34220997857362,22337.0,False
489,236.56,102.5,3,22,0,0,,,,,0,P2_IN,,False,121.95360195360196,10275.0,False
488,152.09,67.5,3,23,0,0,,,,,0,P2_IN,,False,119.26172465960666,4158.0,False
487,522.23,219.22,3,24,0,0,,,,,0,P2_IN,,False,109.06846673095468,17278.0,False
486,437.76,184.23,3,25,1311,359,106.0,97.0,129.0,107.75838926174497,359,P2_IN,0.2738367658276125,True,109.82560784511956,58849.0,True
485,353.29,149.25,3,26,0,0,,,,,0,P2_IN,,False,108.12101713790756,46647.0,False
484,268.82,114.26,3,27,0,0,,,,,0,P2_IN,,False,115.48669585719098,17012.0,False
483,184.35,79.27,3,28,0,0,,,,,0,P2_IN,,False,122.744836775483,6224.0,False
482,470.01,195.98,3,29,0,0,,,,,0,P2_IN,,False,113.06443679291688,25867.0,False
481,385.54,161.0,3,30,1911,536,112.0,100.0,140.25,115.2,536,P2_IN,0.2804814233385662,True,116.4454054054054,53564.0,True
480,110.37,48.81,3,31,0,0,,,,,0,P2_IN,,False,104.0551724137931,2988.0,False
479,502.25,207.73,3,32,0,0,,,,,0,P2_IN,,False,109.54669308892744,14380.0,False
478,301.07,126.02,3,33,0,0,,,,,0,P2_IN,,False,116.3764404609475,17245.0,False
477,417.78,172.75,3,34,5118,1298,114.0,103.0,145.0,118.0979020979021,1298,P2_IN,0.2536146932395467,True,120.02693112546628,48314.0,True
476,534.5,219.47,3,35,0,0,,,,,0,P2_IN,,False,108.7624286016501,15313.0,False
475,216.6,91.04,3,36,0,0,,,,,0,P2_IN,,False,123.06989247311829,6341.0,False
474,333.32,137.76,3,37,0,0,,,,,0,P2_IN,,False,95.28738818193273,37600.0,False
473,450.03,184.49,3,38,0,0,,,,,0,P2_IN,,False,104.65369034680369,41408.0,False
472,248.85,102.79,3,39,0,0,,,,,0,P2_IN,,False,111.02225174360676,9928.0,False
471,365.56,149.51,3,40,0,0,,,,,0,P2_IN,,False,106.17857561891353,31660.0,False
470,482.26,196.23,3,41,0,0,,,,,0,P2_IN,,False,124.06157561122848,27669.0,False
469,132.14,56.07,3,42,0,0,,,,,0,P2_IN,,False,108.69796279893713,4352.0,False
468,514.5,207.97,3,43,0,0,,,,,0,P2_IN,,False,104.37853823405156,24389.0,False
467,397.79,161.25,3,44,6042,1887,111.0,96.0,136.0,111.58823529411765,1887,P2_IN,0.31231380337636544,True,114.09156139464376,52041.0,True
466,281.08,114.54,3,45,0,0,,,,,0,P2_IN,,False,106.13324056357628,19286.0,False
465,546.73,219.71,3,46,0,0,,,,,0,P2_IN,,False,111.24673710379118,25251.0,False
464,430.03,172.99,3,47,0,0,,,,,0,P2_IN,,False,105.21814870536068,46826.0,False
463,164.38,67.83,3,48,0,0,,,,,0,P2_IN,,False,107.06706231454004,5943.0,False
462,313.32,126.28,3,49,0,0,,,,,0,P2_IN,,False,118.84603886397608,15268.0,False
461,462.26,184.73,3,50,0,0,,,,,0,P2_IN,,False,108.54772835206586,21024.0,False
460,345.55,138.02,3,51,0,0,,,,,0,P2_IN,,False,114.60339943342775,17995.0,False
459,494.49,196.47,3,52,0,0,,,,,0,P2_IN,,False,101.34926470588236,18140.0,False
458,196.61,79.57,3,53,0,0,,,,,0,P2_IN,,False,98.92265496434447,9306.0,False
457,526.72,208.2,3,54,0,0,,,,,0,P2_IN,,False,110.94744218640504,15519.0,False
456,377.78,149.75,3,55,0,0,,,,,0,P2_IN,,False,123.16165413533837,19852.0,False
455,228.84,91.31,3,56,0,0,,,,,0,P2_IN,,False,117.33333333333331,6866.0,False
454,410.0,161.49,3,57,4,2,120.5,114.75,126.25,112.0,2,P2_IN,0.5,False,95.27660816275484,57577.0,False
453,261.06,103.05,3,58,0,0,,,,,0,P2_IN,,False,104.19902120717782,10325.0,False
452,442.23,173.22,3,59,0,0,,,,,0,P2_IN,,False,111.23214285714286,41402.0,False
451,293.29,114.78,3,60,0,0,,,,,0,P2_IN,,False,115.57863792258696,12553.0,False
450,474.46,184.96,3,61,0,0,,,,,0,P2_IN,,False,109.32486906840184,18933.0,False
449,325.51,126.52,3,62,0,0,,,,,0,P2_IN,,False,254.0,455.0,False
448,506.68,196.69,3,63,0,0,,,,,0,P2_IN,,False,93.5792726408367,12075.0,False
575,310.97,158.95,4,0,0,0,,,,,0,P2_IN,,False,187.60975609756096,5261.0,False
574,402.88,205.11,4,1,28772,1701,161.0,133.0,221.0,162.9873417721519,1701,P2_IN,0.05911997775615181,True,170.28029504741835,18757.0,True
573,494.8,251.27,4,2,0,0,,,,,0,P2_IN,,False,165.53656024716787,10302.0,False
572,291.14,147.51,4,3,0,0,,,,,0,P2_IN,,False,186.1939058171745,3820.0,False
571,383.06,193.67,4,4,34037,2411,162.0,135.0,218.0,164.7653429602888,2411,P2_IN,0.07083467990715986,True,174.89931809065382,20835.0,True
570,474.97,239.84,4,5,0,0,,,,,0,P2_IN,,False,183.44051910598407,14694.0,False
569,199.23,101.36,4,6,0,0,,,,,0,P2_IN,,False,206.22222222222223,1888.0,False
568,271.31,136.08,4,7,0,0,,,,,0,P2_IN,,False,193.8512396694215,3332.0,False
567,363.22,182.24,4,8,0,0,,,,,0,P2_IN,,False,184.288,17185.0,False
566,455.14,228.4,4,9,788,106,113.0,94.0,164.0,113.14285714285714,105,P2_IN,0.13451776649746192,True,180.8775710088149,22165.0,True
565,179.39,89.93,4,10,0,0,,,,,0,P2_IN,,False,232.5818181818182,1359.0,False
564,435.3,216.96,4,11,23993,1542,181.0,154.0,243.0,184.94117647058823,1542,P2_IN,0.06426874505063977,True,197.65420560747663,20520.0,True
563,527.22,263.12,4,12,0,0,,,,,0,P2_IN,,False,167.5505617977528,4898.0,False
562,343.39,170.8,4,13,0,0,,,,,0,P2_IN,,False,231.42327497425333,18783.0,False
561,251.47,124.65,4,14,0,0,,,,,0,P2_IN,,False,612.2247191011236,6350.0,False
560,507.38,251.68,4,15,0,0,,,,,0,P2_IN,,False,202.57249070631968,6761.0,False
559,415.46,205.52,4,16,21647,1415,193.0,161.0,258.0,195.07692307692307,1415,P2_IN,0.06536702545387352,True,204.8864059590317,22108.0,True
558,159.55,78.51,4,17,0,0,,,,,0,P2_IN,,False,227.46268656716416,1431.0,False
557,323.54,159.36,4,18,0,0,,,,,0,P2_IN,,False,200.0774193548387,8368.0,False
556,487.54,240.23,4,19,0,0,,,,,0,P2_IN,,False,214.54308943089436,9139.0,False
555,231.62,113.22,4,20,0,0,,,,,0,P2_IN,,False,205.92207792207796,2396.0,False
554,395.62,194.08,4,21,43851,2441,185.0,155.0,249.0,185.65413533834587,2441,P2_IN,0.05566577729128184,True,194.3780821917808,19042.0,True
553,303.7,147.93,4,22,0,0,,,,,0,P2_IN,,False,397.64301075268816,10225.0,False
552,467.7,228.79,4,23,0,0,,,,,0,P2_IN,,False,202.3503448275862,16892.0,False
551,139.69,67.1,4,24,0,0,,,,,0,P2_IN,,False,221.88888888888889,1425.0,False
550,375.77,182.64,4,25,12610,845,186.0,157.0,254.0,187.61290322580646,845,P2_IN,0.06701030927835051,True,199.0401836969001,21181.0,True
549,211.76,101.79,4,26,0,0,,,,,0,P2_IN,,False,214.8679245283019,1927.0,False
548,447.85,217.35,4,27,22808,1692,194.0,160.0,266.0,195.44827586206898,1384,P2_IN,0.07418449666783584,True,202.7954256670902,19698.0,True
547,519.93,252.06,4,28,0,0,,,,,0,P2_IN,,False,202.76543209876544,5452.0,False
546,283.84,136.49,4,29,0,0,,,,,0,P2_IN,,False,223.8630136986301,4067.0,False
545,355.92,171.19,4,30,0,0,,,,,0,P2_IN,,False,202.78761699064077,15425.0,False
544,427.99,205.9,4,31,12203,714,212.0,176.0,290.0,213.0,714,P2_IN,0.05851020240924363,True,219.3289552238806,21548.0,True
543,500.07,240.61,4,32,0,0,,,,,0,P2_IN,,False,196.68539325842696,8917.0,False
542,191.89,90.36,4,33,0,0,,,,,0,P2_IN,,False,191.11724137931037,1918.0,False
541,263.97,125.05,4,34,0,0,,,,,0,P2_IN,,False,223.43661971830983,3137.0,False
540,408.13,194.45,4,35,34754,2746,197.0,165.0,260.0,199.24279835390948,2746,P2_IN,0.07901248777119181,True,210.7852998065764,29734.0,True
539,480.21,229.16,4,36,0,0,,,,,0,P2_IN,,False,,0.0,False
538,336.05,159.75,4,37,0,0,,,,,0,P2_IN,,False,192.40029873039583,15211.0,False
537,119.81,55.69,4,38,0,0,,,,,0,P2_IN,,False,191.62033898305089,2300.0,False
536,388.27,183.0,4,39,38496,264,190.5,148.75,285.5,191.46666666666667,264,P2_IN,0.00685785536159601,True,137.83322943573566,994156725.0,False
535,460.35,217.71,4,40,1426,863,179.0,118.0,221.0,180.0,25,P2_IN,0.6051893408134642,False,137.30803793983193,1428351.0,True
534,532.43,252.42,4,41,0,0,,,,,0,P2_IN,,False,136.01165466251078,140193833.0,False
533,316.18,148.3,4,42,0,0,,,,,0,P2_IN,,False,136.62578260541602,14294.0,False
532,244.1,113.61,4,43,0,0,,,,,0,P2_IN,,False,152.6333853354134,8303.0,False
531,172.0,78.92,4,44,0,0,,,,,0,P2_IN,,False,154.4144527098831,1225.0,False
530,512.56,240.96,4,45,0,0,,,,,0,P2_IN,,False,136.55760368663596,2503.0,False
529,440.48,206.26,4,46,15054,98,209.0,176.25,288.5,211.55555555555557,98,P2_IN,0.006509897701607546,True,560.0,460.0,True
528,368.39,171.55,4,47,0,0,,,,,0,P2_IN,,False,140.17391304347825,804.0,False
527,296.3,136.85,4,48,0,0,,,,,0,P2_IN,,False,1010.1132075471698,368.0,False
526,492.68,229.51,4,49,0,0,,,,,0,P2_IN,,False,141.0422270878949,5212.0,False
525,224.2,102.16,4,50,0,0,,,,,0,P2_IN,,False,1012.9904761904762,289.0,False
524,420.6,194.8,4,51,20030,251,181.0,132.5,259.0,181.62962962962962,251,P2_IN,0.012531203195207188,True,240.21981200289227,3238.0,True
523,348.5,160.1,4,52,0,0,,,,,0,P2_IN,,False,236.0,518.0,False
522,276.41,125.4,4,53,0,0,,,,,0,P2_IN,,False,1013.8767772511848,267.0,False
521,472.8,218.05,4,54,0,0,,,,,0,P2_IN,,False,154.6139534883721,1175.0,False
520,400.71,183.35,4,55,32516,314,162.5,104.25,242.25,161.92,314,P2_IN,0.009656784352318858,True,138.034265103697,1391.0,True
519,328.61,148.65,4,56,0,0,,,,,0,P2_IN,,False,1012.8,301.0,False
518,525.01,241.3,4,57,0,0,,,,,0,P2_IN,,False,1014.3856502242152,268.0,False
517,452.91,206.59,4,58,13768,422,130.0,102.0,193.0,131.73333333333335,183,P2_IN,0.03065078442765834,True,1014.1004566210046,271.0,False
516,380.81,171.89,4,59,6892,143,97.0,82.5,172.0,96.61538461538461,143,P2_IN,0.020748694138131168,True,1011.0599078341014,351.0,True
515,433.01,195.13,4,60,7542,93,154.0,114.0,226.0,157.0,93,P2_IN,0.012330946698488464,True,1013.2477064220184,293.0,True
514,505.11,229.83,4,61,0,0,,,,,0,P2_IN,,False,1009.1954022988506,322.0,False
513,485.21,218.37,4,62,0,0,,,,,0,P2_IN,,False,1009.3755656108598,404.0,False
512,537.42,241.61,4,63,0,0,,,,,0,P2_IN,,False,1009.5930735930737,416.0,False
576,514.62,262.71,5,0,0,0,,,,,0,P2_IN,,False,95.49829668628058,31760.0,False
577,219.06,112.78,5,1,0,0,,,,,0,P2_IN,,False,97.4492330168006,8014.0,False
578,422.71,216.54,5,2,11330,2649,110.0,97.0,143.0,110.55723542116631,2649,P2_IN,0.23380406001765225,True,111.03621411051796,83314.0,True
579,330.79,170.38,5,3,0,0,,,,,0,P2_IN,,False,97.41858407079646,45903.0,False
580,127.15,66.61,5,4,0,0,,,,,0,P2_IN,,False,118.32326820603907,3463.0,False
581,442.53,227.98,5,5,20798,5873,99.0,90.0,127.0,103.42241925269158,5871,P2_IN,0.28238292143475335,True,107.79228119756247,100375.0,True
582,238.88,124.21,5,6,0,0,,,,,0,P2_IN,,False,103.9020979020979,11995.0,False
583,350.61,181.81,5,7,0,0,,,,,0,P2_IN,,False,120.01664830456605,43992.0,False
584,462.35,239.41,5,8,0,0,,,,,0,P2_IN,,False,107.82418699186992,62016.0,False
585,146.97,78.02,5,9,0,0,,,,,0,P2_IN,,False,114.26443202979516,3780.0,False
586,258.7,135.63,5,10,0,0,,,,,0,P2_IN,,False,116.343792633015,6724.0,False
587,482.17,250.84,5,11,0,0,,,,,0,P2_IN,,False,99.977210071678,60194.0,False
588,370.43,193.24,5,12,6700,2027,97.0,86.0,124.0,99.33004926108374,2027,P2_IN,0.3025373134328358,True,100.42592497562478,91169.0,True
589,501.98,262.28,5,13,0,0,,,,,0,P2_IN,,False,132.43986254295532,19180.0,False
590,390.25,204.67,5,14,18742,3778,115.0,102.0,152.0,118.71870794078062,3778,P2_IN,0.20157934051862128,True,122.85034749034747,67840.0,True
591,278.51,147.06,5,15,0,0,,,,,0,P2_IN,,False,118.6829865361077,9665.0,False
592,521.8,273.71,5,16,0,0,,,,,0,P2_IN,,False,107.1463687150838,11775.0,False
593,410.06,216.1,5,17,9309,2236,107.0,96.0,141.0,108.83018867924528,2236,P2_IN,0.24019765818025568,True,109.94825716498838,81148.0,True
594,166.78,89.44,5,18,0,0,,,,,0,P2_IN,,False,113.73737373737374,4157.0,False
595,298.32,158.49,5,19,0,0,,,,,0,P2_IN,,False,128.8877551020408,12474.0,False
596,429.87,227.53,5,20,12381,2158,117.0,103.0,163.0,121.06811989100817,2158,P2_IN,0.17429932961796302,True,123.71772004652966,56646.0,True
597,186.59,100.86,5,21,0,0,,,,,0,P2_IN,,False,134.84468664850135,5024.0,False
598,318.13,169.91,5,22,0,0,,,,,0,P2_IN,,False,113.52941176470588,19407.0,False
599,449.68,238.96,5,23,72,16,102.0,90.75,155.5,104.0,16,P2_IN,0.2222222222222222,False,107.45906536377905,76133.0,False
600,206.39,112.28,5,24,0,0,,,,,0,P2_IN,,False,125.83501006036217,4145.0,False
601,469.49,250.39,5,25,0,0,,,,,0,P2_IN,,False,129.1195335276968,39034.0,False
602,337.94,181.34,5,26,0,0,,,,,0,P2_IN,,False,113.51841359773373,38082.0,False
603,489.3,261.82,5,27,0,0,,,,,0,P2_IN,,False,105.4819361138234,30721.0,False
604,357.75,192.77,5,28,0,0,,,,,0,P2_IN,,False,121.59880339039388,57941.0,False
605,509.11,273.25,5,29,0,0,,,,,0,P2_IN,,False,107.77504926481734,24368.0,False
606,226.2,123.7,5,30,0,0,,,,,0,P2_IN,,False,110.36021100226074,9316.0,False
607,377.55,204.2,5,31,19743,4219,111.0,97.0,146.5,111.6907366885485,4219,P2_IN,0.21369599351668947,True,115.8975929978118,59869.0,True
608,246.0,135.13,5,32,0,0,,,,,0,P2_IN,,False,119.90606653620353,8437.0,False
609,397.36,215.62,5,33,20521,5681,107.0,97.0,137.0,109.28735632183908,5681,P2_IN,0.2768383607036694,True,109.6722793157701,92342.0,True
610,265.8,146.55,5,34,0,0,,,,,0,P2_IN,,False,898.2068965517242,54302.0,False
611,417.16,227.05,5,35,11947,4146,100.0,89.0,129.0,102.74446680080483,4146,P2_IN,0.34703272788147654,True,101.4434769665848,118068.0,True
612,285.6,157.98,5,36,0,0,,,,,0,P2_IN,,False,118.96608187134504,10825.0,False
613,436.96,238.48,5,37,15397,3726,109.0,96.0,143.75,110.5038961038961,3726,P2_IN,0.2419951938689355,True,110.93575854843743,74842.0,True
614,305.4,169.4,5,38,0,0,,,,,0,P2_IN,,False,106.34432823813354,20133.0,False
615,456.76,249.91,5,39,1,0,,,,,0,P2_IN,0.0,False,103.24221605028504,67302.0,False
616,173.82,100.28,5,40,0,0,,,,,0,P2_IN,,False,99.8784,4225.0,False
617,476.56,261.34,5,41,0,0,,,,,0,P2_IN,,False,113.4853017019082,25814.0,False
618,325.2,180.83,5,42,0,0,,,,,0,P2_IN,,False,130.5517873510541,17778.0,False
619,496.36,272.76,5,43,0,0,,,,,0,P2_IN,,False,121.22960439144424,24217.0,False
620,344.99,192.26,5,44,0,0,,,,,0,P2_IN,,False,108.04157043879908,44984.0,False
621,516.16,284.19,5,45,0,0,,,,,0,P2_IN,,False,124.63120567375888,9826.0,False
622,364.79,203.69,5,46,7392,3983,93.0,81.0,113.0,94.47641791044776,3983,P2_IN,0.5388257575757576,True,94.63304578633046,138059.0,True
623,213.41,123.14,5,47,0,0,,,,,0,P2_IN,,False,102.15643044619422,8514.0,False
624,384.59,215.11,5,48,18685,5793,104.0,96.0,129.0,107.56131605184447,5793,P2_IN,0.31003478726251005,True,107.80742714790568,97550.0,True
625,404.39,226.54,5,49,13263,3446,113.0,100.0,142.0,112.47971781305115,3446,P2_IN,0.2598205534192867,True,116.04387785354284,79904.0,True
626,252.99,145.99,5,50,0,0,,,,,0,P2_IN,,False,120.3020940611054,12469.0,False
627,424.18,237.97,5,51,19981,4885,120.0,108.0,153.0,122.65594855305466,4885,P2_IN,0.24448225814523797,True,124.69204938781836,74886.0,True
