vi,pad_id,x_v,y_v,vmm,ch,n_track_v,k_hit_v,amp_n_v,amp_med_v,amp_p25_v,amp_p75_v,eff_v,di,x_d,y_d,n_track_d,k_hit_d,eff_d,amp_n_lead,amp_med_lead,amp_p25_d,amp_p75_d,amp_n_d,amp_med_d,amp_mean,pad_area,radius,connector_N,half,masked,mpv_v,mpv_d,use
169,534,532.43,252.42,16,41,0,0,0,,,,,169,532.4268,252.4152,0,0,,0,,,,0,,,133.034,637.0407,5,bot,False,,,False
170,533,316.18,148.3,16,42,0,0,0,,,,,170,316.1831,148.3025,0,0,,0,,,,0,,,132.48,399.933,5,bot,False,,,False
171,532,244.1,113.61,16,43,0,0,0,,,,,171,244.0974,113.6066,0,0,,0,,,,0,,,132.046,319.9058,5,bot,False,,,False
172,531,172.0,78.92,16,44,0,0,0,,,,,172,172.0044,78.9249,0,0,,0,,,,0,,,131.224,239.8734,5,bot,False,,,False
173,530,512.56,240.96,16,45,0,0,0,,,,,173,512.5581,240.9619,0,0,,0,,,,0,,,133.007,617.0909,5,bot,False,,,False
174,529,440.48,206.26,16,46,15585,14385,14385,203.27485380116957,143.0,290.0,0.9230028873917228,174,440.4752,206.2563,2161,2122,0.981952799629801,2122,693.1428571428571,403.77777777777777,1119.0,1927,702.5263157894736,916.784165881244,132.868,537.0817,5,bot,False,136.38356164383563,414.4,True
175,528,368.39,171.55,16,47,0,0,0,,,,,175,368.39,171.5535,0,0,,0,,,,0,,,132.674,457.0653,5,bot,False,,,False
176,527,296.3,136.85,16,48,0,0,0,,,,,176,296.301,136.8547,0,0,,0,,,,0,,,132.386,377.0409,5,bot,False,,,False
177,526,492.68,229.51,16,49,0,0,0,,,,,177,492.683,229.5066,0,0,,0,,,,0,,,132.966,594.2195,5,bot,False,,,False
178,525,224.2,102.16,16,50,0,0,0,,,,,178,224.2045,102.1643,0,0,,0,,,,0,,,131.873,297.0092,5,bot,False,,,False
179,524,420.6,194.8,16,51,21226,19904,19904,202.11586901763224,143.0,291.0,0.9377178931499105,179,420.5957,194.8022,5386,5273,0.9790196806535464,5273,689.6774193548388,414.5416666666666,1105.0,4834,691.6923076923077,925.6172956571212,132.825,514.201,5,bot,False,138.53443526170798,547.7333333333333,True
180,523,348.5,160.1,16,52,0,0,0,,,,,180,348.5044,160.1005,0,0,,0,,,,0,,,132.602,434.1793,5,bot,False,,,False
181,522,276.41,125.4,16,53,0,0,0,,,,,181,276.4057,125.4044,0,0,,0,,,,0,,,132.259,354.151,5,bot,False,,,False
182,521,472.8,218.05,16,54,0,0,0,,,,,182,472.8009,218.0495,0,0,,0,,,,0,,,132.924,571.3375,5,bot,False,,,False
183,520,400.71,183.35,16,55,33664,30101,30101,133.10943396226415,100.0,182.0,0.894159933460076,183,400.7076,183.3456,7333,7128,0.9720441838265376,7128,402.8108108108109,242.55670103092783,657.8461538461539,6503,399.0344827586207,588.2020202020202,132.763,491.3176,5,bot,False,106.62750333778371,222.2222222222222,True
184,519,328.61,148.65,16,56,0,0,0,,,,,184,328.6075,148.6451,0,0,,0,,,,0,,,132.517,411.2975,5,bot,False,,,False
185,518,525.01,241.3,16,57,0,0,0,,,,,185,525.0057,241.2954,0,0,,0,,,,0,,,133.019,628.4762,5,bot,False,,,False
186,517,452.91,206.59,16,58,15593,14459,14459,165.46598984771575,113.0,242.0,0.9272750593214905,186,452.9108,206.5899,0,0,,0,,,,0,,,132.888,548.4583,5,bot,False,114.35897435897436,,False
187,516,380.81,171.89,16,59,8164,6370,6370,99.70353477765109,76.0,134.0,0.7802547770700637,187,380.8094,171.8864,1516,1464,0.9656992084432716,1464,342.4761904761905,206.51851851851853,568.0,1372,334.8571428571429,493.6065573770492,132.706,468.4374,5,bot,False,85.9585211902615,193.23076923076923,True
188,515,433.01,195.13,16,60,8349,7818,7818,178.0369003690037,123.0,258.0,0.936399568810636,188,433.0117,195.1277,0,0,,0,,,,0,,,132.849,525.5807,5,bot,False,119.29411764705883,,False
189,514,505.11,229.83,16,61,0,0,0,,,,,189,505.1138,229.8337,0,0,,0,,,,0,,,132.988,605.5978,5,bot,False,,,False
190,513,485.21,218.37,16,62,0,0,0,,,,,190,485.2135,218.3691,0,0,,0,,,,0,,,132.95,582.7228,5,bot,False,,,False
191,512,537.42,241.61,16,63,0,0,0,,,,,191,537.4159,241.6109,0,0,,0,,,,0,,,133.036,637.3213,5,bot,False,,,False
192,639,510.32,294.56,17,0,0,0,0,,,,,192,510.3199,294.5593,0,0,,0,,,,0,,,133.041,637.5358,5,top,False,,,False
193,638,470.73,271.7,17,1,0,0,0,,,,,193,470.731,271.7025,0,0,,0,,,,0,,,132.963,594.4374,5,top,False,,,False
194,637,450.94,260.27,17,2,0,0,0,,,,,194,450.9364,260.2742,1,1,1.0,1,564.0,562.0,566.0,0,,564.0,132.931,571.5791,5,top,False,,,False
195,636,431.14,248.85,17,3,11076,10042,10042,211.0371819960861,144.0,314.0,0.906644998194294,195,431.1417,248.8462,40996,40181,0.9801200117084594,40181,810.2391304347826,474.1328125,1348.6373626373625,36658,817.6618357487923,1084.5970981309574,132.89,548.7207,5,top,False,126.912,472.43243243243245,True
196,635,411.35,237.42,17,4,11729,3500,3500,123.63025210084034,97.0,170.0,0.29840566118168643,196,411.3474,237.4175,25093,16192,0.6452795600366636,16192,277.6,135.35222672064776,514.64,13608,252.1818181818182,463.1902173913044,132.842,525.8622,5,top,False,104.69606674612633,67.0958904109589,True
197,634,503.37,283.68,17,5,0,0,0,,,,,197,503.3701,283.6772,0,0,,0,,,,0,,,133.023,628.7253,5,top,False,,,False
198,633,351.96,203.13,17,6,0,0,0,,,,,198,351.9643,203.1326,1,0,0.0,0,,,,0,,,132.673,457.2843,5,top,False,,,False
199,632,483.57,272.25,17,7,0,0,0,,,,,199,483.5741,272.2493,0,0,,0,,,,0,,,132.986,605.8635,5,top,False,,,False
200,631,312.38,180.28,17,8,0,0,0,,,,,200,312.3758,180.2762,0,0,,0,,,,0,,,132.52,411.5656,5,top,False,,,False
201,630,463.78,260.82,17,9,0,0,0,,,,,201,463.7775,260.8215,0,0,,0,,,,0,,,132.952,583.0038,5,top,False,,,False
202,629,443.98,249.39,17,10,367,350,350,194.66666666666666,130.0,289.5,0.9536784741144414,202,443.9808,249.3942,1959,1952,0.9964267483409904,1952,704.5,426.0,1133.3333333333333,582,665.3333333333334,973.0901639344262,132.904,560.1469,5,top,False,120.32000000000001,402.6666666666667,False
203,628,272.79,157.42,17,11,0,0,0,,,,,203,272.7878,157.4203,0,0,,0,,,,0,,,132.326,365.8455,5,top,False,,,False
204,627,424.18,237.97,17,12,18784,17348,17348,199.3953488372093,140.0,292.0,0.9235519591141397,204,424.1838,237.9667,48803,47881,0.9811077187877796,47881,692.28664495114,417.44235924932974,1113.9041095890411,42354,690.0289855072464,931.660658716401,132.864,537.2865,5,top,False,147.24848484848485,422.27848101265823,True
205,626,252.99,145.99,17,13,0,0,0,,,,,205,252.9942,145.992,0,0,,0,,,,0,,,132.196,342.985,5,top,False,,,False
206,625,404.39,226.54,17,14,13468,12052,12052,145.57952468007312,108.0,205.0,0.8948618948618948,206,404.3868,226.5392,59550,57552,0.966448362720403,57552,464.9928057553957,284.07954545454544,744.5313653136532,50999,460.9029850746269,653.995690853489,132.82,514.4259,5,top,False,110.4695652173913,279.4594594594595,True
207,624,384.59,215.11,17,15,17323,12115,12115,128.29955947136563,102.0,173.0,0.6993592333891359,207,384.5895,215.1119,83363,79199,0.9500497822775092,79199,338.37786259541986,203.42604501607715,549.7116104868915,69941,333.5146898803047,494.2169976893648,132.757,491.5663,5,top,False,108.36425531914894,196.87272727272727,True
208,623,213.41,123.14,17,16,0,0,0,,,,,208,213.4071,123.1366,0,0,,0,,,,0,,,131.871,297.2648,5,top,False,,,False
209,622,364.79,203.69,17,17,6918,3496,3496,127.30658105939004,106.0,164.25,0.5053483665799364,209,364.7919,203.6852,34419,32034,0.9307068770156018,32034,246.5908256880734,145.22304283604134,408.4285714285714,27670,242.47540983606555,380.2372479240807,132.706,468.702,5,top,False,116.59276546091016,133.5384615384615,True
210,621,516.16,284.19,17,18,0,0,0,,,,,210,516.1648,284.1931,0,0,,0,,,,0,,,133.037,637.2349,5,top,False,,,False
211,620,344.99,192.26,17,19,0,0,0,,,,,211,344.9941,192.2579,0,0,,0,,,,0,,,132.637,445.8448,5,top,False,,,False
212,619,496.36,272.76,17,20,0,0,0,,,,,212,496.3645,272.7647,0,0,,0,,,,0,,,133.004,617.2701,5,top,False,,,False
213,618,325.2,180.83,17,21,0,0,0,,,,,213,325.1958,180.8313,0,0,,0,,,,0,,,132.563,422.9826,5,top,False,,,False
214,617,476.56,261.34,17,22,0,0,0,,,,,214,476.5642,261.3363,0,0,,0,,,,0,,,132.972,594.4102,5,top,False,,,False
215,616,173.82,100.28,17,23,0,0,0,,,,,215,173.8214,100.2819,0,0,,0,,,,0,,,131.388,251.5458,5,top,False,,,False
216,615,456.76,249.91,17,24,1,0,0,,,,0.0,216,456.7627,249.9082,0,0,,0,,,,0,,,132.932,571.5493,5,top,False,,,False
217,614,305.4,169.4,17,25,0,0,0,,,,,217,305.3971,169.4047,0,0,,0,,,,0,,,132.48,400.1198,5,top,False,,,False
218,613,436.96,238.48,17,26,17543,16287,16287,218.2202247191011,152.0,316.0,0.9284044918200992,218,436.9609,238.4796,49328,48364,0.980457346740188,48364,684.7192429022082,403.9781420765028,1109.9867549668877,44449,680.3139931740615,926.9124141923744,132.883,548.6888,5,top,False,146.30769230769232,318.7368421052632,True
219,612,285.6,157.98,17,27,0,0,0,,,,,219,285.5979,157.9788,0,0,,0,,,,0,,,132.379,377.2573,5,top,False,,,False
220,611,417.16,227.05,17,28,12523,11327,11327,176.67469879518072,129.0,250.0,0.9044957278607363,220,417.1586,227.0515,27275,26625,0.9761686526122824,26625,550.0672268907563,337.64,882.0747663551401,23504,548.2592592592592,762.9723943661971,132.843,525.8294,5,top,False,124.65424430641824,396.7999999999999,True
221,610,265.8,146.55,17,29,0,0,0,,,,,221,265.7979,146.5533,0,0,,0,,,,0,,,132.259,354.3998,5,top,False,,,False
222,609,397.36,215.62,17,30,20947,17766,17766,135.51872871736663,101.0,184.0,0.8481405451854681,222,397.3555,215.6236,72482,70099,0.9671228718854336,70099,394.9802890932983,239.9897119341564,634.5669291338584,61844,389.0311614730878,570.5385240873621,132.8,502.9701,5,top,False,106.57962064402294,242.79069767441857,True
223,608,246.0,135.13,17,31,0,0,0,,,,,223,245.9971,135.1281,0,0,,0,,,,0,,,132.124,331.5393,5,top,False,,,False
224,607,377.55,204.2,17,32,19459,15955,15955,122.00962800875274,97.0,163.0,0.8199290816588725,224,377.5512,204.1957,81127,77358,0.9535419773934696,77358,295.3605560382276,176.1653372008702,484.6075949367088,67006,287.28153380423817,443.3087722019701,132.737,480.1081,5,top,False,104.49478390461996,181.5757575757577,True
225,606,226.2,123.7,17,33,0,0,0,,,,,225,226.1952,123.7039,0,0,,0,,,,0,,,131.968,308.6759,5,top,False,,,False
226,605,509.11,273.25,17,34,0,0,0,,,,,226,509.1055,273.251,0,0,,0,,,,0,,,133.025,628.6794,5,top,False,,,False
227,604,357.75,192.77,17,35,0,0,0,,,,,227,357.7461,192.7676,0,0,,0,,,,0,,,132.667,457.2448,5,top,False,,,False
228,603,489.3,261.82,17,36,0,0,0,,,,,228,489.2988,261.821,0,0,,0,,,,0,,,132.993,605.8185,5,top,False,,,False
229,602,337.94,181.34,17,37,0,0,0,,,,,229,337.94,181.34,0,0,,0,,,,0,,,132.599,434.3842,5,top,False,,,False
230,601,469.49,250.39,17,38,0,0,0,,,,,230,469.4907,250.391,0,0,,0,,,,0,,,132.951,582.9573,5,top,False,,,False
231,600,206.39,112.28,17,39,0,0,0,,,,,231,206.3922,112.2805,0,0,,0,,,,0,,,131.772,285.825,5,top,False,,,False
232,599,449.68,238.96,17,40,536,486,486,165.94285714285715,114.25,238.75,0.9067164179104478,232,449.6822,238.9607,2247,2234,0.9942145082331998,2234,544.8,328.9090909090909,903.6363636363636,1101,518.0,771.9677708146822,132.906,560.0964,5,top,False,106.83870967741936,281.6,True
233,598,318.13,169.91,17,41,0,0,0,,,,,233,318.1322,169.9123,0,0,,0,,,,0,,,132.521,411.5216,5,top,False,,,False
234,597,186.59,100.86,17,42,0,0,0,,,,,234,186.5871,100.8585,0,0,,0,,,,0,,,131.525,262.953,5,top,False,,,False
235,596,429.87,227.53,17,43,12650,11751,11751,213.3294117647059,152.0,306.0,0.9289328063241107,235,429.8721,227.5304,34797,34230,0.983705491852746,34230,669.2190476190476,407.8364312267658,1067.451612903226,30287,663.7129186602872,901.422378030967,132.869,537.234,5,top,False,147.1304347826087,450.4,True
236,595,298.32,158.49,17,44,0,0,0,,,,,236,298.3225,158.485,0,0,,0,,,,0,,,132.432,388.6581,5,top,False,,,False
237,594,166.78,89.44,17,45,0,0,0,,,,,237,166.7797,89.4384,0,0,,0,,,,0,,,131.22,240.1019,5,top,False,,,False
238,593,410.06,216.1,17,46,9523,8434,8434,157.4554707379135,114.25,219.0,0.8856452798487872,238,410.0603,216.0998,50916,49269,0.967652604289418,49269,523.2925170068028,317.174672489083,837.829383886256,44078,519.155672823219,727.660232600621,132.816,514.3706,5,top,False,111.81502890173411,278.1052631578947,True
239,592,521.8,273.71,17,47,0,0,0,,,,,239,521.7991,273.7103,0,0,,0,,,,0,,,133.034,636.9387,5,top,False,,,False
240,591,278.51,147.06,17,48,0,0,0,,,,,240,278.5107,147.0578,0,0,,0,,,,0,,,132.322,365.7878,5,top,False,,,False
241,590,390.25,204.67,17,49,17351,15445,15445,133.77454545454546,103.0,179.0,0.8901504236067086,241,390.247,204.669,70838,68029,0.9603461419012396,68029,373.3906976744186,223.68541666666667,600.8927680798005,60028,368.81971465629056,539.841126578371,132.763,491.5081,5,top,False,108.21233859397418,214.50666666666675,True
242,589,501.98,262.28,17,50,0,0,0,,,,,242,501.9848,262.2779,0,0,,0,,,,0,,,133.0,617.2257,5,top,False,,,False
243,588,370.43,193.24,17,51,6255,4402,4402,114.0,92.0,151.0,0.7037569944044764,243,370.4316,193.2386,27596,26091,0.9454631105957384,26091,281.9033078880407,168.68163265306123,459.8469387755102,22491,276.51428571428573,423.83549883101455,132.7,468.6464,5,top,False,100.920049200492,177.84615384615378,True
244,587,482.17,250.84,17,52,0,0,0,,,,,244,482.1687,250.8449,0,0,,0,,,,0,,,132.962,594.3642,5,top,False,,,False
245,586,258.7,135.63,17,53,0,0,0,,,,,245,258.6967,135.6311,0,0,,0,,,,0,,,132.199,342.9237,5,top,False,,,False
246,585,146.97,78.02,17,54,0,0,0,,,,,246,146.9687,78.0211,0,0,,0,,,,0,,,130.815,217.2158,5,top,False,,,False
247,584,462.35,239.41,17,55,0,0,0,,,,,247,462.351,239.4116,0,0,,0,,,,0,,,132.929,571.4998,5,top,False,,,False
248,583,350.61,181.81,17,56,0,0,0,,,,,248,350.6137,181.8076,0,0,,0,,,,0,,,132.641,445.7803,5,top,False,,,False
249,582,238.88,124.21,17,57,0,0,0,,,,,249,238.8788,124.2051,0,0,,0,,,,0,,,132.047,320.0521,5,top,False,,,False
250,581,442.53,227.98,17,58,17519,15782,15782,168.93959731543623,120.0,243.0,0.90085050516582,250,442.5308,227.9782,30936,30397,0.9825769330230152,30397,649.8860103626943,386.1517857142857,1067.6198347107438,27261,649.3720930232558,893.4433003256901,132.887,548.6375,5,top,False,117.06474820143886,388.3333333333333,True
251,580,127.15,66.61,17,59,0,0,0,,,,,251,127.1522,66.6083,0,0,,0,,,,0,,,130.269,194.3106,5,top,False,,,False
252,579,330.79,170.38,17,60,0,0,0,,,,,252,330.7931,170.3765,0,0,,0,,,,0,,,132.559,422.9095,5,top,False,,,False
253,578,422.71,216.54,17,61,9058,8303,8303,183.2226148409894,128.5,258.0,0.9166482667255464,253,422.7087,216.5437,20146,19830,0.9843145041199246,19830,692.6875,425.9874213836478,1099.658536585366,17736,694.5840707964602,932.515582450832,132.835,525.7714,5,top,False,131.7472118959108,444.95238095238096,True
254,577,219.06,112.78,17,62,0,0,0,,,,,254,219.057,112.7797,0,0,,0,,,,0,,,131.875,297.1773,5,top,False,,,False
255,576,514.62,262.71,17,63,0,0,0,,,,,255,514.6246,262.7091,0,0,,0,,,,0,,,133.022,628.6299,5,top,False,,,False
256,703,398.96,257.7,18,0,2559,2266,2266,171.72602739726028,123.0,247.0,0.8855021492770614,256,398.9561,257.6972,21814,21062,0.9655267259558082,21062,666.0869565217391,405.5329341317365,1059.36,18761,660.992700729927,893.7286107682081,132.846,525.8623,6,bot,False,120.39999999999999,516.0,True
257,702,187.46,121.75,18,1,0,0,0,,,,,257,187.4608,121.753,0,0,,0,,,,0,,,131.656,274.3955,6,bot,False,,,False
258,701,313.02,201.18,18,2,0,0,0,,,,,258,313.0162,201.1795,0,0,,0,,,,0,,,132.56,422.9977,6,bot,False,,,False
259,700,418.77,269.15,18,3,2088,1929,1929,228.6153846153846,153.0,339.0,0.9238505747126436,259,418.7692,269.1467,18265,17920,0.9811114152751164,17920,873.5632183908046,519.8518518518518,1431.36,16294,873.4545454545454,1144.133928571429,132.888,548.7232,6,bot,False,139.71428571428572,500.85714285714283,True
260,699,207.27,133.21,18,4,0,0,0,,,,,260,207.2679,133.2115,0,0,,0,,,,0,,,131.867,297.2624,6,bot,False,,,False
261,698,438.58,280.59,18,5,0,0,0,,,,,261,438.5809,280.594,0,0,,0,,,,0,,,132.931,571.5835,6,bot,False,,,False
262,697,332.83,212.63,18,6,0,0,0,,,,,262,332.8259,212.6284,0,0,,0,,,,0,,,132.638,445.8592,6,bot,False,,,False
263,696,227.07,144.66,18,7,0,0,0,,,,,263,227.073,144.6646,0,0,,0,,,,0,,,132.05,320.1281,6,bot,False,,,False
264,695,458.39,292.04,18,8,0,0,0,,,,,264,458.3912,292.0399,0,0,,0,,,,0,,,132.965,594.4433,6,bot,False,,,False
265,694,352.63,224.08,18,9,1537,863,863,124.34437086092716,102.0,160.0,0.5614834092387768,265,352.6339,224.0761,11878,11016,0.927428860077454,11016,240.6054054054054,141.2330827067669,400.7710843373494,9409,237.8241758241758,374.2062454611474,132.709,468.7211,6,bot,False,114.3,140.97297297297294,True
266,693,246.88,156.11,18,10,0,0,0,,,,,266,246.8768,156.1138,0,0,,0,,,,0,,,132.188,342.9916,6,bot,False,,,False
267,692,478.2,303.48,18,11,0,0,0,,,,,267,478.2004,303.4844,0,0,,0,,,,0,,,133.003,617.3029,6,bot,False,,,False
268,691,372.44,235.52,18,12,5632,3961,3961,125.25827814569536,100.0,168.0,0.7033025568181818,268,372.4408,235.5208,31752,29301,0.9228080120937264,29301,318.7700258397933,187.9962192816635,527.6282051282051,25738,311.4746268656716,475.8424627145831,132.768,491.5808,6,bot,False,107.64218958611482,182.71999999999997,True
269,690,498.01,314.93,18,13,0,0,0,,,,,269,498.0082,314.9279,0,0,,0,,,,0,,,133.03,637.0079,6,bot,False,,,False
270,689,121.33,76.7,18,14,0,0,0,,,,,270,121.3291,76.7049,0,0,,0,,,,0,,,130.261,194.3819,6,bot,False,,,False
271,688,392.25,246.96,18,15,4609,3935,3935,172.1762711864407,127.0,245.0,0.8537643740507702,271,392.2463,246.9646,41362,39332,0.950921135341618,39332,523.125,313.07103825136613,846.635294117647,34670,517.6712328767123,722.9403030611207,132.81,514.4414,6,bot,False,125.53846153846153,322.4727272727273,True
272,687,266.68,167.56,18,16,0,0,0,,,,,272,266.6793,167.5601,0,0,,0,,,,0,,,132.326,365.8536,6,bot,False,,,False
273,686,141.12,88.16,18,17,0,0,0,,,,,273,141.1204,88.1594,0,0,,0,,,,0,,,130.82,217.2459,6,bot,False,,,False
274,685,412.05,258.41,18,18,5004,4586,4586,229.1588785046729,155.0,347.0,0.916466826538769,274,412.0511,258.4066,34866,34074,0.977284460505937,34074,833.1978609625668,506.1495327102804,1343.191489361702,30181,823.8639455782313,1091.8424605270882,132.866,537.3018,6,bot,False,166.74698795180723,546.4186046511628,True
275,684,286.48,179.0,18,19,0,0,0,,,,,275,286.4811,179.004,0,0,,0,,,,0,,,132.431,388.7156,6,bot,False,,,False
276,683,431.85,269.85,18,20,109,105,105,209.6,139.0,323.0,0.963302752293578,276,431.8549,269.8476,965,957,0.9917098445595854,957,677.0,414.0,1199.0,310,640.0,983.067920585162,132.905,560.1602,6,bot,False,134.4,454.22222222222223,False
277,682,160.91,99.61,18,21,0,0,0,,,,,277,160.9131,99.6075,0,0,,0,,,,0,,,131.219,240.1128,6,bot,False,,,False
278,681,306.28,190.45,18,22,0,0,0,,,,,278,306.2821,190.4455,0,0,,0,,,,0,,,132.519,411.5768,6,bot,False,,,False
279,680,451.66,281.29,18,23,0,0,0,,,,,279,451.6582,281.287,0,0,,0,,,,0,,,132.947,583.0189,6,bot,False,,,False
280,679,471.46,292.73,18,24,0,0,0,,,,,280,471.4606,292.7258,0,0,,0,,,,0,,,132.982,605.8781,6,bot,False,,,False
281,678,326.08,201.89,18,25,0,0,0,,,,,281,326.0822,201.8859,0,0,,0,,,,0,,,132.603,434.4372,6,bot,False,,,False
282,677,491.26,304.16,18,26,0,0,0,,,,,282,491.2624,304.1637,0,0,,0,,,,0,,,133.02,628.7364,6,bot,False,,,False
283,676,180.71,111.05,18,27,0,0,0,,,,,283,180.7064,111.0511,0,0,,0,,,,0,,,131.531,262.9752,6,bot,False,,,False
284,675,345.88,213.32,18,28,0,0,0,,,,,284,345.8821,213.3244,0,0,,0,,,,0,,,132.675,457.2964,6,bot,False,,,False
285,674,200.5,122.49,18,29,0,0,0,,,,,285,200.5005,122.4917,0,0,,0,,,,0,,,131.776,285.8392,6,bot,False,,,False
286,673,365.68,224.76,18,30,5835,3738,3738,129.86206896551724,106.0,170.0,0.6406169665809769,286,365.6814,224.762,39637,36946,0.9321088881600524,36946,262.2022471910112,157.1736204576043,434.0494699646644,32027,255.20382165605096,400.8711091863801,132.74,480.1559,6,bot,False,115.00151285930409,160.87671232876724,True
287,672,220.29,133.93,18,31,0,0,0,,,,,287,220.2949,133.9297,0,0,,0,,,,0,,,131.968,308.7024,6,bot,False,,,False
288,671,385.48,236.2,18,32,9194,6510,6510,153.03834808259586,118.0,204.0,0.7080704807483141,288,385.4802,236.1986,46107,42908,0.9306179105125036,42908,388.44243792325057,227.340206185567,628.7450980392156,37822,382.5257985257985,557.6207700195768,132.792,503.0156,6,bot,False,122.08842105263157,213.53513513513514,True
289,670,405.28,247.63,18,33,5455,4866,4866,201.6498054474708,141.0,291.0,0.892025664527956,289,405.2788,247.6348,31435,30387,0.9666613647208524,30387,616.0493827160494,373.3922261484099,991.7943925233644,26717,617.2977777777778,846.2907164247869,132.838,525.8737,6,bot,False,136.72727272727275,401.2549019607843,True
290,669,240.09,145.37,18,34,0,0,0,,,,,290,240.0895,145.3662,0,0,,0,,,,0,,,132.131,331.564,6,bot,False,,,False
291,668,425.08,259.07,18,35,4198,3773,3773,269.33333333333337,184.0,404.0,0.8987613149118628,291,425.0767,259.07,36328,35651,0.9813642369522132,35651,913.3189189189188,534.2053571428571,1494.906976744186,32812,917.2857142857144,1190.0272082129534,132.881,548.7327,6,bot,False,181.45454545454544,563.9420289855072,True
292,667,259.88,156.8,18,36,0,0,0,,,,,292,259.884,156.8017,0,0,,0,,,,0,,,132.258,354.4258,6,bot,False,,,False
293,666,444.87,270.5,18,37,0,0,0,,,,,293,444.8746,270.5046,0,0,,0,,,,0,,,132.929,571.5911,6,bot,False,,,False
294,665,279.68,168.24,18,38,0,0,0,,,,,294,279.6786,168.2358,0,0,,0,,,,0,,,132.377,377.2854,6,bot,False,,,False
295,664,464.67,281.94,18,39,0,0,0,,,,,295,464.6725,281.9385,0,0,,0,,,,0,,,132.971,594.4497,6,bot,False,,,False
296,663,484.47,293.37,18,40,0,0,0,,,,,296,484.4697,293.3725,0,0,,0,,,,0,,,133.003,617.3076,6,bot,False,,,False
297,662,299.47,179.67,18,41,0,0,0,,,,,297,299.4733,179.6695,0,0,,0,,,,0,,,132.48,400.1467,6,bot,False,,,False
298,661,504.27,304.81,18,42,0,0,0,,,,,298,504.2669,304.8057,0,0,,0,,,,0,,,133.035,637.2585,6,bot,False,,,False
299,660,104.54,60.29,18,43,0,0,0,,,,,299,104.5448,60.2851,0,0,,0,,,,0,,,144.006,171.491,6,bot,False,,,False
300,659,319.27,191.1,18,44,0,0,0,,,,,300,319.2679,191.1022,0,0,,0,,,,0,,,132.561,423.0058,6,bot,False,,,False
301,658,114.45,66.0,18,45,0,0,0,,,,,301,114.4485,66.0033,0,0,,0,,,,0,,,129.906,182.9246,6,bot,False,,,False
302,657,339.06,202.53,18,46,0,0,0,,,,,302,339.0627,202.5348,0,0,,0,,,,0,,,132.638,445.8646,6,bot,False,,,False
303,656,358.86,213.97,18,47,2696,1338,1338,136.74418604651163,115.0,172.0,0.49629080118694363,303,358.8578,213.9666,18600,17279,0.928978494623656,17279,253.198606271777,148.74479166666666,417.34782608695656,14655,249.38333333333333,385.2188205335957,132.702,468.7239,6,bot,False,122.7107438016529,135.18367346938777,True
304,655,134.24,77.43,18,48,0,0,0,,,,,304,134.2382,77.4287,0,0,,0,,,,0,,,130.564,205.8029,6,bot,False,,,False
305,654,378.65,225.4,18,49,8586,6202,6202,134.5679676985195,107.0,178.0,0.72233869089215,305,378.6528,225.3981,43571,40354,0.9261664868834776,40354,319.69454545454545,186.72248062015504,519.0747330960854,34818,315.0367346938776,467.1358477474352,132.764,491.5828,6,bot,False,114.05748865355523,175.51515151515147,True
306,653,398.45,236.83,18,50,7234,6157,6157,153.6580310880829,115.0,209.0,0.8511197124688968,306,398.4475,236.8299,42409,40434,0.9534296965266806,40434,447.3860465116279,269.4396551724138,722.7128712871288,34521,440.3076923076923,634.4854330513924,132.813,514.4415,6,bot,False,118.55737704918032,268.0,True
307,652,418.24,248.26,18,51,8213,7458,7458,210.99487179487178,143.0,317.0,0.90807256788019,307,418.2423,248.2607,42410,41506,0.9786842725772223,41506,864.0,518.212389380531,1393.1363636363635,36332,865.8333333333334,1121.0228882571191,132.871,537.3009,6,bot,False,148.3835616438356,650.6666666666667,True
308,651,154.03,88.86,18,52,0,0,0,,,,,308,154.0294,88.855,0,0,,0,,,,0,,,131.038,228.6765,6,bot,False,,,False
309,650,438.04,259.69,18,53,99,91,91,190.4,128.0,283.0,0.9191919191919192,309,438.0372,259.6917,1203,1196,0.9941812136325852,1196,739.2,448.57142857142856,1277.3333333333333,257,666.0,1037.2040133779265,132.908,560.1596,6,bot,False,124.0,372.0,False
310,649,457.83,271.12,18,54,0,0,0,,,,,310,457.832,271.122,0,0,,0,,,,0,,,132.947,583.018,6,bot,False,,,False
311,648,477.63,282.55,18,55,0,0,0,,,,,311,477.6269,282.5526,0,0,,0,,,,0,,,132.986,605.8761,6,bot,False,,,False
312,647,497.42,293.98,18,56,0,0,0,,,,,312,497.4219,293.9826,0,0,,0,,,,0,,,133.017,628.7337,6,bot,False,,,False
313,646,193.61,111.71,18,57,0,0,0,,,,,313,193.614,111.7091,0,0,,0,,,,0,,,131.655,274.399,6,bot,False,,,False
314,645,233.2,134.56,18,58,0,0,0,,,,,314,233.2005,134.5644,0,0,,0,,,,0,,,132.048,320.122,6,bot,False,,,False
315,644,292.58,168.85,18,59,0,0,0,,,,,315,292.5818,168.8482,0,0,,0,,,,0,,,132.422,388.7053,6,bot,False,,,False
316,643,332.17,191.7,18,60,0,0,0,,,,,316,332.1699,191.7046,0,0,,0,,,,0,,,132.601,434.4252,6,bot,False,,,False
