vi,pad_id,x_v,y_v,vmm,ch,n_track_v,k_hit_v,amp_n_v,amp_med_v,amp_p25_v,amp_p75_v,eff_v,di,x_d,y_d,n_track_d,k_hit_d,eff_d,amp_n_lead,amp_med_lead,amp_p25_d,amp_p75_d,amp_n_d,amp_med_d,amp_mean,pad_area,radius,connector_N,half,masked,mpv_v,mpv_d,use
42,405,329.62,115.4,14,42,0,0,0,,,,,42,329.6184,115.4001,0,0,,0,,,,0,,,132.479,399.3897,4,bot,False,,,False
43,404,297.4,103.68,14,43,0,0,0,,,,,43,297.3957,103.6827,0,0,,0,,,,0,,,132.324,365.1002,4,bot,False,,,False
44,403,265.17,91.97,14,44,0,0,0,,,,,44,265.1722,91.9671,0,0,,0,,,,0,,,132.126,330.8091,4,bot,False,,,False
45,402,232.95,80.26,14,45,0,0,0,,,,,45,232.9471,80.2552,0,0,,0,,,,0,,,131.872,296.5154,4,bot,False,,,False
46,401,200.72,68.55,14,46,0,0,0,,,,,46,200.7195,68.5485,0,0,,0,,,,0,,,131.53,262.2188,4,bot,False,,,False
47,400,168.49,56.85,14,47,0,0,0,,,,,47,168.4884,56.8501,0,0,,0,,,,0,,,131.03,227.9135,4,bot,False,,,False
48,399,136.25,45.17,14,48,0,0,0,,,,,48,136.2509,45.167,0,0,,0,,,,0,,,130.267,193.6564,4,bot,False,,,False
49,398,535.0,185.9,14,49,0,0,0,,,,,49,534.9965,185.8953,0,0,,0,,,,0,,,132.994,616.4724,4,bot,False,,,False
50,397,502.77,174.17,14,50,0,0,0,,,,,50,502.7736,174.1724,0,0,,0,,,,0,,,132.942,582.1798,4,bot,False,,,False
51,396,470.55,162.45,14,51,0,0,0,,,,,51,470.5501,162.4503,0,0,,0,,,,0,,,132.885,547.8857,4,bot,False,,,False
52,395,438.33,150.73,14,52,0,0,0,,,,,52,438.326,150.7284,0,0,,0,,,,0,,,132.823,513.5904,4,bot,False,,,False
53,394,406.1,139.01,14,53,0,0,0,,,,,53,406.1005,139.0076,0,0,,0,,,,0,,,132.734,479.2937,4,bot,False,,,False
54,393,373.87,127.29,14,54,0,0,0,,,,,54,373.874,127.288,0,0,,0,,,,0,,,132.639,444.9938,4,bot,False,,,False
55,392,341.65,115.57,14,55,0,0,0,,,,,55,341.646,115.5698,0,0,,0,,,,0,,,132.522,410.6915,4,bot,False,,,False
56,391,309.42,103.85,14,56,0,0,0,,,,,56,309.4155,103.8532,0,0,,0,,,,0,,,132.369,376.3839,4,bot,False,,,False
57,390,277.18,92.14,14,57,0,0,0,,,,,57,277.1825,92.1395,0,0,,0,,,,0,,,132.196,342.0808,4,bot,False,,,False
58,389,547.03,186.05,14,58,0,0,0,,,,,58,547.0273,186.0523,0,0,,0,,,,0,,,133.018,627.8358,4,bot,False,,,False
59,388,514.8,174.33,14,59,0,0,0,,,,,59,514.8001,174.329,0,0,,0,,,,0,,,132.972,593.5378,4,bot,False,,,False
60,387,482.57,162.61,14,60,0,0,0,,,,,60,482.5717,162.6066,0,0,,0,,,,0,,,132.906,559.2382,4,bot,False,,,False
61,386,450.34,150.88,14,61,0,0,0,,,,,61,450.3415,150.885,0,0,,0,,,,0,,,132.842,524.9369,4,bot,False,,,False
62,385,418.11,139.16,14,62,0,0,0,,,,,62,418.1098,139.1638,0,0,,0,,,,0,,,132.764,490.6375,4,bot,False,,,False
63,384,559.04,186.2,14,63,0,0,0,,,,,63,559.0359,186.2003,0,0,,0,,,,0,,,133.035,636.6766,4,bot,False,,,False
64,511,517.51,230.14,15,0,0,0,0,,,,,64,517.5066,230.142,0,0,,0,,,,0,,,133.005,617.0077,4,top,False,,,False
65,510,465.3,206.9,15,1,2340,2177,2177,173.72121212121212,124.0,246.0,0.9303418803418804,65,465.3043,206.9018,0,0,,0,,,,0,,,132.904,559.8635,4,top,False,124.27397260273972,,False
66,509,413.1,183.66,15,2,27913,25020,25020,165.43364681295716,122.0,228.0,0.8963565363808977,66,413.1015,183.6627,0,0,,0,,,,0,,,132.79,502.7201,4,top,False,123.57742402315483,,False
67,508,497.59,218.67,15,3,0,0,0,,,,,67,497.5873,218.6703,0,0,,0,,,,0,,,132.962,594.1517,4,top,False,,,False
68,507,360.9,160.42,15,4,0,0,0,,,,,68,360.8991,160.4241,0,0,,0,,,,0,,,132.633,445.5717,4,top,False,,,False
69,506,445.38,195.43,15,5,7606,7176,7176,221.90476190476193,157.75,320.0,0.9434656849855377,69,445.3834,195.432,0,0,,0,,,,0,,,132.865,536.9981,4,top,False,168.86746987951807,,False
70,505,529.86,230.43,15,6,0,0,0,,,,,70,529.8633,230.433,0,0,,0,,,,0,,,133.02,628.4074,4,top,False,,,False
71,504,308.7,137.19,15,7,0,0,0,,,,,71,308.6966,137.1869,0,0,,0,,,,0,,,132.432,388.42,4,top,False,,,False
72,503,393.18,172.19,15,8,28937,20586,20586,137.10277324632952,109.0,178.0,0.7114075405190586,72,393.1792,172.1946,0,0,,0,,,,0,,,132.73,479.8486,4,top,False,118.47686832740213,,False
73,502,477.66,207.19,15,9,0,0,0,,,,,73,477.6574,207.1948,0,0,,0,,,,0,,,132.932,571.2589,4,top,False,,,False
74,501,256.49,113.95,15,10,0,0,0,,,,,74,256.494,113.9519,0,0,,0,,,,0,,,132.122,331.2799,4,top,False,,,False
75,500,340.97,148.96,15,11,0,0,0,,,,,75,340.9745,148.9585,0,0,,0,,,,0,,,132.569,422.6973,4,top,False,,,False
76,499,425.45,183.96,15,12,14044,12686,12686,211.12717536813923,151.0,304.0,0.9033039020222159,76,425.4505,183.9581,0,0,,0,,,,0,,,132.814,514.1045,4,top,False,147.9550561797753,,False
77,498,509.92,218.95,15,13,0,0,0,,,,,77,509.9245,218.9535,0,0,,0,,,,0,,,132.988,605.5109,4,top,False,,,False
78,497,288.77,125.73,15,14,0,0,0,,,,,78,288.7689,125.7253,0,0,,0,,,,0,,,132.325,365.5676,4,top,False,,,False
79,496,373.24,160.72,15,15,0,0,0,,,,,79,373.2427,160.7225,0,0,,0,,,,0,,,132.675,456.9612,4,top,False,,,False
80,495,457.71,195.72,15,16,2434,2294,2294,225.05882352941177,161.0,326.75,0.942481511914544,80,457.7147,195.7159,0,0,,0,,,,0,,,132.895,548.3633,4,top,False,165.33333333333334,,False
81,494,542.19,230.71,15,17,0,0,0,,,,,81,542.1859,230.708,0,0,,0,,,,0,,,133.033,636.8928,4,top,False,,,False
82,493,204.29,90.72,15,18,0,0,0,,,,,82,204.2918,90.7201,0,0,,0,,,,0,,,131.657,274.1432,4,top,False,,,False
83,492,321.03,137.49,15,19,0,0,0,,,,,83,321.033,137.4891,0,0,,0,,,,0,,,132.482,399.8195,4,top,False,,,False
84,491,405.5,172.48,15,20,20131,17386,17386,156.02643171806167,119.0,213.0,0.8636431374497044,84,405.5031,172.48,0,0,,0,,,,0,,,132.761,491.211,4,top,False,122.74666666666667,,False
85,490,489.97,207.47,15,21,0,0,0,,,,,85,489.9731,207.47,0,0,,0,,,,0,,,132.948,582.6228,4,top,False,,,False
86,489,236.56,102.5,15,22,0,0,0,,,,,86,236.5619,102.496,0,0,,0,,,,0,,,131.956,308.4025,4,top,False,,,False
87,488,152.09,67.5,15,23,0,0,0,,,,,87,152.0896,67.4964,0,0,,0,,,,0,,,130.813,216.9946,4,top,False,,,False
88,487,522.23,219.22,15,24,0,0,0,,,,,88,522.2268,219.2207,0,0,,0,,,,0,,,132.998,616.8913,4,top,False,,,False
89,486,437.76,184.23,15,25,1830,1722,1722,225.83333333333334,158.25,325.0,0.940983606557377,89,437.7578,184.2333,0,0,,0,,,,0,,,132.841,525.472,4,top,False,160.0,,False
90,485,353.29,149.25,15,26,0,0,0,,,,,90,353.2891,149.2459,0,0,,0,,,,0,,,132.599,434.0562,4,top,False,,,False
91,484,268.82,114.26,15,27,0,0,0,,,,,91,268.8204,114.2595,0,0,,0,,,,0,,,132.193,342.6535,4,top,False,,,False
92,483,184.35,79.27,15,28,0,0,0,,,,,92,184.3524,79.2749,0,0,,0,,,,0,,,131.391,251.2362,4,top,False,,,False
93,482,470.01,195.98,15,29,0,0,0,,,,,93,470.0076,195.9825,0,0,,0,,,,0,,,132.911,559.7346,4,top,False,,,False
94,481,385.54,161.0,15,30,2848,2073,2073,133.28185328185327,106.0,176.0,0.7278792134831461,94,385.5391,160.998,0,0,,0,,,,0,,,132.706,468.3114,4,top,False,113.69696969696969,,False
95,480,110.37,48.81,15,31,0,0,0,,,,,95,110.37,48.8092,0,0,,0,,,,0,,,144.013,171.124,4,top,False,,,False
96,479,502.25,207.73,15,32,0,0,0,,,,,96,502.2533,207.729,0,0,,0,,,,0,,,132.96,594.0039,4,top,False,,,False
97,478,301.07,126.02,15,33,0,0,0,,,,,97,301.0708,126.0152,0,0,,0,,,,0,,,132.379,376.8862,4,top,False,,,False
98,477,417.78,172.75,15,34,6849,5941,5941,188.73640167364016,140.0,270.0,0.8674259015914733,98,417.7845,172.7454,0,0,,0,,,,0,,,132.796,502.5742,4,top,False,137.98347107438016,,False
99,476,534.5,219.47,15,35,0,0,0,,,,,99,534.4961,219.4728,0,0,,0,,,,0,,,133.016,628.2759,4,top,False,,,False
100,475,216.6,91.04,15,36,0,0,0,,,,,100,216.603,91.037,0,0,,0,,,,0,,,131.773,285.4729,4,top,False,,,False
101,474,333.32,137.76,15,37,0,0,0,,,,,101,333.3152,137.765,0,0,,0,,,,0,,,132.519,411.1436,4,top,False,,,False
102,473,450.03,184.49,15,38,0,0,0,,,,,102,450.026,184.4902,0,0,,0,,,,0,,,132.866,536.8419,4,top,False,,,False
103,472,248.85,102.79,15,39,0,0,0,,,,,103,248.8458,102.7896,0,0,,0,,,,0,,,132.053,319.7227,4,top,False,,,False
104,471,365.56,149.51,15,40,0,0,0,,,,,104,365.5552,149.5104,0,0,,0,,,,0,,,132.637,445.4081,4,top,False,,,False
105,470,482.26,196.23,15,41,0,0,0,,,,,105,482.2646,196.2323,0,0,,0,,,,0,,,132.927,571.1112,4,top,False,,,False
106,469,132.14,56.07,15,42,0,0,0,,,,,106,132.1373,56.0728,0,0,,0,,,,0,,,130.257,194.0145,4,top,False,,,False
107,468,514.5,207.97,15,43,0,0,0,,,,,107,514.5007,207.9728,0,0,,0,,,,0,,,132.985,605.3846,4,top,False,,,False
108,467,397.79,161.25,15,44,7742,6506,6506,135.91857506361322,106.0,179.0,0.84035133040558,108,397.7919,161.253,0,0,,0,,,,0,,,132.732,479.6778,4,top,False,111.07628865979382,,False
109,466,281.08,114.54,15,45,0,0,0,,,,,109,281.0835,114.5361,0,0,,0,,,,0,,,132.26,353.9704,4,top,False,,,False
110,465,546.73,219.71,15,46,0,0,0,,,,,110,546.7347,219.7111,0,0,,0,,,,0,,,133.031,636.5119,4,top,False,,,False
111,464,430.03,172.99,15,47,14,12,12,197.33333333333334,149.25,248.25,0.8571428571428571,111,430.0258,172.9925,0,0,,0,,,,0,,,132.811,513.9483,4,top,False,136.0,,False
112,463,164.38,67.83,15,48,0,0,0,,,,,112,164.3761,67.8288,0,0,,0,,,,0,,,131.037,228.2752,4,top,False,,,False
113,462,313.32,126.28,15,49,0,0,0,,,,,113,313.3171,126.278,0,0,,0,,,,0,,,132.439,388.2302,4,top,False,,,False
114,461,462.26,184.73,15,50,0,0,0,,,,,114,462.2575,184.7307,0,0,,0,,,,0,,,132.884,548.2195,4,top,False,,,False
115,460,345.55,138.02,15,51,0,0,0,,,,,115,345.5482,138.0173,0,0,,0,,,,0,,,132.563,422.5073,4,top,False,,,False
116,459,494.49,196.47,15,52,0,0,0,,,,,116,494.4877,196.4671,0,0,,0,,,,0,,,132.949,582.493,4,top,False,,,False
117,458,196.61,79.57,15,53,0,0,0,,,,,117,196.6092,79.5745,0,0,,0,,,,0,,,131.527,262.5279,4,top,False,,,False
118,457,526.72,208.2,15,54,0,0,0,,,,,118,526.7163,208.2026,0,0,,0,,,,0,,,133.001,616.7684,4,top,False,,,False
119,456,377.78,149.75,15,55,0,0,0,,,,,119,377.7769,149.7542,0,0,,0,,,,0,,,132.679,456.7782,4,top,False,,,False
120,455,228.84,91.31,15,56,0,0,0,,,,,120,228.8381,91.3143,0,0,,0,,,,0,,,131.873,296.7876,4,top,False,,,False
121,454,410.0,161.49,15,57,94,67,67,128.66666666666666,103.5,153.5,0.7127659574468085,121,410.0043,161.4895,0,0,,0,,,,0,,,132.77,491.0474,4,top,False,118.15384615384616,,False
122,453,261.06,103.05,15,58,0,0,0,,,,,122,261.0647,103.051,0,0,,0,,,,0,,,132.134,331.0554,4,top,False,,,False
123,452,442.23,173.22,15,59,0,0,0,,,,,123,442.2302,173.2231,0,0,,0,,,,0,,,132.837,525.3226,4,top,False,,,False
124,451,293.29,114.78,15,60,0,0,0,,,,,124,293.2894,114.7849,0,0,,0,,,,0,,,132.313,365.3304,4,top,False,,,False
125,450,474.46,184.96,15,61,0,0,0,,,,,125,474.4551,184.9561,0,0,,0,,,,0,,,132.91,559.5948,4,top,False,,,False
126,449,325.51,126.52,15,62,0,0,0,,,,,126,325.513,126.5175,0,0,,0,,,,0,,,132.478,399.602,4,top,False,,,False
127,448,506.68,196.69,15,63,0,0,0,,,,,127,506.6791,196.688,0,0,,0,,,,0,,,132.969,593.8713,4,top,False,,,False
128,575,310.97,158.95,16,0,0,0,0,,,,,128,310.9691,158.9452,0,0,,0,,,,0,,,132.47,400.0437,5,bot,False,,,False
129,574,402.88,205.11,16,1,24054,21641,21641,128.12193995381062,95.0,176.0,0.8996840442338072,129,402.8835,205.1091,58334,56873,0.9749545719477491,56873,447.3427561837456,271.12022630834514,721.7586206896551,50561,445.1814671814672,639.6886396005134,132.795,502.9053,5,bot,False,99.7465564738292,265.2972972972973,True
130,573,494.8,251.27,16,2,0,0,0,,,,,130,494.7985,251.2725,0,0,,0,,,,0,,,132.99,605.7661,5,bot,False,,,False
131,572,291.14,147.51,16,3,0,0,0,,,,,131,291.1408,147.5139,0,0,,0,,,,0,,,132.373,377.1784,5,bot,False,,,False
132,571,383.06,193.67,16,4,28886,22653,22653,114.58396568789179,90.0,150.0,0.7842207297652842,132,383.0551,193.6743,60791,58371,0.9601914757118652,58371,333.3495934959349,199.80864197530863,541.5263157894736,51307,328.4335877862595,491.2054958798033,132.733,480.0419,5,bot,False,98.47372429550647,211.35802469135808,True
133,570,474.97,239.84,16,5,0,0,0,,,,,133,474.9701,239.835,0,0,,0,,,,0,,,132.955,582.9013,5,bot,False,,,False
134,569,199.23,101.36,16,6,0,0,0,,,,,134,199.2298,101.3555,0,0,,0,,,,0,,,131.656,274.3062,5,bot,False,,,False
135,568,271.31,136.08,16,7,0,0,0,,,,,135,271.3081,136.0823,0,0,,0,,,,0,,,132.263,354.3101,5,bot,False,,,False
136,567,363.22,182.24,16,8,0,0,0,,,,,136,363.2228,182.2385,0,0,,0,,,,0,,,132.669,457.1716,5,bot,False,,,False
137,566,455.14,228.4,16,9,2553,2358,2358,171.2405063291139,119.0,252.0,0.9236192714453584,137,455.1383,228.397,2119,2063,0.9735724398301084,2063,548.8421052631579,330.6,926.7272727272727,1526,565.4736842105264,780.5273873000484,132.906,560.0348,5,bot,False,111.91256830601093,364.6666666666667,True
138,565,179.39,89.93,16,10,0,0,0,,,,,138,179.3944,89.9328,0,0,,0,,,,0,,,131.385,251.427,5,bot,False,,,False
139,564,435.3,216.96,16,11,23025,22038,22038,202.319255547602,128.0,288.0,0.9571335504885994,139,435.3034,216.9582,20660,20380,0.9864472410454984,20380,709.679389312977,434.60122699386505,1127.641791044776,17995,713.551724137931,948.5950932286556,132.866,537.1713,5,bot,False,141.72043010752688,563.5555555555555,True
140,563,527.22,263.12,16,12,0,0,0,,,,,140,527.2203,263.1166,0,0,,0,,,,0,,,133.028,636.8739,5,bot,False,,,False
141,562,343.39,170.8,16,13,0,0,0,,,,,141,343.3865,170.8021,0,0,,0,,,,0,,,132.603,434.3055,5,bot,False,,,False
142,561,251.47,124.65,16,14,0,0,0,,,,,142,251.4687,124.6507,0,0,,0,,,,0,,,132.122,331.4331,5,bot,False,,,False
143,560,507.38,251.68,16,15,0,0,0,,,,,143,507.3833,251.6753,0,0,,0,,,,0,,,133.001,617.1677,5,bot,False,,,False
144,559,415.46,205.52,16,16,22339,20166,20166,183.8910394265233,131.0,260.0,0.902726173955862,144,415.4646,205.5186,37098,36179,0.9752277750822148,36179,628.6564885496183,382.0,1015.6567164179104,32473,626.7818930041152,860.1563337847923,132.819,514.3033,5,bot,False,129.6280701754386,435.40000000000003,True
145,558,159.55,78.51,16,17,0,0,0,,,,,145,159.5497,78.5123,0,0,,0,,,,0,,,131.035,228.5525,5,bot,False,,,False
146,557,323.54,159.36,16,18,0,0,0,,,,,146,323.5446,159.3648,0,0,,0,,,,0,,,132.519,411.4345,5,bot,False,,,False
147,556,487.54,240.23,16,19,0,0,0,,,,,147,487.5426,240.2333,0,0,,0,,,,0,,,132.967,594.2998,5,bot,False,,,False
148,555,231.62,113.22,16,20,0,0,0,,,,,148,231.6214,113.2187,0,0,,0,,,,0,,,131.964,308.5556,5,bot,False,,,False
149,554,395.62,194.08,16,21,42494,37867,37867,130.68630028924534,98.0,180.0,0.8911140396291242,149,395.621,194.0778,49404,47722,0.9659541737511133,47722,403.43538767395626,241.2699386503068,651.3617021276596,41636,398.1704781704782,581.9828171493232,132.765,491.4316,5,bot,False,103.66189111747852,229.89473684210526,True
150,553,303.7,147.93,16,22,0,0,0,,,,,150,303.6962,147.927,0,0,,0,,,,0,,,132.425,388.5614,5,bot,False,,,False
151,552,467.7,228.79,16,23,0,0,0,,,,,151,467.6979,228.7903,0,0,,0,,,,0,,,132.928,571.4307,5,bot,False,,,False
152,551,139.69,67.1,16,24,0,0,0,,,,,152,139.6894,67.0966,0,0,,0,,,,0,,,130.567,205.6631,5,bot,False,,,False
153,550,375.77,182.64,16,25,12943,10854,10854,116.45041014168531,89.0,157.0,0.8386000154523681,153,375.772,182.6364,16599,15965,0.9618049280077112,15965,311.360824742268,182.67375886524823,505.8762886597938,13521,303.24102564102566,462.686376448481,132.7,468.559,5,bot,False,94.26980728051392,174.66666666666663,True
154,549,211.76,101.79,16,26,0,0,0,,,,,154,211.7641,101.7869,0,0,,0,,,,0,,,131.766,285.6728,5,bot,False,,,False
155,548,447.85,217.35,16,27,25707,23568,23568,191.53469927296763,132.0,274.0,0.9167930913758898,155,447.8485,217.3458,11708,11464,0.9791595490263068,11464,622.8421052631579,369.34736842105264,1010.6666666666669,10201,620.9444444444445,851.7048150732728,132.884,548.5628,5,bot,False,125.0970464135021,323.6363636363636,True
156,547,519.93,252.06,16,28,0,0,0,,,,,156,519.9252,252.0558,0,0,,0,,,,0,,,133.027,628.5655,5,bot,False,,,False
157,546,283.84,136.49,16,29,0,0,0,,,,,157,283.8403,136.488,0,0,,0,,,,0,,,132.322,365.6792,5,bot,False,,,False
