pad_id,pad_cx,pad_cy,n_track,k_hit,eff,amp_n,amp_med,amp_p25,amp_p75,amp_n_own,amp_med_own,amp_mean
454,410.0043,161.4895,0,0,,0,,,,0,,
453,261.0647,103.051,0,0,,0,,,,0,,
452,442.2302,173.2231,0,0,,0,,,,0,,
451,293.2894,114.7849,0,0,,0,,,,0,,
450,474.4551,184.9561,0,0,,0,,,,0,,
449,325.513,126.5175,0,0,,0,,,,0,,
448,506.6791,196.688,0,0,,0,,,,0,,
575,310.9691,158.9452,0,0,,0,,,,0,,
574,402.8835,205.1091,58334,56873,0.9749545719477491,56873,447.3427561837456,271.12022630834514,721.7586206896551,50561,445.18146718146716,639.6886396005134
573,494.7985,251.2725,0,0,,0,,,,0,,
572,291.1408,147.5139,0,0,,0,,,,0,,
571,383.0551,193.6743,60791,58371,0.9601914757118652,58371,333.3495934959349,199.80864197530863,541.5263157894736,51307,328.4335877862595,491.2054958798033
570,474.9701,239.835,0,0,,0,,,,0,,
569,199.2298,101.3555,0,0,,0,,,,0,,
568,271.3081,136.0823,0,0,,0,,,,0,,
567,363.2228,182.2385,0,0,,0,,,,0,,
566,455.1383,228.397,2119,2063,0.9735724398301085,2063,548.8421052631579,330.6,926.7272727272727,1526,565.4736842105264,780.5273873000484
565,179.3944,89.9328,0,0,,0,,,,0,,
564,435.3034,216.9582,20660,20380,0.9864472410454985,20380,709.679389312977,434.60122699386505,1127.641791044776,17995,713.551724137931,948.5950932286555
563,527.2203,263.1166,0,0,,0,,,,0,,
562,343.3865,170.8021,0,0,,0,,,,0,,
561,251.4687,124.6507,0,0,,0,,,,0,,
560,507.3833,251.6753,0,0,,0,,,,0,,
559,415.4646,205.5186,37098,36179,0.9752277750822147,36179,628.6564885496183,382.0,1015.6567164179104,32473,626.7818930041152,860.1563337847923
558,159.5497,78.5123,0,0,,0,,,,0,,
557,323.5446,159.3648,0,0,,0,,,,0,,
556,487.5426,240.2333,0,0,,0,,,,0,,
555,231.6214,113.2187,0,0,,0,,,,0,,
554,395.621,194.0778,49404,47722,0.9659541737511133,47722,403.43538767395626,241.26993865030676,651.3617021276596,41636,398.1704781704782,581.9828171493232
553,303.6962,147.927,0,0,,0,,,,0,,
552,467.6979,228.7903,0,0,,0,,,,0,,
551,139.6894,67.0966,0,0,,0,,,,0,,
550,375.772,182.6364,16599,15965,0.9618049280077113,15965,311.360824742268,182.67375886524823,505.87628865979383,13521,303.24102564102566,462.68637644848104
549,211.7641,101.7869,0,0,,0,,,,0,,
548,447.8485,217.3458,11708,11464,0.9791595490263068,11464,622.8421052631579,369.34736842105264,1010.6666666666667,10201,620.9444444444445,851.7048150732728
547,519.9252,252.0558,0,0,,0,,,,0,,
546,283.8403,136.488,0,0,,0,,,,0,,
545,355.917,171.1932,0,0,,0,,,,0,,
544,427.994,205.9001,9241,9097,0.9844172708581322,9097,716.3030303030303,440.961038961039,1136.2068965517242,7776,713.1228070175439,955.8065296251511
543,500.0709,240.6084,0,0,,0,,,,0,,
542,191.8934,90.3556,0,0,,0,,,,0,,
541,263.9748,125.0482,0,0,,0,,,,0,,
540,408.1335,194.453,27637,26951,0.9751782031334805,26951,517.456,313.3358778625954,840.0900900900901,23524,512.0358744394618,726.8715817594895
539,480.2117,229.1595,0,0,,0,,,,0,,
538,336.0544,159.7486,0,0,,0,,,,0,,
537,119.8071,55.688,0,0,,0,,,,0,,
536,388.2657,183.0042,28831,27716,0.9613263501092574,27716,355.77581120943955,213.27014218009478,573.5730337078652,23912,352.1333333333333,519.5970558522154
535,460.3467,217.7091,114,113,0.9912280701754386,113,590.0,398.0,902.0,109,590.0,778.0884955752213
534,532.4268,252.4152,0,0,,0,,,,0,,
533,316.1831,148.3025,0,0,,0,,,,0,,
532,244.0974,113.6066,0,0,,0,,,,0,,
531,172.0044,78.9249,0,0,,0,,,,0,,
530,512.5581,240.9619,0,0,,0,,,,0,,
529,440.4752,206.2563,2161,2122,0.981952799629801,2122,693.1428571428571,403.77777777777777,1119.0,1927,702.5263157894736,916.7841658812441
528,368.39,171.5535,0,0,,0,,,,0,,
527,296.301,136.8547,0,0,,0,,,,0,,
526,492.683,229.5066,0,0,,0,,,,0,,
525,224.2045,102.1643,0,0,,0,,,,0,,
524,420.5957,194.8022,5386,5273,0.9790196806535463,5273,689.6774193548388,414.54166666666663,1105.0,4834,691.6923076923077,925.6172956571212
523,348.5044,160.1005,0,0,,0,,,,0,,
522,276.4057,125.4044,0,0,,0,,,,0,,
521,472.8009,218.0495,0,0,,0,,,,0,,
520,400.7076,183.3456,7333,7128,0.9720441838265376,7128,402.81081081081084,242.55670103092783,657.8461538461539,6503,399.0344827586207,588.2020202020202
519,328.6075,148.6451,0,0,,0,,,,0,,
518,525.0057,241.2954,0,0,,0,,,,0,,
517,452.9108,206.5899,0,0,,0,,,,0,,
516,380.8094,171.8864,1516,1464,0.9656992084432717,1464,342.4761904761905,206.51851851851853,568.0,1372,334.8571428571429,493.60655737704917
515,433.0117,195.1277,0,0,,0,,,,0,,
514,505.1138,229.8337,0,0,,0,,,,0,,
513,485.2135,218.3691,0,0,,0,,,,0,,
512,537.4159,241.6109,0,0,,0,,,,0,,
639,510.3199,294.5593,0,0,,0,,,,0,,
638,470.731,271.7025,0,0,,0,,,,0,,
637,450.9364,260.2742,1,1,1.0,1,564.0,562.0,566.0,0,,564.0
636,431.1417,248.8462,40996,40181,0.9801200117084594,40181,810.2391304347826,474.1328125,1348.6373626373625,36658,817.6618357487923,1084.5970981309574
635,411.3474,237.4175,25093,16192,0.6452795600366636,16192,277.59999999999997,135.35222672064776,514.64,13608,252.1818181818182,463.1902173913044
634,503.3701,283.6772,0,0,,0,,,,0,,
633,351.9643,203.1326,1,0,0.0,0,,,,0,,
632,483.5741,272.2493,0,0,,0,,,,0,,
631,312.3758,180.2762,0,0,,0,,,,0,,
630,463.7775,260.8215,0,0,,0,,,,0,,
629,443.9808,249.3942,1959,1952,0.9964267483409903,1952,704.5,426.0,1133.3333333333333,582,665.3333333333334,973.0901639344262
628,272.7878,157.4203,0,0,,0,,,,0,,
627,424.1838,237.9667,48803,47881,0.9811077187877795,47881,692.28664495114,417.44235924932974,1113.9041095890411,42354,690.0289855072464,931.660658716401
626,252.9942,145.992,0,0,,0,,,,0,,
625,404.3868,226.5392,59550,57552,0.966448362720403,57552,464.9928057553957,284.07954545454544,744.5313653136532,50999,460.9029850746269,653.995690853489
624,384.5895,215.1119,83363,79199,0.9500497822775092,79199,338.37786259541986,203.42604501607715,549.7116104868915,69941,333.5146898803047,494.21699768936475
623,213.4071,123.1366,0,0,,0,,,,0,,
622,364.7919,203.6852,34419,32034,0.9307068770156018,32034,246.5908256880734,145.22304283604134,408.4285714285714,27670,242.47540983606555,380.2372479240807
621,516.1648,284.1931,0,0,,0,,,,0,,
620,344.9941,192.2579,0,0,,0,,,,0,,
619,496.3645,272.7647,0,0,,0,,,,0,,
618,325.1958,180.8313,0,0,,0,,,,0,,
617,476.5642,261.3363,0,0,,0,,,,0,,
616,173.8214,100.2819,0,0,,0,,,,0,,
615,456.7627,249.9082,0,0,,0,,,,0,,
614,305.3971,169.4047,0,0,,0,,,,0,,
613,436.9609,238.4796,49328,48364,0.9804573467401881,48364,684.7192429022082,403.97814207650276,1109.9867549668875,44449,680.3139931740615,926.9124141923745
612,285.5979,157.9788,0,0,,0,,,,0,,
611,417.1586,227.0515,27275,26625,0.9761686526122824,26625,550.0672268907563,337.64,882.0747663551401,23504,548.2592592592592,762.9723943661971
610,265.7979,146.5533,0,0,,0,,,,0,,
609,397.3555,215.6236,72482,70099,0.9671228718854337,70099,394.98028909329827,239.9897119341564,634.5669291338584,61844,389.0311614730878,570.5385240873621
608,245.9971,135.1281,0,0,,0,,,,0,,
607,377.5512,204.1957,81127,77358,0.9535419773934695,77358,295.3605560382276,176.1653372008702,484.60759493670884,67006,287.28153380423817,443.30877220197004
606,226.1952,123.7039,0,0,,0,,,,0,,
605,509.1055,273.251,0,0,,0,,,,0,,
604,357.7461,192.7676,0,0,,0,,,,0,,
603,489.2988,261.821,0,0,,0,,,,0,,
602,337.94,181.34,0,0,,0,,,,0,,
601,469.4907,250.391,0,0,,0,,,,0,,
600,206.3922,112.2805,0,0,,0,,,,0,,
599,449.6822,238.9607,2247,2234,0.9942145082331998,2234,544.8,328.9090909090909,903.6363636363636,1101,518.0,771.9677708146822
598,318.1322,169.9123,0,0,,0,,,,0,,
597,186.5871,100.8585,0,0,,0,,,,0,,
596,429.8721,227.5304,34797,34230,0.9837054918527459,34230,669.2190476190476,407.8364312267658,1067.4516129032259,30287,663.7129186602872,901.422378030967
595,298.3225,158.485,0,0,,0,,,,0,,
594,166.7797,89.4384,0,0,,0,,,,0,,
593,410.0603,216.0998,50916,49269,0.9676526042894179,49269,523.2925170068028,317.174672489083,837.829383886256,44078,519.155672823219,727.660232600621
592,521.7991,273.7103,0,0,,0,,,,0,,
591,278.5107,147.0578,0,0,,0,,,,0,,
590,390.247,204.669,70838,68029,0.9603461419012395,68029,373.3906976744186,223.68541666666667,600.8927680798005,60028,368.81971465629056,539.841126578371
589,501.9848,262.2779,0,0,,0,,,,0,,
588,370.4316,193.2386,27596,26091,0.9454631105957385,26091,281.9033078880407,168.68163265306123,459.8469387755102,22491,276.51428571428573,423.83549883101455
587,482.1687,250.8449,0,0,,0,,,,0,,
586,258.6967,135.6311,0,0,,0,,,,0,,
585,146.9687,78.0211,0,0,,0,,,,0,,
584,462.351,239.4116,0,0,,0,,,,0,,
583,350.6137,181.8076,0,0,,0,,,,0,,
582,238.8788,124.2051,0,0,,0,,,,0,,
581,442.5308,227.9782,30936,30397,0.9825769330230153,30397,649.8860103626943,386.1517857142857,1067.6198347107438,27261,649.3720930232558,893.4433003256901
580,127.1522,66.6083,0,0,,0,,,,0,,
579,330.7931,170.3765,0,0,,0,,,,0,,
578,422.7087,216.5437,20146,19830,0.9843145041199246,19830,692.6875,425.9874213836478,1099.658536585366,17736,694.5840707964602,932.5155824508321
577,219.057,112.7797,0,0,,0,,,,0,,
576,514.6246,262.7091,0,0,,0,,,,0,,
703,398.9561,257.6972,21814,21062,0.9655267259558082,21062,666.0869565217391,405.5329341317365,1059.3600000000001,18761,660.992700729927,893.7286107682081
702,187.4608,121.753,0,0,,0,,,,0,,
701,313.0162,201.1795,0,0,,0,,,,0,,
700,418.7692,269.1467,18265,17920,0.9811114152751164,17920,873.5632183908046,519.8518518518518,1431.3600000000001,16294,873.4545454545454,1144.1339285714287
699,207.2679,133.2115,0,0,,0,,,,0,,
698,438.5809,280.594,0,0,,0,,,,0,,
697,332.8259,212.6284,0,0,,0,,,,0,,
696,227.073,144.6646,0,0,,0,,,,0,,
695,458.3912,292.0399,0,0,,0,,,,0,,
694,352.6339,224.0761,11878,11016,0.9274288600774541,11016,240.6054054054054,141.2330827067669,400.7710843373494,9409,237.8241758241758,374.20624546114743
693,246.8768,156.1138,0,0,,0,,,,0,,
692,478.2004,303.4844,0,0,,0,,,,0,,
691,372.4408,235.5208,31752,29301,0.9228080120937264,29301,318.7700258397933,187.9962192816635,527.6282051282051,25738,311.4746268656716,475.8424627145831
690,498.0082,314.9279,0,0,,0,,,,0,,
689,121.3291,76.7049,0,0,,0,,,,0,,
