station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,2,27,420,446.4257,162.1048,525.1471,0.36289483,132.835,4,bot,0.0,0.0,,39738.0,86.34840241369076,73.92578350317247,109.01059771089444,85.12260536398468,72.0,False,False,
P2_IN,2,28,419,478.6436,173.8288,559.4324,0.36213076,132.911,4,bot,0.0,0.0,,18175.0,91.22132097334878,77.32428964252979,120.74216867469879,89.51232302045096,72.0,False,False,
P2_IN,2,29,418,510.862,185.5531,593.7189,0.36166861,132.971,4,bot,0.0,0.0,,12394.0,106.26415094339623,90.14192343604108,162.03141361256547,104.16494845360825,88.0,False,False,
P2_IN,2,30,417,543.08,197.2778,628.004,0.36100254,133.017,4,bot,0.0,0.0,,14885.0,94.71555555555555,83.68962962962964,122.3163097199341,94.37564402810304,88.0,False,False,
P2_IN,2,31,416,220.8966,80.0583,285.2109,0.38246357,131.772,4,bot,0.0,0.0,,10860.0,92.41943734015345,78.46984338553816,124.82253521126762,90.92753623188406,88.0,False,False,
P2_IN,2,32,415,188.6776,68.3451,250.9346,0.38705191,131.381,4,bot,0.0,0.0,,10714.0,93.72775750771822,81.69969127140051,120.59870967741935,93.1229566453447,88.0,False,False,
P2_IN,2,33,414,156.4584,56.6379,216.6622,0.39310746,130.813,4,bot,0.0,0.0,,8523.0,81.18792359827479,71.64137214137214,109.10560625814864,80.91984732824427,72.0,False,False,
P2_IN,2,34,413,124.238,44.9423,182.3929,0.40146264,129.909,4,bot,0.0,0.0,,3758.0,101.34232715008432,85.85115483319076,158.61654135338344,100.26954177897574,88.0,False,False,
P2_IN,2,35,412,426.2817,150.5609,502.2549,0.35957521,132.795,4,bot,0.0,0.0,,28492.0,92.66984429615508,80.59824171168309,121.21428571428572,90.96153846153847,88.0,False,False,
P2_IN,2,36,411,458.5021,162.2831,536.5341,0.3580304,132.869,4,bot,0.0,0.0,,24965.0,93.1583400022865,81.74185435006288,119.01129943502825,92.07454200884396,88.0,False,False,
P2_IN,2,37,410,490.7221,174.0057,570.8168,0.35680237,132.933,4,bot,0.0,0.0,,74346.0,172.41094803649344,113.43764172335601,247.35819845179452,172.0695047784535,88.0,False,False,
P2_IN,2,38,409,522.9418,185.7294,605.1006,0.35581021,132.98,4,bot,0.0,0.0,,15994.0,91.83210991906644,79.72651254303985,117.40269058295964,90.26618332470223,88.0,False,False,
P2_IN,2,39,408,555.1616,197.4525,636.4389,0.35518893,133.034,4,bot,0.0,0.0,,6201.0,91.3192868719611,77.84924623115577,123.36339522546419,89.45619335347432,88.0,False,False,
P2_IN,2,40,407,394.0613,138.8397,467.9663,0.36029294,132.7,4,bot,0.0,0.0,,22152.0,93.18887545344619,82.4744860943168,122.43592552026287,91.95686956521739,88.0,False,False,
P2_IN,2,41,406,361.84,127.1193,433.6785,0.3611139,132.6,4,bot,0.0,0.0,,24263.0,91.86016216934733,78.80561489166921,118.80678708264915,90.70700203942896,88.0,False,False,
P2_IN,2,42,405,329.6184,115.4001,399.3897,0.36205298,132.479,4,bot,0.0,0.0,,31544.0,88.03368794326241,75.2002861230329,109.53815461346633,85.99735274652548,72.0,False,False,
