channel_id,feu,channel,pad_cx,pad_cy,ped_mean,thr_word,thr_adc
841,5,502,377.4829,306.703,342,284,28
840,5,503,226.1406,184.8789,339,284,28
839,5,504,351.2142,284.6636,325,285,29
838,5,505,199.8759,162.839,378,285,29
837,5,506,324.945,262.6241,318,284,28
836,5,507,173.6115,140.799,341,284,28
835,5,508,450.0279,362.3938,340,284,28
834,5,509,298.6752,240.584,342,284,28
833,5,510,423.7565,340.3529,325,284,28
832,5,511,272.404,218.5438,324,284,28
