node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-0.009667,-0.119157,224.245,6.2058
2,315.0,545.596,-0.2,0.00066,0.108834,224.245,6.0284
3,630.0,0.0,0.0,-0.10934,0.049736,223.153,6.355
4,630.0,0.0,-0.2,0.092969,-0.054817,223.153,6.1943
5,55.0,95.2628,0.0,0.08194,0.028886,106.52,7.6402
6,55.0,95.2628,-0.2,-0.07347,-0.020528,106.52,7.4229
7,110.0,0.0,0.0,0.06418,0.058338,106.373,7.4334
8,110.0,0.0,-0.2,-0.056617,-0.050953,106.373,7.2438
9,63.0801,99.258,0.0,0.07953,0.02787,99.3725,5.04
10,117.5,5.0,0.0,0.062171,0.056672,99.2295,6.4098
11,617.5,5.0,0.0,-0.107798,0.049505,207.927,5.6422
12,314.0,533.864,0.0,-0.009046,-0.11812,210.83,4.8513
13,301.645,173.0,-0.2,3.5e-05,3.4e-05,0.000549,14.6706
14,63.0801,99.258,0.128,0.175933,0.057909,99.3725,13.6716
15,117.5,5.0,0.128,0.13662,0.124811,99.2295,9.7547
16,617.5,5.0,0.128,-0.23533,0.116196,207.927,5.7376
17,314.0,533.864,0.128,-0.015295,-0.262692,210.83,12.3636
18,63.1803,99.4316,0.128,0.175938,0.057832,99.2563,9.0786
19,117.801,194.038,0.128,0.139981,-0.015545,54.6012,10.8162
20,301.645,173.0,-0.4,0.0,0.0,0.0,50.5266
21,314.0,532.617,0.128,-0.015261,-0.261998,209.423,12.3489
22,69.9103,101.088,0.128,0.172345,0.056537,93.8676,6.3544
23,122.5,10.0,0.128,0.133618,0.122313,93.7318,5.8955
24,312.41,521.11,0.128,-0.01381,-0.255799,196.568,4.7122
25,607.5,10.0,0.128,-0.229733,0.113692,195.525,5.4257
26,69.9103,101.088,0.0,0.078416,0.02714,93.8676,6.2563
27,122.5,10.0,0.0,0.061027,0.056014,93.7318,6.287
28,607.5,10.0,0.0,-0.105636,0.048645,195.525,4.3496
29,312.41,521.11,0.0,-0.008215,-0.115622,196.568,4.8069
30,117.5,5.0,0.628,0.42756,0.391125,99.2285,0.2112
31,63.0801,99.6058,0.128,0.176223,0.057646,99.291,1.318
32,63.0801,99.6058,0.628,0.552977,0.174653,99.29,0.206
33,617.5,5.0,0.628,-0.733617,0.376822,207.926,0.2072
34,314.0,532.617,0.628,-0.039652,-0.825347,209.422,0.1355
35,315.0,545.596,-0.1,-0.004503,-0.005161,224.245,0.095
36,630.0,0.0,-0.1,-0.008185,-0.002539,223.153,0.0839
37,318.987,538.69,0.0,-0.010622,-0.119308,216.593,6.0021
38,322.975,531.783,0.0,-0.011219,-0.117394,209.042,6.7105
39,326.962,524.877,0.0,-0.011844,-0.11581,201.669,7.1879
