node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-0.0087,-0.107241,201.821,5.5852
2,315.0,545.596,-0.2,0.000594,0.097951,201.821,5.4256
3,630.0,0.0,0.0,-0.098406,0.044762,200.838,5.7195
4,630.0,0.0,-0.2,0.083672,-0.049335,200.838,5.5749
5,55.0,95.2628,0.0,0.073746,0.025997,95.8679,6.8762
6,55.0,95.2628,-0.2,-0.066123,-0.018475,95.8679,6.6806
7,110.0,0.0,0.0,0.057762,0.052504,95.7359,6.6901
8,110.0,0.0,-0.2,-0.050955,-0.045858,95.7359,6.5194
9,63.0801,99.258,0.0,0.071577,0.025083,89.4353,4.536
10,117.5,5.0,0.0,0.055954,0.051004,89.3066,5.7688
11,617.5,5.0,0.0,-0.097018,0.044555,187.135,5.078
12,314.0,533.864,0.0,-0.008142,-0.106308,189.747,4.3662
13,301.645,173.0,-0.2,3.2e-05,3e-05,0.000494,13.2035
14,63.0801,99.258,0.128,0.15834,0.052118,89.4353,12.3045
15,117.5,5.0,0.128,0.122958,0.11233,89.3066,8.7793
16,617.5,5.0,0.128,-0.211797,0.104577,187.135,5.1639
17,314.0,533.864,0.128,-0.013765,-0.236423,189.747,11.1272
18,63.1803,99.4316,0.128,0.158344,0.052049,89.3307,8.1707
19,117.801,194.038,0.128,0.125983,-0.01399,49.1411,9.7346
20,301.645,173.0,-0.4,0.0,0.0,0.0,45.4737
21,314.0,532.617,0.128,-0.013735,-0.235798,188.48,11.114
22,69.9103,101.088,0.128,0.155111,0.050883,84.4809,5.719
23,122.5,10.0,0.128,0.120256,0.110082,84.3586,5.306
24,312.41,521.11,0.128,-0.012429,-0.230219,176.911,4.241
25,607.5,10.0,0.128,-0.206759,0.102323,175.972,4.8831
26,69.9103,101.088,0.0,0.070574,0.024426,84.4809,5.6306
27,122.5,10.0,0.0,0.054924,0.050413,84.3586,5.6583
28,607.5,10.0,0.0,-0.095073,0.043781,175.972,3.9146
29,312.41,521.11,0.0,-0.007393,-0.104059,176.911,4.3262
30,117.5,5.0,0.628,0.384804,0.352013,89.3057,0.1901
31,63.0801,99.6058,0.128,0.158601,0.051881,89.3619,1.1862
32,63.0801,99.6058,0.628,0.49768,0.157188,89.361,0.1854
33,617.5,5.0,0.628,-0.660255,0.33914,187.134,0.1864
34,314.0,532.617,0.628,-0.035687,-0.742812,188.48,0.1219
35,315.0,545.596,-0.1,-0.004053,-0.004645,201.821,0.0855
36,630.0,0.0,-0.1,-0.007366,-0.002285,200.838,0.0755
37,318.987,538.69,0.0,-0.00956,-0.107377,194.933,5.4019
38,322.975,531.783,0.0,-0.010097,-0.105654,188.138,6.0394
39,326.962,524.877,0.0,-0.010659,-0.104229,181.502,6.4691
40,330.949,517.971,0.0,-0.011372,-0.10278,175.028,6.5671
41,334.937,511.065,0.0,-0.012212,-0.101266,168.718,6.5346
42,338.924,504.158,0.0,-0.013168,-0.099717,162.575,6.7966
43,342.911,497.252,0.0,-0.014143,-0.098071,156.598,6.9053
44,346.899,490.346,0.0,-0.015153,-0.096336,150.791,7.0869
45,350.886,483.439,0.0,-0.016251,-0.094574,145.154,7.0988
46,354.873,476.533,0.0,-0.017337,-0.092777,139.688,7.1427
47,358.861,469.627,0.0,-0.018394,-0.090917,134.396,6.8799
48,362.848,462.721,0.0,-0.019579,-0.089093,129.278,7.2253
49,366.835,455.814,0.0,-0.020719,-0.087206,124.333,7.261
50,370.823,448.908,0.0,-0.021935,-0.085333,119.564,7.3272
