node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-0.007733,-0.095326,179.396,4.9646
2,315.0,545.596,-0.2,0.000528,0.087067,179.396,4.8227
3,630.0,0.0,0.0,-0.087472,0.039788,178.523,5.084
4,630.0,0.0,-0.2,0.074375,-0.043853,178.523,4.9554
5,55.0,95.2628,0.0,0.065552,0.023109,85.2159,6.1122
6,55.0,95.2628,-0.2,-0.058776,-0.016423,85.2159,5.9383
7,110.0,0.0,0.0,0.051344,0.04667,85.0985,5.9467
8,110.0,0.0,-0.2,-0.045294,-0.040763,85.0985,5.795
9,63.0801,99.258,0.0,0.063624,0.022296,79.498,4.032
10,117.5,5.0,0.0,0.049737,0.045337,79.3836,5.1279
11,617.5,5.0,0.0,-0.086239,0.039604,166.342,4.5138
12,314.0,533.864,0.0,-0.007237,-0.094496,168.664,3.881
13,301.645,173.0,-0.2,2.8e-05,2.7e-05,0.00044,11.7364
14,63.0801,99.258,0.128,0.140747,0.046327,79.498,10.9373
15,117.5,5.0,0.128,0.109296,0.099849,79.3836,7.8038
16,617.5,5.0,0.128,-0.188264,0.092957,166.342,4.5901
17,314.0,533.864,0.128,-0.012236,-0.210154,168.664,9.8909
18,63.1803,99.4316,0.128,0.14075,0.046266,79.405,7.2629
19,117.801,194.038,0.128,0.111985,-0.012436,43.681,8.653
20,301.645,173.0,-0.4,0.0,0.0,0.0,40.4211
21,314.0,532.617,0.128,-0.012209,-0.209598,167.538,9.8791
22,69.9103,101.088,0.128,0.137876,0.045229,75.0941,5.0836
23,122.5,10.0,0.128,0.106894,0.09785,74.9854,4.7164
24,312.41,521.11,0.128,-0.011048,-0.204639,157.254,3.7698
25,607.5,10.0,0.128,-0.183786,0.090953,156.42,4.3405
26,69.9103,101.088,0.0,0.062733,0.021712,75.0941,5.005
27,122.5,10.0,0.0,0.048821,0.044811,74.9854,5.0296
28,607.5,10.0,0.0,-0.084509,0.038916,156.42,3.4797
29,312.41,521.11,0.0,-0.006572,-0.092497,157.254,3.8455
30,117.5,5.0,0.628,0.342048,0.3129,79.3828,0.169
31,63.0801,99.6058,0.128,0.140979,0.046117,79.4328,1.0544
32,63.0801,99.6058,0.628,0.442382,0.139722,79.432,0.1648
33,617.5,5.0,0.628,-0.586894,0.301458,166.341,0.1657
34,314.0,532.617,0.628,-0.031722,-0.660278,167.538,0.1084
35,315.0,545.596,-0.1,-0.003603,-0.004129,179.396,0.076
36,630.0,0.0,-0.1,-0.006548,-0.002032,178.523,0.0671
37,318.987,538.69,0.0,-0.008498,-0.095446,173.274,4.8017
38,322.975,531.783,0.0,-0.008975,-0.093915,167.234,5.3684
39,326.962,524.877,0.0,-0.009475,-0.092648,161.335,5.7503
40,330.949,517.971,0.0,-0.010109,-0.09136,155.58,5.8374
41,334.937,511.065,0.0,-0.010855,-0.090014,149.972,5.8085
42,338.924,504.158,0.0,-0.011705,-0.088637,144.511,6.0414
43,342.911,497.252,0.0,-0.012572,-0.087174,139.199,6.138
44,346.899,490.346,0.0,-0.013469,-0.085632,134.036,6.2994
45,350.886,483.439,0.0,-0.014446,-0.084066,129.026,6.3101
46,354.873,476.533,0.0,-0.015411,-0.082468,124.168,6.3491
47,358.861,469.627,0.0,-0.01635,-0.080815,119.463,6.1155
48,362.848,462.721,0.0,-0.017404,-0.079194,114.913,6.4225
49,366.835,455.814,0.0,-0.018417,-0.077517,110.518,6.4542
50,370.823,448.908,0.0,-0.019498,-0.075852,106.279,6.5131
51,374.81,442.002,0.0,-0.020504,-0.074117,102.196,6.2376
52,378.797,435.096,0.0,-0.021585,-0.072399,98.2712,6.2815
53,382.785,428.189,0.0,-0.02268,-0.070654,94.5039,6.2849
54,386.772,421.283,0.0,-0.023808,-0.068932,90.8951,6.5187
55,390.759,414.377,0.0,-0.024882,-0.067155,87.4455,6.4992
56,394.747,407.47,0.0,-0.026,-0.06536,84.1567,6.4417
57,398.734,400.564,0.0,-0.027109,-0.063565,81.0289,6.6153
58,402.722,393.658,0.0,-0.028236,-0.06178,78.0623,6.7254
59,406.709,386.752,0.0,-0.029393,-0.060005,75.2574,6.6937
60,410.696,379.845,0.0,-0.030496,-0.058153,72.6144,6.509
61,414.684,372.939,0.0,-0.03163,-0.056329,70.1336,6.6209
62,418.671,366.033,0.0,-0.032791,-0.05451,67.8158,6.6569
63,422.658,359.126,0.0,-0.033929,-0.05265,65.6612,6.6753
64,426.646,352.22,0.0,-0.035078,-0.050808,63.6701,6.5591
65,430.633,345.314,0.0,-0.036205,-0.048954,61.8426,6.3823
66,434.62,338.408,0.0,-0.037352,-0.047107,60.1783,6.382
67,438.608,331.501,0.0,-0.038536,-0.045226,58.6782,6.4076
68,442.595,324.595,0.0,-0.039667,-0.043342,57.3426,6.4566
69,446.582,317.689,0.0,-0.04089,-0.041505,56.1711,6.6465
70,450.57,310.783,0.0,-0.041942,-0.039589,55.1638,6.5719
71,454.557,303.876,0.0,-0.04317,-0.037725,54.3218,6.4415
72,458.544,296.97,0.0,-0.044336,-0.035801,53.645,6.5792
73,462.532,290.064,0.0,-0.0454,-0.033874,53.133,6.4989
74,466.519,283.157,0.0,-0.046617,-0.032043,52.7861,6.6415
75,470.506,276.251,0.0,-0.047713,-0.030131,52.6031,6.647
76,474.494,269.345,0.0,-0.048893,-0.028237,52.5851,6.7148
77,478.481,262.439,0.0,-0.05002,-0.026334,52.7328,6.6549
78,482.468,255.532,0.0,-0.051164,-0.024422,53.046,6.4695
79,486.456,248.626,0.0,-0.052299,-0.022505,53.5248,6.6408
80,490.443,241.72,0.0,-0.053397,-0.020598,54.1686,6.5506
81,494.43,234.813,0.0,-0.054591,-0.01873,54.9774,6.6141
82,498.418,227.907,0.0,-0.055711,-0.0168,55.9513,6.5844
83,502.405,221.001,0.0,-0.056812,-0.014885,57.0901,6.6233
84,506.392,214.095,0.0,-0.057962,-0.013001,58.3939,6.6126
85,510.38,207.188,0.0,-0.05909,-0.011092,59.8629,6.6465
86,514.367,200.282,0.0,-0.060178,-0.009165,61.4967,6.5518
87,518.354,193.376,0.0,-0.061327,-0.007286,63.2953,6.6965
88,522.342,186.47,0.0,-0.062416,-0.005393,65.2584,6.4689
89,526.329,179.563,0.0,-0.06352,-0.003493,67.3852,6.5376
90,530.316,172.657,0.0,-0.064591,-0.001592,69.6757,6.5143
91,534.304,165.751,0.0,-0.065699,0.000284,72.1298,6.5681
92,538.291,158.844,0.0,-0.066785,0.002157,74.7473,6.563
93,542.279,151.938,0.0,-0.067866,0.004023,77.5274,6.5421
94,546.266,145.032,0.0,-0.06893,0.005896,80.4696,6.5442
95,550.253,138.126,0.0,-0.07002,0.007747,83.574,6.5371
96,554.24,131.219,0.0,-0.071042,0.009603,86.8399,6.5092
97,558.228,124.313,0.0,-0.072146,0.011409,90.267,6.6806
98,562.215,117.407,0.0,-0.073183,0.013255,93.855,6.4502
99,566.203,110.5,0.0,-0.074232,0.015044,97.6029,6.3807
100,570.19,103.594,0.0,-0.075313,0.016839,101.51,6.466
101,574.177,96.6879,0.0,-0.076313,0.018656,105.577,6.3723
102,578.165,89.7816,0.0,-0.077325,0.020453,109.802,6.3508
103,582.152,82.8753,0.0,-0.078324,0.022226,114.185,6.2529
104,586.139,75.9691,0.0,-0.079337,0.023949,118.725,6.3209
105,590.127,69.0628,0.0,-0.080297,0.02566,123.42,6.1953
106,594.114,62.1565,0.0,-0.081234,0.027329,128.267,6.1743
107,598.101,55.2502,0.0,-0.08219,0.028973,133.267,6.1295
108,602.089,48.3439,0.0,-0.083097,0.030607,138.418,6.0054
109,606.076,41.4377,0.0,-0.083962,0.032184,143.718,6.0089
110,610.063,34.5314,0.0,-0.084836,0.033693,149.168,5.8747
111,614.051,27.6251,0.0,-0.085606,0.035169,154.765,5.7697
112,618.038,20.7188,0.0,-0.086411,0.036476,160.507,5.9773
113,622.025,13.8126,0.0,-0.087223,0.037748,166.393,5.4538
114,626.013,6.9063,0.0,-0.088111,0.039097,172.418,4.887
