T_Nm,T_Ncm,k_glue,mode,eigenvalue,tension_margin_Nm,stable
700,7.0,0.00E+00,4,1.000006,25.0002,yes
700,7.0,0.00E+00,5,1.000007,25.0002,yes
700,7.0,0.00E+00,6,nan,nan,no
700,7.0,0.00E+00,7,nan,nan,no
1000,10.0,1.00E+10,1,-1821842.000000,-45546050.0000,no
1000,10.0,1.00E+10,2,-12873.740000,-321843.5000,no
1000,10.0,1.00E+10,3,-10950.210000,-273755.2500,no
1000,10.0,1.00E+10,4,1.694802,42.3700,yes
1000,10.0,1.00E+10,5,528.722600,13218.0650,yes
1000,10.0,1.00E+10,6,nan,nan,no
1000,10.0,1.00E+10,7,nan,nan,no
1000,10.0,1.00E+07,1,0.999221,24.9805,yes
1000,10.0,1.00E+07,2,0.999733,24.9933,yes
1000,10.0,1.00E+07,3,1.000256,25.0064,yes
1000,10.0,1.00E+07,4,1.000808,25.0202,yes
1000,10.0,1.00E+07,5,1.001595,25.0399,yes
1000,10.0,1.00E+07,6,nan,nan,no
1000,10.0,1.00E+07,7,nan,nan,no
1000,10.0,1.00E+05,1,0.999104,24.9776,yes
1000,10.0,1.00E+05,2,0.999372,24.9843,yes
1000,10.0,1.00E+05,3,0.999579,24.9895,yes
1000,10.0,1.00E+05,4,1.000425,25.0106,yes
1000,10.0,1.00E+05,5,1.000664,25.0166,yes
1000,10.0,1.00E+05,6,nan,nan,no
1000,10.0,1.00E+05,7,nan,nan,no
1000,10.0,1.00E+03,1,0.978171,24.4543,yes
1000,10.0,1.00E+03,2,0.980998,24.5250,yes
1000,10.0,1.00E+03,3,0.993957,24.8489,yes
1000,10.0,1.00E+03,4,1.006617,25.1654,yes
1000,10.0,1.00E+03,5,1.020369,25.5092,yes
1000,10.0,1.00E+03,6,nan,nan,no
1000,10.0,1.00E+03,7,nan,nan,no
1000,10.0,0.00E+00,1,1.000000,25.0000,yes
1000,10.0,0.00E+00,2,1.000000,25.0000,yes
1000,10.0,0.00E+00,3,1.000000,25.0000,yes
1000,10.0,0.00E+00,4,1.000000,25.0000,yes
1000,10.0,0.00E+00,5,1.000000,25.0000,yes
1000,10.0,0.00E+00,6,nan,nan,no
1000,10.0,0.00E+00,7,nan,nan,no
