node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
1,315.0000,545.5960,0.0000,-0.000001,0.000000,0.000005,0.524025,88.4
2,315.0000,545.5960,-0.2000,-0.000002,0.000000,0.000005,0.524025,88.4
3,630.0000,0.0000,0.0000,-0.000005,-0.000004,0.000218,0.524025,88.4
4,630.0000,0.0000,-0.2000,-0.000001,-0.000004,0.000218,0.524025,88.4
5,55.0000,95.2628,0.0000,-0.000029,0.000050,-0.000079,0.524025,88.4
6,55.0000,95.2628,-0.2000,-0.000025,0.000053,-0.000080,0.524025,88.4
7,110.0000,0.0000,0.0000,0.000042,-0.000089,0.000075,0.524025,88.4
8,110.0000,0.0000,-0.2000,0.000040,-0.000092,0.000075,0.524025,88.4
9,63.0801,99.2580,0.0000,0.000005,-0.000003,0.000002,0.524025,88.4
10,117.5000,5.0000,0.0000,0.000001,0.000001,-0.000000,0.524025,88.4
11,617.5000,5.0000,0.0000,0.000000,-0.000000,-0.000001,0.524025,88.4
12,314.0000,533.8640,0.0000,0.000000,0.000000,-0.000000,0.524025,88.4
13,301.6450,173.0000,-0.2000,-0.000599,-0.000200,0.902975,0.524025,88.4
14,63.0801,99.2580,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
15,117.5000,5.0000,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
16,617.5000,5.0000,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
17,314.0000,533.8640,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
18,63.1803,99.4316,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
19,117.8010,194.0380,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
20,301.6450,173.0000,-0.4000,-0.001923,-0.000229,0.902975,0.524025,88.4
21,314.0000,532.6170,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
22,69.9103,101.0880,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
23,122.5000,10.0000,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
24,312.4100,521.1100,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
25,607.5000,10.0000,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
26,69.9103,101.0880,0.0000,0.000007,-0.000008,0.000003,0.524025,88.4
27,122.5000,10.0000,0.0000,0.000001,0.000002,-0.000000,0.524025,88.4
28,607.5000,10.0000,0.0000,-0.000001,-0.000000,-0.000001,0.524025,88.4
29,312.4100,521.1100,0.0000,0.000001,-0.000000,-0.000000,0.524025,88.4
30,117.5000,5.0000,0.6280,0.000000,0.000000,0.000000,0.524025,88.4
31,63.0801,99.6058,0.1280,0.000000,0.000000,0.000000,0.524025,88.4
32,63.0801,99.6058,0.6280,0.000000,0.000000,0.000000,0.524025,88.4
33,617.5000,5.0000,0.6280,0.000000,0.000000,0.000000,0.524025,88.4
34,314.0000,532.6170,0.6280,0.000000,0.000000,0.000000,0.524025,88.4
35,315.0000,545.5960,-0.1000,-0.000002,0.000000,0.000005,0.524025,88.4
36,630.0000,0.0000,-0.1000,-0.000003,-0.000004,0.000218,0.524025,88.4
37,318.9870,538.6900,0.0000,-0.000001,0.000001,-0.000001,0.524025,88.4
38,322.9750,531.7830,0.0000,-0.000008,0.000006,0.000008,0.524025,88.4
39,326.9620,524.8770,0.0000,0.000017,0.000057,0.000008,0.524025,88.4
40,330.9490,517.9710,0.0000,0.000019,-0.000007,0.000020,0.524025,88.4
41,334.9370,511.0650,0.0000,-0.000005,-0.000012,0.000011,0.524025,88.4
42,338.9240,504.1580,0.0000,-0.000009,0.000000,-0.000034,0.524025,88.4
43,342.9110,497.2520,0.0000,0.000033,-0.000049,0.000038,0.524025,88.4
44,346.8990,490.3460,0.0000,0.000091,-0.000173,0.000062,0.524025,88.4
45,350.8860,483.4390,0.0000,0.000058,-0.000074,-0.000031,0.524025,88.4
46,354.8730,476.5330,0.0000,0.000005,-0.000009,-0.000107,0.524025,88.4
47,358.8610,469.6270,0.0000,0.000011,0.000002,-0.000128,0.524025,88.4
48,362.8480,462.7210,0.0000,0.000013,0.000005,-0.000113,0.524025,88.4
49,366.8350,455.8140,0.0000,-0.000007,0.000011,-0.000073,0.524025,88.4
50,370.8230,448.9080,0.0000,-0.000024,0.000022,-0.000072,0.524025,88.4
51,374.8100,442.0020,0.0000,-0.000006,0.000017,-0.000033,0.524025,88.4
52,378.7970,435.0960,0.0000,0.000002,0.000003,-0.000012,0.524025,88.4
53,382.7850,428.1890,0.0000,-0.000014,-0.000020,-0.000087,0.524025,88.4
54,386.7720,421.2830,0.0000,0.000125,0.000030,-0.000757,0.524025,88.4
55,390.7590,414.3770,0.0000,0.000033,0.000014,-0.000453,0.524025,88.4
56,394.7470,407.4700,0.0000,-0.000031,0.000132,-0.000344,0.524025,88.4
57,398.7340,400.5640,0.0000,0.000073,0.000202,-0.000779,0.524025,88.4
58,402.7220,393.6580,0.0000,-0.000031,-0.000080,-0.000241,0.524025,88.4
59,406.7090,386.7520,0.0000,-0.000013,-0.000065,0.000230,0.524025,88.4
60,410.6960,379.8450,0.0000,-0.000044,-0.000030,0.000239,0.524025,88.4
61,414.6840,372.9390,0.0000,-0.000008,-0.000025,0.000843,0.524025,88.4
62,418.6710,366.0330,0.0000,-0.000085,0.000022,0.001280,0.524025,88.4
63,422.6580,359.1260,0.0000,-0.000046,0.000211,0.002910,0.524025,88.4
64,426.6460,352.2200,0.0000,0.000126,0.000259,0.003472,0.524025,88.4
65,430.6330,345.3140,0.0000,0.000115,0.000111,0.002174,0.524025,88.4
66,434.6200,338.4080,0.0000,0.000006,0.000032,0.000838,0.524025,88.4
67,438.6080,331.5010,0.0000,-0.000020,-0.000007,0.000378,0.524025,88.4
68,442.5950,324.5950,0.0000,0.000021,0.000066,-0.000089,0.524025,88.4
69,446.5820,317.6890,0.0000,0.000022,-0.000013,-0.000275,0.524025,88.4
