node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,1.929695,-0.315974,-0.629559,-1821842.000000,-45546050.0000
2,315.0000,545.5960,-0.2000,1.930332,-0.328364,-0.629550,-1821842.000000,-45546050.0000
3,630.0000,0.0000,0.0000,0.346651,0.984107,-0.020676,-1821842.000000,-45546050.0000
4,630.0000,0.0000,-0.2000,0.347209,0.985961,-0.020881,-1821842.000000,-45546050.0000
5,55.0000,95.2628,0.0000,0.350636,-0.792752,-0.112884,-1821842.000000,-45546050.0000
6,55.0000,95.2628,-0.2000,0.356707,-0.795661,-0.110896,-1821842.000000,-45546050.0000
7,110.0000,0.0000,0.0000,-0.312754,0.486008,-0.081885,-1821842.000000,-45546050.0000
8,110.0000,0.0000,-0.2000,-0.309567,0.487017,-0.081397,-1821842.000000,-45546050.0000
9,63.0801,99.2580,0.0000,0.022659,-0.002872,-0.000520,-1821842.000000,-45546050.0000
10,117.5000,5.0000,0.0000,0.004035,0.010202,-0.000984,-1821842.000000,-45546050.0000
11,617.5000,5.0000,0.0000,-0.002143,0.006993,-0.000163,-1821842.000000,-45546050.0000
12,314.0000,533.8640,0.0000,0.031341,0.016440,-0.008196,-1821842.000000,-45546050.0000
13,301.6450,173.0000,-0.2000,0.206123,-5.604668,-0.959974,-1821842.000000,-45546050.0000
14,63.0801,99.2580,0.1280,-0.000000,-0.000000,0.000000,-1821842.000000,-45546050.0000
15,117.5000,5.0000,0.1280,-0.000000,-0.000000,0.000000,-1821842.000000,-45546050.0000
16,617.5000,5.0000,0.1280,0.000000,-0.000000,0.000000,-1821842.000000,-45546050.0000
17,314.0000,533.8640,0.1280,-0.000000,0.000000,0.000000,-1821842.000000,-45546050.0000
18,63.1803,99.4316,0.1280,-0.000000,0.000000,0.000000,-1821842.000000,-45546050.0000
19,117.8010,194.0380,0.1280,6.683369,-5.126781,0.000000,-1821842.000000,-45546050.0000
20,301.6450,173.0000,-0.4000,0.217143,-5.602230,-0.960108,-1821842.000000,-45546050.0000
21,314.0000,532.6170,0.1280,-0.040346,-0.213336,0.000000,-1821842.000000,-45546050.0000
22,69.9103,101.0880,0.1280,1.021365,-0.215166,0.000000,-1821842.000000,-45546050.0000
23,122.5000,10.0000,0.1280,0.323584,0.013290,0.000000,-1821842.000000,-45546050.0000
24,312.4100,521.1100,0.1280,-0.283169,-3.443709,0.000000,-1821842.000000,-45546050.0000
25,607.5000,10.0000,0.1280,-0.344797,-0.004516,0.000000,-1821842.000000,-45546050.0000
26,69.9103,101.0880,0.0000,1.020578,-0.215750,0.000084,-1821842.000000,-45546050.0000
27,122.5000,10.0000,0.0000,0.323175,0.013312,0.000038,-1821842.000000,-45546050.0000
28,607.5000,10.0000,0.0000,-0.344465,-0.003946,-0.000149,-1821842.000000,-45546050.0000
29,312.4100,521.1100,0.0000,-0.282618,-3.445225,-0.000150,-1821842.000000,-45546050.0000
30,117.5000,5.0000,0.6280,0.000000,0.000000,0.000000,-1821842.000000,-45546050.0000
31,63.0801,99.6058,0.1280,0.000000,-0.000000,0.000000,-1821842.000000,-45546050.0000
32,63.0801,99.6058,0.6280,0.000000,-0.000000,0.000000,-1821842.000000,-45546050.0000
33,617.5000,5.0000,0.6280,-0.000000,-0.000000,0.000000,-1821842.000000,-45546050.0000
34,314.0000,532.6170,0.6280,-0.041207,-0.414520,0.000000,-1821842.000000,-45546050.0000
35,315.0000,545.5960,-0.1000,1.930016,-0.322162,-0.629552,-1821842.000000,-45546050.0000
36,630.0000,0.0000,-0.1000,0.346939,0.985027,-0.020778,-1821842.000000,-45546050.0000
37,318.9870,538.6900,0.0000,0.983600,-1.558428,-0.250562,-1821842.000000,-45546050.0000
38,322.9750,531.7830,0.0000,-0.030002,-3.120226,-0.078681,-1821842.000000,-45546050.0000
39,326.9620,524.8770,0.0000,-0.532270,-4.596086,-0.009133,-1821842.000000,-45546050.0000
40,330.9490,517.9710,0.0000,-0.723271,-5.738644,0.015660,-1821842.000000,-45546050.0000
41,334.9370,511.0650,0.0000,-0.928606,-6.588450,0.031845,-1821842.000000,-45546050.0000
42,338.9240,504.1580,0.0000,-1.108808,-7.258722,-0.021718,-1821842.000000,-45546050.0000
43,342.9110,497.2520,0.0000,-1.284797,-7.803213,-0.069261,-1821842.000000,-45546050.0000
44,346.8990,490.3460,0.0000,-1.442769,-8.250940,-0.117123,-1821842.000000,-45546050.0000
