node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-0.000111,0.000006,-0.000045,1.000256,25.0064
2,315.0000,545.5960,-0.2000,-0.000113,0.000005,-0.000045,1.000256,25.0064
3,630.0000,0.0000,0.0000,0.000006,0.000034,0.000041,1.000256,25.0064
4,630.0000,0.0000,-0.2000,0.000007,0.000034,0.000041,1.000256,25.0064
5,55.0000,95.2628,0.0000,-0.000008,0.000004,0.000040,1.000256,25.0064
6,55.0000,95.2628,-0.2000,-0.000010,0.000004,0.000040,1.000256,25.0064
7,110.0000,0.0000,0.0000,-0.000024,0.000031,0.000033,1.000256,25.0064
8,110.0000,0.0000,-0.2000,-0.000026,0.000031,0.000034,1.000256,25.0064
9,63.0801,99.2580,0.0000,-0.000000,-0.000001,-0.000000,1.000256,25.0064
10,117.5000,5.0000,0.0000,-0.000000,-0.000000,0.000000,1.000256,25.0064
11,617.5000,5.0000,0.0000,0.000000,0.000001,-0.000000,1.000256,25.0064
12,314.0000,533.8640,0.0000,-0.000003,-0.000001,0.000000,1.000256,25.0064
13,301.6450,173.0000,-0.2000,0.001687,-0.001766,0.324888,1.000256,25.0064
14,63.0801,99.2580,0.1280,-0.000000,0.000000,0.000000,1.000256,25.0064
15,117.5000,5.0000,0.1280,-0.000001,0.000000,0.000000,1.000256,25.0064
16,617.5000,5.0000,0.1280,-0.000000,-0.000000,0.000000,1.000256,25.0064
17,314.0000,533.8640,0.1280,0.000000,-0.000000,0.000000,1.000256,25.0064
18,63.1803,99.4316,0.1280,-0.000000,0.000000,0.000000,1.000256,25.0064
19,117.8010,194.0380,0.1280,0.000101,0.000188,0.000000,1.000256,25.0064
20,301.6450,173.0000,-0.4000,0.004730,-0.005300,0.324883,1.000256,25.0064
21,314.0000,532.6170,0.1280,0.000005,0.000002,0.000000,1.000256,25.0064
22,69.9103,101.0880,0.1280,-0.000065,0.000032,0.000000,1.000256,25.0064
23,122.5000,10.0000,0.1280,-0.000022,-0.000024,0.000000,1.000256,25.0064
24,312.4100,521.1100,0.1280,0.000141,0.000012,0.000000,1.000256,25.0064
25,607.5000,10.0000,0.1280,-0.000016,-0.000005,0.000000,1.000256,25.0064
26,69.9103,101.0880,0.0000,-0.000075,0.000041,-0.000000,1.000256,25.0064
27,122.5000,10.0000,0.0000,-0.000022,-0.000025,-0.000000,1.000256,25.0064
28,607.5000,10.0000,0.0000,-0.000014,-0.000004,-0.000000,1.000256,25.0064
29,312.4100,521.1100,0.0000,0.000136,0.000010,-0.000000,1.000256,25.0064
30,117.5000,5.0000,0.6280,-0.000000,-0.000000,0.000000,1.000256,25.0064
31,63.0801,99.6058,0.1280,0.000000,-0.000000,0.000000,1.000256,25.0064
32,63.0801,99.6058,0.6280,-0.000000,0.000000,0.000000,1.000256,25.0064
33,617.5000,5.0000,0.6280,-0.000000,-0.000000,0.000000,1.000256,25.0064
34,314.0000,532.6170,0.6280,0.000012,0.000001,0.000000,1.000256,25.0064
35,315.0000,545.5960,-0.1000,-0.000112,0.000006,-0.000045,1.000256,25.0064
36,630.0000,0.0000,-0.1000,0.000006,0.000034,0.000041,1.000256,25.0064
37,318.9870,538.6900,0.0000,-0.000045,0.000047,-0.000053,1.000256,25.0064
38,322.9750,531.7830,0.0000,0.000027,0.000072,-0.000044,1.000256,25.0064
39,326.9620,524.8770,0.0000,0.000090,0.000067,-0.000020,1.000256,25.0064
40,330.9490,517.9710,0.0000,0.000111,0.000017,-0.000042,1.000256,25.0064
41,334.9370,511.0650,0.0000,0.000060,-0.000016,-0.000049,1.000256,25.0064
42,338.9240,504.1580,0.0000,0.000013,-0.000025,0.000023,1.000256,25.0064
43,342.9110,497.2520,0.0000,-0.000058,-0.000036,0.000020,1.000256,25.0064
44,346.8990,490.3460,0.0000,-0.000097,0.000029,-0.000028,1.000256,25.0064
45,350.8860,483.4390,0.0000,-0.000089,0.000079,0.000032,1.000256,25.0064
46,354.8730,476.5330,0.0000,-0.000080,0.000124,0.000075,1.000256,25.0064
47,358.8610,469.6270,0.0000,-0.000038,0.000168,0.000099,1.000256,25.0064
48,362.8480,462.7210,0.0000,-0.000012,0.000188,0.000123,1.000256,25.0064
49,366.8350,455.8140,0.0000,-0.000027,0.000213,0.000122,1.000256,25.0064
50,370.8230,448.9080,0.0000,-0.000026,0.000259,0.000131,1.000256,25.0064
51,374.8100,442.0020,0.0000,-0.000006,0.000312,0.000087,1.000256,25.0064
52,378.7970,435.0960,0.0000,0.000042,0.000382,0.000050,1.000256,25.0064
53,382.7850,428.1890,0.0000,0.000112,0.000460,0.000031,1.000256,25.0064
54,386.7720,421.2830,0.0000,0.000216,0.000556,0.000005,1.000256,25.0064
55,390.7590,414.3770,0.0000,0.000433,0.000619,-0.000011,1.000256,25.0064
56,394.7470,407.4700,0.0000,0.000676,0.000489,-0.000031,1.000256,25.0064
57,398.7340,400.5640,0.0000,0.000762,0.000077,-0.000091,1.000256,25.0064
58,402.7220,393.6580,0.0000,0.000479,-0.000545,-0.000051,1.000256,25.0064
59,406.7090,386.7520,0.0000,-0.000021,-0.001002,0.000012,1.000256,25.0064
60,410.6960,379.8450,0.0000,-0.000450,-0.001221,0.000026,1.000256,25.0064
61,414.6840,372.9390,0.0000,-0.000629,-0.001030,0.000011,1.000256,25.0064
62,418.6710,366.0330,0.0000,-0.000404,-0.000644,0.000018,1.000256,25.0064
63,422.6580,359.1260,0.0000,0.000045,-0.000397,0.000057,1.000256,25.0064
64,426.6460,352.2200,0.0000,0.000346,-0.000372,0.000066,1.000256,25.0064
65,430.6330,345.3140,0.0000,0.000446,-0.000411,0.000027,1.000256,25.0064
66,434.6200,338.4080,0.0000,0.000417,-0.000436,0.000000,1.000256,25.0064
67,438.6080,331.5010,0.0000,0.000358,-0.000417,-0.000007,1.000256,25.0064
68,442.5950,324.5950,0.0000,0.000306,-0.000376,0.000003,1.000256,25.0064
69,446.5820,317.6890,0.0000,0.000281,-0.000333,0.000032,1.000256,25.0064
70,450.5700,310.7830,0.0000,0.000254,-0.000309,0.000026,1.000256,25.0064
71,454.5570,303.8760,0.0000,0.000229,-0.000269,0.000003,1.000256,25.0064
72,458.5440,296.9700,0.0000,0.000211,-0.000250,-0.000005,1.000256,25.0064
73,462.5320,290.0640,0.0000,0.000180,-0.000235,0.000006,1.000256,25.0064
74,466.5190,283.1570,0.0000,0.000138,-0.000208,-0.000037,1.000256,25.0064
75,470.5060,276.2510,0.0000,0.000111,-0.000196,-0.000188,1.000256,25.0064
76,474.4940,269.3450,0.0000,0.000068,-0.000187,-0.000333,1.000256,25.0064
77,478.4810,262.4390,0.0000,0.000011,-0.000173,-0.000486,1.000256,25.0064
78,482.4680,255.5320,0.0000,-0.000074,-0.000149,-0.000347,1.000256,25.0064
79,486.4560,248.6260,0.0000,-0.000136,-0.000076,-0.000063,1.000256,25.0064
80,490.4430,241.7200,0.0000,-0.000114,-0.000022,0.000003,1.000256,25.0064
81,494.4300,234.8130,0.0000,-0.000122,0.000010,0.000005,1.000256,25.0064
82,498.4180,227.9070,0.0000,-0.000144,0.000041,-0.000016,1.000256,25.0064
83,502.4050,221.0010,0.0000,-0.000154,0.000072,-0.000019,1.000256,25.0064
84,506.3920,214.0950,0.0000,-0.000162,0.000095,-0.000033,1.000256,25.0064
85,510.3800,207.1880,0.0000,-0.000181,0.000130,-0.000045,1.000256,25.0064
86,514.3670,200.2820,0.0000,-0.000173,0.000181,-0.000043,1.000256,25.0064
87,518.3540,193.3760,0.0000,-0.000154,0.000212,-0.000018,1.000256,25.0064
88,522.3420,186.4700,0.0000,-0.000124,0.000240,0.000009,1.000256,25.0064
89,526.3290,179.5630,0.0000,-0.000117,0.000229,0.000073,1.000256,25.0064
90,530.3160,172.6570,0.0000,-0.000109,0.000232,0.000010,1.000256,25.0064
91,534.3040,165.7510,0.0000,-0.000111,0.000229,0.000020,1.000256,25.0064
92,538.2910,158.8440,0.0000,-0.000090,0.000230,0.000019,1.000256,25.0064
93,542.2790,151.9380,0.0000,-0.000088,0.000213,-0.000009,1.000256,25.0064
94,546.2660,145.0320,0.0000,-0.000118,0.000196,-0.000050,1.000256,25.0064
95,550.2530,138.1260,0.0000,-0.000132,0.000198,-0.000077,1.000256,25.0064
96,554.2400,131.2190,0.0000,-0.000112,0.000221,-0.000065,1.000256,25.0064
97,558.2280,124.3130,0.0000,-0.000092,0.000228,-0.000017,1.000256,25.0064
98,562.2150,117.4070,0.0000,-0.000081,0.000215,-0.000021,1.000256,25.0064
99,566.2030,110.5000,0.0000,-0.000078,0.000202,-0.000017,1.000256,25.0064
100,570.1900,103.5940,0.0000,-0.000074,0.000192,-0.000048,1.000256,25.0064
101,574.1770,96.6879,0.0000,-0.000063,0.000164,-0.000054,1.000256,25.0064
102,578.1650,89.7816,0.0000,-0.000078,0.000139,-0.000011,1.000256,25.0064
103,582.1520,82.8753,0.0000,-0.000106,0.000146,-0.000023,1.000256,25.0064
104,586.1390,75.9691,0.0000,-0.000083,0.000160,-0.000054,1.000256,25.0064
105,590.1270,69.0628,0.0000,-0.000059,0.000137,-0.000043,1.000256,25.0064
106,594.1140,62.1565,0.0000,-0.000050,0.000113,-0.000019,1.000256,25.0064
107,598.1010,55.2502,0.0000,-0.000041,0.000076,-0.000011,1.000256,25.0064
108,602.0890,48.3439,0.0000,-0.000042,0.000066,-0.000001,1.000256,25.0064
109,606.0760,41.4377,0.0000,-0.000040,0.000055,0.000003,1.000256,25.0064
110,610.0630,34.5314,0.0000,-0.000047,0.000040,0.000003,1.000256,25.0064
111,614.0510,27.6251,0.0000,-0.000038,0.000047,-0.000001,1.000256,25.0064
112,618.0380,20.7188,0.0000,-0.000040,0.000034,0.000007,1.000256,25.0064
113,622.0250,13.8126,0.0000,-0.000026,0.000028,0.000011,1.000256,25.0064
114,626.0130,6.9063,0.0000,-0.000009,0.000025,0.000021,1.000256,25.0064
115,316.9940,542.1430,0.0000,-0.000078,0.000026,-0.000051,1.000256,25.0064
116,320.9810,535.2370,0.0000,-0.000008,0.000063,-0.000050,1.000256,25.0064
117,324.9680,528.3300,0.0000,0.000059,0.000073,-0.000034,1.000256,25.0064
118,328.9560,521.4240,0.0000,0.000117,0.000048,-0.000026,1.000256,25.0064
119,332.9430,514.5180,0.0000,0.000084,-0.000007,-0.000053,1.000256,25.0064
120,336.9300,507.6110,0.0000,0.000039,-0.000018,-0.000003,1.000256,25.0064
121,340.9180,500.7050,0.0000,-0.000015,-0.000039,0.000031,1.000256,25.0064
122,344.9050,493.7990,0.0000,-0.000086,-0.000008,-0.000007,1.000256,25.0064
123,348.8920,486.8930,0.0000,-0.000091,0.000057,-0.000004,1.000256,25.0064
124,352.8800,479.9860,0.0000,-0.000088,0.000100,0.000062,1.000256,25.0064
125,356.8670,473.0800,0.0000,-0.000062,0.000150,0.000082,1.000256,25.0064
126,360.8540,466.1740,0.0000,-0.000018,0.000179,0.000120,1.000256,25.0064
127,364.8420,459.2680,0.0000,-0.000019,0.000204,0.000120,1.000256,25.0064
128,368.8290,452.3610,0.0000,-0.000029,0.000230,0.000124,1.000256,25.0064
129,372.8160,445.4550,0.0000,-0.000019,0.000292,0.000108,1.000256,25.0064
130,376.8040,438.5490,0.0000,0.000013,0.000340,0.000067,1.000256,25.0064
131,380.7910,431.6420,0.0000,0.000076,0.000424,0.000037,1.000256,25.0064
132,384.7780,424.7360,0.0000,0.000151,0.000506,0.000025,1.000256,25.0064
133,388.7660,417.8300,0.0000,0.000311,0.000594,-0.000006,1.000256,25.0064
134,392.7530,410.9240,0.0000,0.000568,0.000592,-0.000017,1.000256,25.0064
135,396.7410,404.0170,0.0000,0.000749,0.000316,-0.000051,1.000256,25.0064
136,400.7280,397.1110,0.0000,0.000681,-0.000209,-0.000101,1.000256,25.0064
137,404.7150,390.2050,0.0000,0.000210,-0.000831,0.000008,1.000256,25.0064
138,408.7030,383.2980,0.0000,-0.000243,-0.001152,0.000030,1.000256,25.0064
139,412.6900,376.3920,0.0000,-0.000589,-0.001175,0.000015,1.000256,25.0064
140,416.6770,369.4860,0.0000,-0.000563,-0.000847,0.000012,1.000256,25.0064
141,420.6650,362.5800,0.0000,-0.000179,-0.000486,0.000033,1.000256,25.0064
142,424.6520,355.6730,0.0000,0.000225,-0.000374,0.000076,1.000256,25.0064
143,428.6390,348.7670,0.0000,0.000419,-0.000389,0.000049,1.000256,25.0064
144,432.6270,341.8610,0.0000,0.000441,-0.000429,0.000008,1.000256,25.0064
145,436.6140,334.9540,0.0000,0.000387,-0.000430,-0.000002,1.000256,25.0064
146,440.6010,328.0480,0.0000,0.000329,-0.000399,-0.000007,1.000256,25.0064
147,444.5890,321.1420,0.0000,0.000293,-0.000353,0.000018,1.000256,25.0064
148,448.5760,314.2360,0.0000,0.000269,-0.000326,0.000031,1.000256,25.0064
149,452.5630,307.3290,0.0000,0.000239,-0.000286,0.000015,1.000256,25.0064
150,456.5510,300.4230,0.0000,0.000221,-0.000261,-0.000005,1.000256,25.0064
151,460.5380,293.5170,0.0000,0.000200,-0.000244,0.000001,1.000256,25.0064
152,464.5250,286.6110,0.0000,0.000158,-0.000224,-0.000004,1.000256,25.0064
153,468.5130,279.7040,0.0000,0.000129,-0.000200,-0.000114,1.000256,25.0064
154,472.5000,272.7980,0.0000,0.000091,-0.000191,-0.000257,1.000256,25.0064
155,476.4870,265.8920,0.0000,0.000042,-0.000182,-0.000408,1.000256,25.0064
156,480.4750,258.9850,0.0000,-0.000031,-0.000164,-0.000428,1.000256,25.0064
157,484.4620,252.0790,0.0000,-0.000118,-0.000120,-0.000221,1.000256,25.0064
158,488.4490,245.1730,0.0000,-0.000121,-0.000044,-0.000023,1.000256,25.0064
159,492.4370,238.2670,0.0000,-0.000114,-0.000006,0.000009,1.000256,25.0064
160,496.4240,231.3600,0.0000,-0.000133,0.000027,-0.000012,1.000256,25.0064
161,500.4110,224.4540,0.0000,-0.000152,0.000056,-0.000016,1.000256,25.0064
162,504.3990,217.5480,0.0000,-0.000156,0.000080,-0.000025,1.000256,25.0064
163,508.3860,210.6410,0.0000,-0.000175,0.000112,-0.000041,1.000256,25.0064
164,512.3730,203.7350,0.0000,-0.000180,0.000153,-0.000044,1.000256,25.0064
165,516.3610,196.8290,0.0000,-0.000162,0.000205,-0.000031,1.000256,25.0064
166,520.3480,189.9230,0.0000,-0.000141,0.000219,0.000013,1.000256,25.0064
167,524.3350,183.0160,0.0000,-0.000117,0.000237,0.000057,1.000256,25.0064
168,528.3230,176.1100,0.0000,-0.000115,0.000231,0.000052,1.000256,25.0064
169,532.3100,169.2040,0.0000,-0.000111,0.000230,-0.000001,1.000256,25.0064
170,536.2970,162.2980,0.0000,-0.000099,0.000227,0.000017,1.000256,25.0064
171,540.2850,155.3910,0.0000,-0.000084,0.000227,0.000010,1.000256,25.0064
172,544.2720,148.4850,0.0000,-0.000103,0.000201,-0.000033,1.000256,25.0064
173,548.2600,141.5790,0.0000,-0.000125,0.000197,-0.000063,1.000256,25.0064
174,552.2470,134.6720,0.0000,-0.000130,0.000207,-0.000076,1.000256,25.0064
175,556.2340,127.7660,0.0000,-0.000093,0.000229,-0.000044,1.000256,25.0064
176,560.2210,120.8600,0.0000,-0.000087,0.000223,-0.000018,1.000256,25.0064
177,564.2090,113.9540,0.0000,-0.000076,0.000208,-0.000019,1.000256,25.0064
178,568.1960,107.0470,0.0000,-0.000077,0.000199,-0.000029,1.000256,25.0064
179,572.1840,100.1410,0.0000,-0.000067,0.000177,-0.000054,1.000256,25.0064
180,576.1710,93.2348,0.0000,-0.000062,0.000153,-0.000036,1.000256,25.0064
181,580.1580,86.3285,0.0000,-0.000105,0.000137,-0.000006,1.000256,25.0064
182,584.1460,79.4222,0.0000,-0.000096,0.000161,-0.000050,1.000256,25.0064
183,588.1330,72.5159,0.0000,-0.000063,0.000156,-0.000054,1.000256,25.0064
