node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-4948970.396823,-39335346.927878,-0.003459,1.000000,25.0000
2,315.0000,545.5960,-0.2000,-4948970.396823,-39335346.927878,-0.003459,1.000000,25.0000
3,630.0000,0.0000,0.0000,34235056.569769,-16710276.007075,0.002137,1.000000,25.0000
4,630.0000,0.0000,-0.2000,34235056.569769,-16710276.007075,0.002136,1.000000,25.0000
5,55.0000,95.2628,0.0000,27394453.158896,-58006541.401061,0.000016,1.000000,25.0000
6,55.0000,95.2628,-0.2000,27394453.158896,-58006541.401061,0.000019,1.000000,25.0000
7,110.0000,0.0000,0.0000,34236391.549578,-54056002.402964,-0.000114,1.000000,25.0000
8,110.0000,0.0000,-0.2000,34236391.549578,-54056002.402964,-0.000118,1.000000,25.0000
9,63.0801,99.2580,0.0000,27107599.372559,-57426158.929346,0.000002,1.000000,25.0000
10,117.5000,5.0000,0.0000,33877115.108634,-53517338.050262,-0.000005,1.000000,25.0000
11,617.5000,5.0000,0.0000,33875947.001302,-17608049.928245,-0.000005,1.000000,25.0000
12,314.0000,533.8640,0.0000,-4106231.018256,-39407102.092581,-0.000001,1.000000,25.0000
13,301.6450,173.0000,-0.2000,21810900.110136,-40292861.195474,-0.539265,1.000000,25.0000
14,63.0801,99.2580,0.1280,27107599.372559,-57426158.929346,0.000000,1.000000,25.0000
15,117.5000,5.0000,0.1280,33877115.108634,-53517338.050262,0.000000,1.000000,25.0000
16,617.5000,5.0000,0.1280,33875947.001302,-17608049.928245,0.000000,1.000000,25.0000
17,314.0000,533.8640,0.1280,-4106231.018256,-39407102.092581,0.000000,1.000000,25.0000
18,63.1803,99.4316,0.1280,27095083.936855,-57418816.540400,0.000000,1.000000,25.0000
19,117.8010,194.0380,0.1280,20300537.329373,-53496145.245803,0.000000,1.000000,25.0000
20,301.6450,173.0000,-0.4000,21810900.110136,-40292861.195474,-0.539257,1.000000,25.0000
21,314.0000,532.6170,0.1280,-4016653.873110,-39407102.092581,0.000000,1.000000,25.0000
22,69.9103,101.0880,0.1280,26976103.861429,-56935553.849748,0.000000,1.000000,25.0000
23,122.5000,10.0000,0.1280,33517838.667690,-53158228.481794,0.000000,1.000000,25.0000
24,312.4100,521.1100,0.1280,-3190167.873711,-39521075.993726,0.000000,1.000000,25.0000
25,607.5000,10.0000,0.1280,33516670.560358,-18326269.065180,0.000000,1.000000,25.0000
26,69.9103,101.0880,0.0000,26976103.861429,-56935553.849748,-0.000001,1.000000,25.0000
27,122.5000,10.0000,0.0000,33517838.667690,-53158228.481794,-0.000003,1.000000,25.0000
28,607.5000,10.0000,0.0000,33516670.560358,-18326269.065180,0.000000,1.000000,25.0000
29,312.4100,521.1100,0.0000,-3190167.873711,-39521075.993726,0.000001,1.000000,25.0000
30,117.5000,5.0000,0.6280,33877115.108634,-53517338.050262,0.000000,1.000000,25.0000
31,63.0801,99.6058,0.1280,27082568.501151,-57425992.056870,0.000000,1.000000,25.0000
32,63.0801,99.6058,0.6280,27082568.501151,-57425992.056870,0.000000,1.000000,25.0000
33,617.5000,5.0000,0.6280,33875947.001302,-17608049.928245,0.000000,1.000000,25.0000
34,314.0000,532.6170,0.6280,-4016620.498615,-39407102.092581,0.000000,1.000000,25.0000
35,315.0000,545.5960,-0.1000,-4948970.396823,-39335346.927878,-0.003459,1.000000,25.0000
36,630.0000,0.0000,-0.1000,34235056.569769,-16710276.007075,0.002137,1.000000,25.0000
37,318.9870,538.6900,0.0000,-4452908.587258,-39048826.886493,0.000219,1.000000,25.0000
38,322.9750,531.7830,0.0000,-3956863.464940,-38762473.717585,0.000043,1.000000,25.0000
39,326.9620,524.8770,0.0000,-3460835.029870,-38475953.676201,-0.000111,1.000000,25.0000
40,330.9490,517.9710,0.0000,-2964789.907553,-38189600.507292,-0.000132,1.000000,25.0000
41,334.9370,511.0650,0.0000,-2468778.159730,-37903080.465908,-0.000097,1.000000,25.0000
42,338.9240,504.1580,0.0000,-1972766.411908,-37616727.297000,0.000004,1.000000,25.0000
43,342.9110,497.2520,0.0000,-1476754.664086,-37330374.128091,-0.000078,1.000000,25.0000
44,346.8990,490.3460,0.0000,-980749.591162,-37043854.086707,-0.000232,1.000000,25.0000
45,350.8860,483.4390,0.0000,-484747.855689,-36757500.917799,-0.000201,1.000000,25.0000
46,354.8730,476.5330,0.0000,11254.130094,-36471147.748890,-0.000200,1.000000,25.0000
47,358.8610,469.6270,0.0000,507255.615259,-36184794.579982,-0.000220,1.000000,25.0000
48,362.8480,462.7210,0.0000,1003252.344558,-35898274.538598,-0.000124,1.000000,25.0000
49,366.8350,455.8140,0.0000,1499252.411307,-35611921.369689,-0.000100,1.000000,25.0000
50,370.8230,448.9080,0.0000,1995244.134432,-35325568.200781,-0.000139,1.000000,25.0000
51,374.8100,442.0020,0.0000,2491239.195007,-35039215.031873,-0.000188,1.000000,25.0000
52,378.7970,435.0960,0.0000,2987234.255582,-34752694.990488,-0.000238,1.000000,25.0000
53,382.7850,428.1890,0.0000,3483229.316157,-34466341.821580,0.000028,1.000000,25.0000
54,386.7720,421.2830,0.0000,3979224.376731,-34179988.652672,0.000144,1.000000,25.0000
55,390.7590,414.3770,0.0000,4475219.437306,-33893635.483763,0.000009,1.000000,25.0000
56,394.7470,407.4700,0.0000,4971214.497881,-33607115.442379,-0.000017,1.000000,25.0000
57,398.7340,400.5640,0.0000,5467192.871208,-33320762.273471,-0.000000,1.000000,25.0000
58,402.7220,393.6580,0.0000,5963187.931783,-33034409.104562,0.000046,1.000000,25.0000
59,406.7090,386.7520,0.0000,6459182.992357,-32748055.935654,0.000144,1.000000,25.0000
60,410.6960,379.8450,0.0000,6955178.052932,-32461702.766746,0.000171,1.000000,25.0000
61,414.6840,372.9390,0.0000,7451156.426259,-32175182.725361,0.000110,1.000000,25.0000
62,418.6710,366.0330,0.0000,7947151.486834,-31888829.556453,0.000081,1.000000,25.0000
63,422.6580,359.1260,0.0000,8443146.547408,-31602476.387545,0.000134,1.000000,25.0000
64,426.6460,352.2200,0.0000,8939124.920736,-31316123.218636,0.000126,1.000000,25.0000
65,430.6330,345.3140,0.0000,9435119.981310,-31029770.049728,0.000074,1.000000,25.0000
66,434.6200,338.4080,0.0000,9931115.041885,-30743250.008344,-0.000012,1.000000,25.0000
67,438.6080,331.5010,0.0000,10427093.415212,-30456896.839435,0.000010,1.000000,25.0000
68,442.5950,324.5950,0.0000,10923088.475787,-30170543.670527,-0.000003,1.000000,25.0000
69,446.5820,317.6890,0.0000,11419066.849114,-29884190.501619,-0.000411,1.000000,25.0000
70,450.5700,310.7830,0.0000,11915061.909689,-29597837.332710,-0.000377,1.000000,25.0000
71,454.5570,303.8760,0.0000,12411040.283016,-29311317.291326,-0.000365,1.000000,25.0000
72,458.5440,296.9700,0.0000,12907035.343590,-29024964.122418,-0.000194,1.000000,25.0000
73,462.5320,290.0640,0.0000,13403013.716918,-28738610.953509,-0.000099,1.000000,25.0000
74,466.5190,283.1570,0.0000,13899008.777492,-28452257.784601,-0.000142,1.000000,25.0000
75,470.5060,276.2510,0.0000,14394987.150819,-28165904.615693,-0.000429,1.000000,25.0000
76,474.4940,269.3450,0.0000,14890982.211394,-27879384.574308,-0.000833,1.000000,25.0000
77,478.4810,262.4390,0.0000,15386960.584721,-27593031.405400,-0.001130,1.000000,25.0000
78,482.4680,255.5320,0.0000,15882955.645296,-27306678.236492,-0.000923,1.000000,25.0000
79,486.4560,248.6260,0.0000,16378934.018623,-27020325.067583,-0.000453,1.000000,25.0000
80,490.4430,241.7200,0.0000,16874979.140940,-26733971.898675,-0.000484,1.000000,25.0000
81,494.4300,234.8130,0.0000,17370924.139772,-26447451.857291,-0.000448,1.000000,25.0000
82,498.4180,227.9070,0.0000,17866869.138604,-26161098.688382,-0.000228,1.000000,25.0000
83,502.4050,221.0010,0.0000,18362814.137436,-25874745.519474,-0.000239,1.000000,25.0000
84,506.3920,214.0950,0.0000,18858926.008744,-25588392.350566,-0.000307,1.000000,25.0000
85,510.3800,207.1880,0.0000,19354871.007576,-25301872.309181,-0.000343,1.000000,25.0000
