node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,1.929694,-0.315973,-0.629558,0.985682,24.6420
2,315.0000,545.5960,-0.2000,1.930331,-0.328363,-0.629549,0.985682,24.6420
3,630.0000,0.0000,0.0000,0.346651,0.984109,-0.020676,0.985682,24.6420
4,630.0000,0.0000,-0.2000,0.347207,0.985963,-0.020881,0.985682,24.6420
5,55.0000,95.2628,0.0000,0.350637,-0.792753,-0.112884,0.985682,24.6420
6,55.0000,95.2628,-0.2000,0.356709,-0.795662,-0.110896,0.985682,24.6420
7,110.0000,0.0000,0.0000,-0.312755,0.486009,-0.081885,0.985682,24.6420
8,110.0000,0.0000,-0.2000,-0.309566,0.487016,-0.081397,0.985682,24.6420
9,63.0801,99.2580,0.0000,0.022659,-0.002872,-0.000520,0.985682,24.6420
10,117.5000,5.0000,0.0000,0.004035,0.010202,-0.000984,0.985682,24.6420
11,617.5000,5.0000,0.0000,-0.002143,0.006993,-0.000163,0.985682,24.6420
12,314.0000,533.8640,0.0000,0.031341,0.016440,-0.008196,0.985682,24.6420
13,301.6450,173.0000,-0.2000,0.206123,-5.604667,-0.959973,0.985682,24.6420
14,63.0801,99.2580,0.1280,-0.000000,-0.000000,0.000000,0.985682,24.6420
15,117.5000,5.0000,0.1280,-0.000000,-0.000000,0.000000,0.985682,24.6420
16,617.5000,5.0000,0.1280,0.000000,-0.000000,0.000000,0.985682,24.6420
17,314.0000,533.8640,0.1280,-0.000000,0.000000,0.000000,0.985682,24.6420
18,63.1803,99.4316,0.1280,-0.000000,0.000000,0.000000,0.985682,24.6420
19,117.8010,194.0380,0.1280,6.683361,-5.126795,0.000000,0.985682,24.6420
20,301.6450,173.0000,-0.4000,0.217143,-5.602251,-0.960108,0.985682,24.6420
21,314.0000,532.6170,0.1280,-0.040346,-0.213336,0.000000,0.985682,24.6420
22,69.9103,101.0880,0.1280,1.021364,-0.215166,0.000000,0.985682,24.6420
23,122.5000,10.0000,0.1280,0.323583,0.013290,0.000000,0.985682,24.6420
24,312.4100,521.1100,0.1280,-0.283170,-3.443701,0.000000,0.985682,24.6420
25,607.5000,10.0000,0.1280,-0.344797,-0.004516,0.000000,0.985682,24.6420
26,69.9103,101.0880,0.0000,1.020580,-0.215750,0.000084,0.985682,24.6420
27,122.5000,10.0000,0.0000,0.323175,0.013312,0.000038,0.985682,24.6420
28,607.5000,10.0000,0.0000,-0.344467,-0.003946,-0.000149,0.985682,24.6420
29,312.4100,521.1100,0.0000,-0.282617,-3.445238,-0.000150,0.985682,24.6420
30,117.5000,5.0000,0.6280,0.000000,0.000000,0.000000,0.985682,24.6420
31,63.0801,99.6058,0.1280,0.000000,-0.000000,0.000000,0.985682,24.6420
32,63.0801,99.6058,0.6280,0.000000,-0.000000,0.000000,0.985682,24.6420
33,617.5000,5.0000,0.6280,-0.000000,-0.000000,0.000000,0.985682,24.6420
34,314.0000,532.6170,0.6280,-0.041207,-0.414519,0.000000,0.985682,24.6420
35,315.0000,545.5960,-0.1000,1.930017,-0.322162,-0.629552,0.985682,24.6420
36,630.0000,0.0000,-0.1000,0.346937,0.985028,-0.020778,0.985682,24.6420
37,318.9870,538.6900,0.0000,0.983600,-1.558430,-0.250561,0.985682,24.6420
38,322.9750,531.7830,0.0000,-0.030002,-3.120227,-0.078682,0.985682,24.6420
39,326.9620,524.8770,0.0000,-0.532271,-4.596078,-0.009133,0.985682,24.6420
40,330.9490,517.9710,0.0000,-0.723272,-5.738633,0.015660,0.985682,24.6420
41,334.9370,511.0650,0.0000,-0.928605,-6.588434,0.031845,0.985682,24.6420
42,338.9240,504.1580,0.0000,-1.108808,-7.258734,-0.021718,0.985682,24.6420
43,342.9110,497.2520,0.0000,-1.284796,-7.803228,-0.069261,0.985682,24.6420
44,346.8990,490.3460,0.0000,-1.442769,-8.250942,-0.117123,0.985682,24.6420
45,350.8860,483.4390,0.0000,-1.595962,-8.616501,-0.060290,0.985682,24.6420
46,354.8730,476.5330,0.0000,-1.738056,-8.929496,-0.020753,0.985682,24.6420
47,358.8610,469.6270,0.0000,-1.890213,-9.201319,-0.029729,0.985682,24.6420
48,362.8480,462.7210,0.0000,-2.025667,-9.420516,-0.011984,0.985682,24.6420
49,366.8350,455.8140,0.0000,-2.175562,-9.613322,-0.018120,0.985682,24.6420
50,370.8230,448.9080,0.0000,-2.314687,-9.765960,-0.041471,0.985682,24.6420
51,374.8100,442.0020,0.0000,-2.470412,-9.900334,-0.019697,0.985682,24.6420
52,378.7970,435.0960,0.0000,-2.615766,-10.007186,-0.002033,0.985682,24.6420
53,382.7850,428.1890,0.0000,-2.769013,-10.096968,0.007092,0.985682,24.6420
54,386.7720,421.2830,0.0000,-2.912597,-10.156278,-0.053595,0.985682,24.6420
55,390.7590,414.3770,0.0000,-3.075446,-10.205609,-0.041789,0.985682,24.6420
56,394.7470,407.4700,0.0000,-3.231219,-10.238026,-0.034783,0.985682,24.6420
57,398.7340,400.5640,0.0000,-3.388156,-10.257074,-0.049400,0.985682,24.6420
58,402.7220,393.6580,0.0000,-3.550083,-10.256541,-0.013878,0.985682,24.6420
