node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
66,434.6200,338.4080,0.0000,0.000003,-0.000003,-0.000027,1.003860,146.5
67,438.6080,331.5010,0.0000,0.000001,-0.000001,-0.000018,1.003860,146.5
68,442.5950,324.5950,0.0000,0.000001,-0.000003,-0.000021,1.003860,146.5
69,446.5820,317.6890,0.0000,0.000004,-0.000007,-0.000073,1.003860,146.5
70,450.5700,310.7830,0.0000,-0.000003,-0.000005,-0.000081,1.003860,146.5
71,454.5570,303.8760,0.0000,0.000002,0.000001,-0.000024,1.003860,146.5
72,458.5440,296.9700,0.0000,0.000001,-0.000001,0.000024,1.003860,146.5
73,462.5320,290.0640,0.0000,-0.000000,-0.000001,0.000061,1.003860,146.5
74,466.5190,283.1570,0.0000,-0.000004,-0.000003,0.000094,1.003860,146.5
75,470.5060,276.2510,0.0000,-0.000007,-0.000003,0.000178,1.003860,146.5
76,474.4940,269.3450,0.0000,-0.000007,-0.000004,0.000304,1.003860,146.5
77,478.4810,262.4390,0.0000,-0.000008,-0.000013,0.000527,1.003860,146.5
78,482.4680,255.5320,0.0000,0.000004,-0.000021,0.000429,1.003860,146.5
79,486.4560,248.6260,0.0000,0.000000,-0.000012,0.000108,1.003860,146.5
80,490.4430,241.7200,0.0000,0.000001,-0.000015,0.000073,1.003860,146.5
81,494.4300,234.8130,0.0000,0.000000,0.000003,0.000055,1.003860,146.5
82,498.4180,227.9070,0.0000,-0.000001,0.000000,0.000031,1.003860,146.5
83,502.4050,221.0010,0.0000,0.000000,-0.000000,-0.000012,1.003860,146.5
84,506.3920,214.0950,0.0000,0.000001,0.000001,-0.000037,1.003860,146.5
85,510.3800,207.1880,0.0000,0.000001,0.000001,-0.000035,1.003860,146.5
86,514.3670,200.2820,0.0000,0.000001,0.000002,0.000002,1.003860,146.5
87,518.3540,193.3760,0.0000,-0.000002,0.000009,0.000064,1.003860,146.5
88,522.3420,186.4700,0.0000,-0.000004,0.000008,0.000090,1.003860,146.5
89,526.3290,179.5630,0.0000,-0.000004,0.000003,0.000011,1.003860,146.5
90,530.3160,172.6570,0.0000,-0.000003,-0.000002,-0.000002,1.003860,146.5
91,534.3040,165.7510,0.0000,-0.000000,-0.000002,0.000006,1.003860,146.5
92,538.2910,158.8440,0.0000,0.000000,0.000001,0.000018,1.003860,146.5
93,542.2790,151.9380,0.0000,0.000006,0.000006,0.000027,1.003860,146.5
94,546.2660,145.0320,0.0000,0.000008,0.000003,0.000028,1.003860,146.5
95,550.2530,138.1260,0.0000,0.000002,-0.000001,0.000025,1.003860,146.5
96,554.2400,131.2190,0.0000,-0.000001,-0.000002,0.000021,1.003860,146.5
97,558.2280,124.3130,0.0000,0.000000,-0.000000,0.000017,1.003860,146.5
98,562.2150,117.4070,0.0000,0.000000,-0.000003,0.000015,1.003860,146.5
99,566.2030,110.5000,0.0000,0.000005,-0.000003,0.000001,1.003860,146.5
100,570.1900,103.5940,0.0000,-0.000011,0.000003,-0.000002,1.003860,146.5
101,574.1770,96.6879,0.0000,-0.000021,0.000009,-0.000002,1.003860,146.5
102,578.1650,89.7816,0.0000,-0.000015,0.000009,0.000002,1.003860,146.5
103,582.1520,82.8753,0.0000,-0.000006,0.000005,0.000017,1.003860,146.5
