station,gas,run,sub,chip,mesh,drift,n,sigma,mu,ctr,eff,pt,gain
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m00V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,55.95880046139248,210.81428861667715,11.798759125827182,0.0982899372690556,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m10V,p2b-config-cern-ext_gain3.0_peaktime200.txt,440.0,740.0,39,58.8844660201784,207.59405267528945,11.616122259136214,0.0614790454142235,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m20V,p2b-config-cern-ext_gain3.0_peaktime200.txt,430.0,730.0,39,63.45666023334704,210.0579552363761,11.47776661005788,0.039159262697255,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m30V,p2b-config-cern-ext_gain3.0_peaktime200.txt,420.0,720.0,40,64.4106074187448,210.28311217025646,10.589469518095274,0.0285186952035704,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m40V,p2b-config-cern-ext_gain3.0_peaktime200.txt,410.0,710.0,23,59.2295022891961,215.13680525333012,8.582842237464979,0.0220408163265306,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m50V,p2b-config-cern-ext_gain3.0_peaktime200.txt,400.0,700.0,17,6.72082730065635,195.0019793025748,10.813432835820896,0.0007841244948428,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m60V,p2b-config-cern-ext_gain3.0_peaktime200.txt,390.0,690.0,17,17.96386614057891,213.56600742021243,17.189237668161432,9.590026372572474e-05,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m70V,p2b-config-cern-ext_gain3.0_peaktime200.txt,380.0,680.0,15,7.336052965543113,70.08998335319325,26.760216642048253,0.0,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m80V,p2b-config-cern-ext_gain3.0_peaktime200.txt,370.0,670.0,14,8.786332425105146,203.11080709209966,53.31283772826052,-0.00034429015766805,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_61,meshscan_m90V,p2b-config-cern-ext_gain3.0_peaktime200.txt,360.0,660.0,10,20.331068179831753,207.6442146210887,46.2816372031823,0.0011242850907481,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_63,operating_00,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,45.64437257034259,192.00449962326368,11.856147650494332,0.1113595020492252,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_63,operating_01,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,23,47.0911769884087,194.94733346840496,12.84380494205117,0.1093928477286705,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_63,operating_02,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,35,47.155746229628335,194.80030890586616,14.132525096525097,0.1117133848745303,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_63,operating_03,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,59.85930354954444,223.1867036353694,10.446907600596123,0.1037810121727194,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_64,cfg_gain3.0_peaktime200_opt,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450.0,750.0,28,47.18288743848805,197.08717415226397,13.76214526214526,0.10680791979539561,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_65,cfg_gain3.0_peaktime200_deflt,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450.0,750.0,36,53.297116486519315,190.30599304368718,9.365337163448316,0.029199767024898002,200.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_66,cfg_gain4.5_peaktime200_opt,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450.0,750.0,41,42.47686690832125,192.6590278059361,14.705637831977802,0.1299700033586973,200.0,4.5
P2_IN,Ar/CF4/Iso 88/10/2,run_67,cfg_gain4.5_peaktime200_deflt,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,37,52.68581466215015,186.76876110520712,10.948717948717947,0.0382117980402188,200.0,4.5
P2_IN,Ar/CF4/Iso 88/10/2,run_70,cfg_gain3.0_peaktime50,p2b-config-cern-ext_gain3.0_peaktime50.txt,450.0,750.0,24,58.76065487151101,3.5486484282155892,9.005605748185413,0.03036908928082655,50.0,3.0
P2_IN,Ar/CF4/Iso 88/10/2,run_71,cfg_gain4.5_peaktime50,p2b-config-cern-ext_gain4.5_peaktime50.txt,450.0,750.0,30,30.718741476236914,3.440159637919809,12.843123663631708,0.0254448832884255,50.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_27,cfg_gain3.0_peaktime25,p2b-config-cern-ext_gain3.0_peaktime25.txt,435.0,735.0,46,56.86061060198987,-79.04831732350934,10.319195688225541,0.0141603038732506,25.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_36,operating_00,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,66,45.49326861284818,196.83990804603124,15.84812488222487,0.19055977885749376,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_36,operating_01,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,71,48.64462333862506,204.2603623865201,12.48851208528628,0.1852831179056492,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_36,operating_02,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,71,44.1003845519618,193.93266657890825,16.370538849401616,0.1892047555822314,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_38,cfg_gain3.0_peaktime100,p2b-config-cern-ext_gain3.0_peaktime100.txt,450.0,750.0,49,51.43534210421094,84.91982114021717,13.928798080643912,0.1149024185208256,100.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_39,cfg_gain3.0_peaktime25,p2b-config-cern-ext_gain3.0_peaktime25.txt,450.0,750.0,42,67.57858457560663,-47.967705980448414,9.541716303015853,0.025578905809589852,25.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_40,cfg_gain3.0_peaktime50,p2b-config-cern-ext_gain3.0_peaktime50.txt,450.0,750.0,48,64.63828763079894,9.937663032302066,9.841284298112072,0.048335139995891646,50.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_41,cfg_gain3.0_peaktime200,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,47,47.29691357680047,199.17448735547336,14.393749251042344,0.1778425295249407,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_42,cfg_gain3.0_peaktime200_deflt,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450.0,750.0,46,60.35314545939987,197.7673496794093,10.167240017814176,0.0441440750687174,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_43,cfg_gain3.0_peaktime200_opt,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450.0,750.0,47,49.35875583920446,203.10732056084996,13.33647810500347,0.1677363621820508,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_45,cfg_gain4.5_peaktime100,p2b-config-cern-ext_gain4.5_peaktime100.txt,450.0,750.0,47,58.82268319812768,99.78194418455776,10.789797486285009,0.1158781577193827,100.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_46,cfg_gain4.5_peaktime200,p2b-config-cern-ext_gain4.5_peaktime200.txt,450.0,750.0,48,48.69953508616459,211.76180968047856,12.795362311941162,0.18323219500674615,200.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_47,cfg_gain4.5_peaktime200_deflt,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,48,64.00161267057749,209.95254423076517,10.48353070028424,0.057516778082594644,200.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_48,cfg_gain4.5_peaktime200_opt,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450.0,750.0,48,55.50942183037855,221.7060317547494,12.185439872348741,0.19319979659440956,200.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_50,cfg_gain3.0_peaktime200_opt,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450.0,750.0,32,56.69550257526052,216.91558393157516,12.543287048230265,0.16193250621775984,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_51,cfg_gain3.0_peaktime200_deflt,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450.0,750.0,28,70.0787505015208,214.36493379327953,9.286735567664138,0.042725253815731654,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_52,cfg_gain4.5_peaktime200_opt,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450.0,750.0,31,62.91861686168552,242.6194994027888,10.413430636875091,0.1881658366041096,200.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_53,cfg_gain4.5_peaktime200_deflt,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,34,69.49027652969893,220.18612155320915,8.08575750933676,0.0577082246130205,200.0,4.5
P2_IN,Ar/CO2/Iso 93/5/2,run_55,meshscan_m00V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,13,57.80504484455002,220.27286157785252,12.5689265198384,0.1727700490998363,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_55,meshscan_m10V,p2b-config-cern-ext_gain3.0_peaktime200.txt,440.0,740.0,16,61.76284486581066,217.11865114086473,11.618324111907214,0.10902820983128081,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_55,meshscan_m20V,p2b-config-cern-ext_gain3.0_peaktime200.txt,430.0,730.0,13,62.86650448206058,214.39164959483767,10.464668411436472,0.0674482758620689,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_56,meshscan_m30V,p2b-config-cern-ext_gain3.0_peaktime200.txt,420.0,720.0,15,70.67853912163736,219.851992779178,9.967024455018258,0.0392039018977832,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_56,meshscan_m40V,p2b-config-cern-ext_gain3.0_peaktime200.txt,410.0,710.0,17,72.11106751089214,217.46652349406756,9.105614973262032,0.0298159542460629,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_56,meshscan_m50V,p2b-config-cern-ext_gain3.0_peaktime200.txt,400.0,700.0,13,6.399259555633856,216.42054098681243,19.421809744779583,0.0004553574556026,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_56,meshscan_m60V,p2b-config-cern-ext_gain3.0_peaktime200.txt,390.0,690.0,12,6.307144582498546,154.46873694615516,32.76363261127989,5.275096270505043e-05,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_56,meshscan_m70V,p2b-config-cern-ext_gain3.0_peaktime200.txt,380.0,680.0,11,5.940401164365569,23.81745194884822,57.83092705167173,7.92204705695954e-05,200.0,3.0
P2_IN,Ar/CO2/Iso 93/5/2,run_57,driftscan_gap300V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,16,56.393438054352615,217.99208906513962,10.64539614398085,0.17160840117323461,200.0,3.0
