run,sub,n_tracks,n_tracks_timed,P2_IN_eff,P2_IN_lo,P2_IN_hi,P2_IN_n,P2_IN_accidental,P2_IN_latency_ns,P2_IN_res_dx_mm,P2_IN_rot_deg,P2_MID_eff,P2_MID_lo,P2_MID_hi,P2_MID_n,P2_MID_accidental,P2_MID_latency_ns,P2_MID_res_dx_mm,P2_MID_rot_deg,P2_OUT_eff,P2_OUT_lo,P2_OUT_hi,P2_OUT_n,P2_OUT_accidental,P2_OUT_latency_ns,P2_OUT_res_dx_mm,P2_OUT_rot_deg
run_38,cfg_gain3.0_peaktime100,820764,806545,0.107062,0.106717,0.107408,803441,0.000500348,85,6.38182,-59.3708,0.517543,0.516985,0.518101,805079,0.000257118,25,3.53937,-59.8426,0.681591,0.681071,0.682111,805191,0.000380034,25,3.44332,-59.9868
run_39,cfg_gain3.0_peaktime25,811289,747025,0.0168424,0.0166934,0.0169927,746509,4.55453e-05,-115,6.04779,-59.3853,0.21569,0.215214,0.216167,746678,0.00012723,-85,3.99303,-59.8709,0.314748,0.31421,0.315287,746536,0.000221021,-105,3.73039,-59.9295
run_40,cfg_gain3.0_peaktime50,809831,788001,0.0388323,0.0386143,0.0390516,785196,6.49519e-05,-25,5.37764,-59.5525,0.38642,0.38587,0.386969,786593,0.000170355,-45,3.61274,-59.8675,0.52694,0.526376,0.527504,785644,0.000399672,-25,3.54288,-59.9866
run_41,cfg_gain3.0_peaktime200,814083,790865,0.155445,0.155036,0.155854,787862,0.000195466,195,5.02269,-59.7262,0.566133,0.565574,0.566691,789221,0.00025088,115,3.51685,-59.8337,0.723089,0.722584,0.723593,789279,0.000372492,125,3.42033,-59.9724
run_42,cfg_gain3.0_peaktime200_deflt,827226,793005,0.0367501,0.0365386,0.0369628,791426,5.05417e-05,225,6.02517,-59.6984,0.191882,0.191439,0.192326,791466,8.08626e-05,115,3.8836,-59.9647,0.31584,0.315318,0.316364,791523,0.000174347,115,3.7124,-59.9654
run_43,cfg_gain3.0_peaktime200_opt,829499,547978,0.152832,0.152346,0.153321,546893,0.00017188,195,5.05411,-59.6311,0.564306,0.563634,0.564977,546948,0.000268764,115,3.5297,-59.8112,0.719188,0.718579,0.719796,546968,0.000385763,125,3.4295,-59.9857
run_44,cfg_gain4.5_peaktime25,1060217,935741,0.0108351,0.010728,0.0109432,935665,0.0108586,-85,14.8725,-99.2506,0.329144,0.328658,0.329631,935666,0.00139793,-85,7.22147,-59.7731,0.451953,0.451438,0.452468,935666,0.00131992,-85,7.14491,-59.9937
run_45,cfg_gain4.5_peaktime100,842793,836275,0.0960092,0.0956867,0.0963326,835514,0.000113702,105,5.03111,-59.3645,0.639862,0.639336,0.640388,835344,0.00028611,25,3.47532,-59.778,0.823882,0.823465,0.8243,834789,0.000404893,25,3.38025,-59.9846
run_46,cfg_gain4.5_peaktime200,847721,837338,0.155209,0.154813,0.155606,836918,0.000189983,225,4.72263,-59.2341,0.668767,0.668251,0.669281,837156,0.000290268,115,3.4679,-59.7682,0.854028,0.853641,0.854414,836980,0.000483883,135,3.36707,-59.9822
run_47,cfg_gain4.5_peaktime200_deflt,847431,841215,0.0525895,0.052346,0.052834,840853,7.84917e-05,225,5.27063,-59.1316,0.32536,0.324849,0.325872,840877,0.00012368,115,3.699,-59.9331,0.485886,0.485341,0.486432,841059,0.000224717,125,3.57691,-59.9803
run_48,cfg_gain4.5_peaktime200_opt,848184,842609,0.168696,0.168288,0.169105,842231,0.000260024,225,4.55218,-59.219,0.614685,0.614154,0.615215,842279,0.00028969,115,3.49597,-59.7825,0.822061,0.821643,0.822478,842413,0.000468891,135,3.3821,-59.9694
run_50,cfg_gain3.0_peaktime200_opt,507811,501540,0.145776,0.145277,0.146277,500665,0.000205726,225,5.1016,-59.6123,0.499462,0.498754,0.500169,500829,0.000185692,115,3.54607,-59.9443,0.710028,0.709385,0.71067,500814,0.000365405,135,3.42634,-59.9841
run_51,cfg_gain3.0_peaktime200_deflt,508723,504803,0.0332651,0.0330125,0.0335195,504433,3.37012e-05,225,6.11562,-59.721,0.15675,0.156237,0.157264,503854,5.3587e-05,115,3.93791,-60.1075,0.294482,0.293839,0.295125,503950,0.000156762,135,3.70219,-59.983
run_52,cfg_gain4.5_peaktime200_opt,508847,504108,0.167582,0.167054,0.168111,501778,0.000259079,265,4.58308,-59.2387,0.545996,0.545292,0.546699,501852,0.000241107,115,3.57499,-59.8689,0.817868,0.817322,0.818413,503130,0.000405462,135,3.3907,-59.9614
run_53,cfg_gain4.5_peaktime200_deflt,370526,367318,0.0508538,0.0504911,0.0512191,367052,9.26299e-05,225,5.53704,-59.146,0.276644,0.275905,0.277384,367064,0.000114421,115,4.22168,-60.1045,0.466339,0.465514,0.467163,367216,0.000247811,135,3.98345,-59.9389
run_54,cfg_gain4.5_peaktime50,367815,362047,0.034958,0.0346525,0.0352661,361634,4.70089e-05,-25,6.19279,-59.3828,0.469673,0.468842,0.470505,361713,0.000337284,-45,3.98917,-59.8549,0.700768,0.700004,0.70153,361659,0.00110325,-25,3.80168,-59.9532
run_55,meshscan_m00V,50785,49982,0.1408,0.13924,0.142374,49922,0.00016025,225,5.70166,-59.9132,0.474494,0.472251,0.476739,49969,0.000220136,115,4.53991,-59.9203,0.678214,0.676111,0.68031,49968,0.000260167,135,4.51641,-60.0022
run_55,meshscan_m10V,72738,72040,0.0880942,0.0870344,0.0891655,71696,0.000223164,225,5.86487,-59.4353,0.375822,0.374011,0.377638,71885,0.0001252,115,4.63091,-59.9683,0.552207,0.550344,0.554067,71897,0.000264267,135,4.60997,-60.0526
run_55,meshscan_m20V,72342,71810,0.0504628,0.049643,0.0512952,71419,5.60075e-05,225,6.36628,-60.1572,0.269129,0.267468,0.270797,71631,0.000167525,115,4.8714,-60.1056,0.407051,0.405209,0.408895,71625,0.000223386,135,4.83259,-59.944
run_56,meshscan_m30V,71752,62753,0.0289676,0.0282961,0.0296545,62449,0,205,6.69075,-59.3651,0.179716,0.178179,0.181264,62621,0.000111784,115,4.84347,-60.0699,0.274162,0.272375,0.275956,62620,0.000159693,135,4.81368,-59.8608
run_56,meshscan_m40V,72301,71880,0.0175485,0.0170573,0.0180534,71516,1.39829e-05,245,7.10702,-59.6713,0.102851,0.101715,0.103997,71735,8.36412e-05,115,5.4477,-60.2238,0.165089,0.1637,0.166487,71719,0.00016732,135,5.06233,-60.0589
run_56,meshscan_m50V,66731,65577,0.0104379,0.0100402,0.0108508,65339,3.06096e-05,235,7.60907,-59.4447,0.0616776,0.0607363,0.0626325,65437,1.52819e-05,135,5.51802,-60.0886,0.0961136,0.0949599,0.0972797,65433,9.16969e-05,135,5.08348,-59.9933
run_56,meshscan_m60V,65581,64384,,,,,,175,,,0.0347456,0.0340221,0.0354838,64152,1.5588e-05,135,5.84976,-60.3302,0.0553322,0.0544289,0.0562495,64176,9.34929e-05,125,5.57928,-60.1358
run_56,meshscan_m70V,65745,64426,,,,,,175,,,0.0228888,0.0222981,0.0234944,64180,3.11624e-05,135,6.22265,-59.7948,0.0360701,0.0353339,0.0368209,64236,7.7838e-05,135,5.85505,-59.7886
run_57,driftscan_gap150V,67862,66576,0.0779659,0.0769236,0.0790211,66311,0.00064846,335,6.46898,-59.8349,0.451439,0.449504,0.453376,66576,0.000585797,205,4.77917,-59.9863,0.577181,0.575256,0.579103,66480,0.0011432,265,4.70496,-60.011
run_57,driftscan_gap200V,68328,67202,0.0971656,0.0960199,0.0983234,66999,0.000343289,245,6.21359,-59.6814,0.471223,0.46929,0.473158,67138,0.000208526,135,4.62262,-59.9601,0.634534,0.632666,0.636398,67139,0.000759618,195,4.4833,-59.9981
run_57,driftscan_gap250V,68738,68174,0.125053,0.123783,0.126335,67971,0.000323667,285,5.83728,-59.6436,0.475274,0.473353,0.477196,68087,0.000308429,115,4.64382,-59.8976,0.663641,0.661821,0.665457,68091,0.000425901,135,4.54116,-60.0066
run_57,driftscan_gap300V,68300,67049,0.142755,0.141399,0.144121,66842,0.000254331,225,6.00637,-59.5563,0.479941,0.478003,0.481879,66977,0.000194096,115,4.63894,-59.839,0.679053,0.677239,0.680862,66980,0.000403105,135,4.50882,-59.8975
run_57,driftscan_gap350V,41026,40800,0.147169,0.145409,0.148946,40688,0.000147464,175,5.68208,-59.7667,0.473777,0.471293,0.476263,40766,0.000220772,115,4.54859,-59.9452,0.680468,0.678142,0.682785,40769,0.000245284,115,4.57169,-59.976
run_57,driftscan_gap400V,73612,72810,0.142004,0.140707,0.143311,72681,8.25525e-05,175,5.79518,-59.9021,0.465671,0.463815,0.467527,72751,0.000233674,115,4.74777,-59.9025,0.684257,0.682524,0.685984,72749,0.000384885,115,4.5574,-59.9213
run_57,meshscan_m100V,68317,67191,,,,,,215,,,,,,,,125,,,0.00717382,0.00684756,0.00751514,66910,0,135,7.17572,-60.6013
run_57,meshscan_m80V,67949,67127,,,,,,225,,,0.0145483,0.0140847,0.0150267,66743,0,105,5.93506,-60.0891,0.0210366,0.0204812,0.0216064,66836,0,115,6.38999,-60.2222
run_57,meshscan_m90V,68971,68347,,,,,,225,,,0.00867529,0.00831935,0.009046,67894,1.47288e-05,115,6.3163,-59.7608,0.012036,0.0116178,0.0124687,68046,4.40878e-05,115,7.08031,-59.9689
run_58,operating_00,171441,170506,0.138995,0.138154,0.139839,169870,0.000253135,225,6.04079,-59.8151,0.474115,0.472902,0.475328,170214,0.000317248,115,4.7524,-59.9178,0.680134,0.679,0.681267,170212,0.000446502,135,4.66328,-59.9449
run_58,operating_01,171996,169272,0.141982,0.141132,0.142836,168979,0.000207126,225,5.82963,-59.6177,0.475907,0.47469,0.477125,169075,0.000201094,115,4.72113,-59.9089,0.67806,0.67692,0.679198,169106,0.000390288,135,4.57013,-59.9484
run_58,operating_02,171941,166294,0.139692,0.13884,0.140549,165786,0.000235243,225,5.87602,-59.7749,0.477406,0.476177,0.478635,166016,0.000252988,115,4.78383,-59.8555,0.679787,0.678638,0.680934,166024,0.000409579,135,4.5509,-59.9191
run_61,meshscan_m00V,159368,158564,0.0777199,0.0770457,0.0783995,157926,0.000113977,225,5.77181,-59.6457,0.438546,0.437296,0.439797,158273,0.000227455,115,4.00543,-60.0012,0.584288,0.583045,0.585529,158285,0.000398016,135,3.93769,-59.9628
run_61,meshscan_m10V,155390,154523,0.0441696,0.0436457,0.0446994,154020,9.08973e-05,225,6.10607,-60.0022,0.314537,0.313353,0.315724,154268,5.834e-05,115,4.20409,-60.0878,0.422675,0.421415,0.423937,154265,0.000168541,135,4.13205,-59.9771
run_61,meshscan_m20V,160009,159232,0.0251773,0.0247838,0.0255768,158635,1.89113e-05,225,6.52079,-59.7053,0.205166,0.204152,0.206184,158886,0.000106995,115,4.366,-60.0626,0.272164,0.271046,0.273285,158893,0.000151045,135,4.30249,-59.9744
run_61,meshscan_m30V,9312,6117,,,,,,185,,,0.105574,0.101623,0.109656,6100,0,115,9.58365,-60.8477,0.114244,0.110153,0.118463,6101,0.000491723,135,12.2178,-60.8466
run_61,meshscan_m40V,101156,100667,0.00845411,0.00816482,0.00875338,100188,9.98124e-06,175,7.02676,-58.9946,0.0710064,0.0701962,0.0718252,100667,3.9735e-05,115,4.77151,-60.1069,0.0907651,0.0898575,0.0916809,100391,6.97274e-05,135,4.78414,-59.9395
run_61,meshscan_m50V,102310,100718,0.00444064,0.00423087,0.00466051,100436,0,195,7.41295,-59.831,0.041081,0.0404547,0.0417166,100533,1.9894e-05,115,5.23685,-60.316,0.0524861,0.0517823,0.0531988,100560,4.97216e-05,135,5.13969,-60.046
run_61,meshscan_m60V,101166,100675,,,,,,195,,,0.0237882,0.0233068,0.0242791,100302,0,115,5.57094,-60.3773,0.0327245,0.0321626,0.0332958,100353,4.98241e-05,135,5.63967,-59.8176
run_61,meshscan_m70V,103575,101901,,,,,,245,,,0.0155543,0.0151666,0.0159517,101901,1.96269e-05,115,5.89893,-60.2319,0.0184689,0.018047,0.0189004,101901,9.81345e-06,105,5.73224,-59.8954
run_61,meshscan_m80V,97588,97151,,,,,,175,,,0.00865201,0.00835403,0.00896033,96625,1.03493e-05,115,6.4372,-59.958,0.0117229,0.0113767,0.0120793,96734,4.13505e-05,135,7.00601,-59.9494
run_61,meshscan_m90V,100842,99236,,,,,,2785,,,,,,,,2715,,,0.00672991,0.00646961,0.0070004,98664,0,105,6.11403,-60.6845
run_62,driftscan_gap150V,42129,41412,0.0531046,0.0519997,0.0542315,41277,0.000290719,365,6.44284,-59.7422,0.423392,0.420952,0.425836,41347,0.000193484,155,4.94373,-60.0701,0.508912,0.506441,0.511383,41347,0.000677195,225,4.79375,-60.0556
run_62,driftscan_gap200V,14817,14748,0.0683255,0.0662409,0.0704698,14709,0.000203957,335,6.88668,-59.389,0.434446,0.430334,0.438568,14736,0,135,5.011,-60.0869,0.541463,0.537322,0.545599,14736,0.000475027,155,5.11523,-59.907
run_63,operating_00,73054,72327,0.0818152,0.0807927,0.0828493,72016,0.000111086,195,6.46643,-59.5466,0.437601,0.435748,0.439456,72157,0.000166304,105,5.04444,-59.9778,0.579308,0.577463,0.581152,72174,0.000221686,115,4.98835,-60.0429
run_63,operating_01,36735,36450,0.084063,0.0826047,0.0855444,36318,8.26037e-05,195,6.53069,-59.6367,0.439896,0.437284,0.442511,36445,0.000329263,105,4.8629,-60.0941,0.582055,0.579456,0.58465,36445,0.000329263,115,4.74361,-60.0466
run_63,operating_02,59940,59503,0.0808399,0.0797191,0.081975,59290,0.000101198,205,6.41396,-59.7961,0.440731,0.438687,0.442777,59424,0.000100969,115,4.82227,-59.9632,0.580665,0.578631,0.582696,59425,0.000218763,115,4.89163,-59.982
run_63,operating_03,74991,74298,0.0780866,0.0770995,0.0790851,74046,0.000108041,225,6.59456,-59.7114,0.435272,0.433445,0.4371,74156,0.000161821,115,4.80804,-59.9253,0.583086,0.581268,0.584902,74164,0.000242705,115,4.80304,-59.9263
run_64,cfg_gain3.0_peaktime200_opt,99372,98798,0.0858228,0.0849304,0.0867236,98715,0.000121562,195,5.83658,-59.6927,0.461344,0.459752,0.462936,98664,0.000233114,105,3.95742,-60.0141,0.607593,0.606032,0.609152,98668,0.00042567,115,3.91007,-59.9788
run_65,cfg_gain3.0_peaktime200_deflt,143614,142796,0.0172643,0.016919,0.0176164,142375,2.80948e-05,175,7.0634,-60.2728,0.123298,0.122426,0.124176,142419,4.21292e-05,95,4.52711,-60.2243,0.197894,0.196837,0.198955,142445,0.000133385,115,4.51108,-59.8819
run_66,cfg_gain4.5_peaktime200_opt,150397,148362,0.104641,0.103845,0.105442,148288,0.000175334,195,5.18742,-59.0227,0.509394,0.508092,0.510695,148294,0.000209044,95,4.05973,-59.893,0.736209,0.735059,0.737355,148318,0.000350598,115,3.94033,-59.946
run_67,cfg_gain4.5_peaktime200_deflt,150039,148217,0.0298145,0.0293724,0.030263,148116,2.70059e-05,205,6.20233,-58.8438,0.233753,0.232651,0.234857,148131,0.000121514,95,4.31997,-60.1161,0.353364,0.35212,0.35461,148187,0.00022944,115,4.22454,-59.9882
run_71,cfg_gain4.5_peaktime50,5,5,,,,,,,,,,,,,,-75,,,,,,,,-25,,
