run,sub,capture,station,gas,start,chip,mesh,drift,mu_ns,sigma_ns,contrast,n_triggers,eff,eff_corr,accidental
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00020_20260801054345,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.55304790131346,21.889100583511617,33.098842254384216,151887,0.31329870232475454,0.32349642077784346,0.03152343518536807
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00020_20260801054345,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,120.96464552652584,28.393348514977603,22.643786231545068,151882,0.4383337064299917,0.4832925598716543,0.0930261650491829
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00031_20260801055155,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,213.18912249986934,67.15320657113118,10.57327099790424,147203,0.05760072824602759,0.05868632336655592,0.018498264301678637
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00031_20260801055155,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,110.96230863660128,22.07398320214243,30.88789625620458,151584,0.3084626345788474,0.3182721629274668,0.0308211948490606
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00031_20260801055155,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,120.80575720253347,28.45667992567724,23.921080418136608,151615,0.4409194340929328,0.4861217158605846,0.09298552254064568
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00047_20260801060347,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,208.44945148040773,65.0344254524263,12.315561301106017,161039,0.05635901862281807,0.0573889180456405,0.017945963400170146
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00047_20260801060347,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.41573255705656,21.88761177449782,34.00975129719091,165558,0.3148624651179647,0.325090895484225,0.031463293830560894
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00047_20260801060347,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,121.26133208546243,28.39075882212245,23.393466315012386,165582,0.4345460255341764,0.4794405538490242,0.09363940524936286
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00012_20260801053749,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,206.03656901765186,62.367730998123086,11.292893363914478,161097,0.05971557508830083,0.06082371239615078,0.018218837098145837
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00012_20260801053749,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.28811635200913,22.125500768969474,30.564613932312053,165068,0.31574260304844065,0.32607797992942766,0.03169602830348705
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00012_20260801053749,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,120.74895699294619,28.348242669426295,21.848046904495153,165092,0.4370351076975262,0.4819867063028157,0.0932631502435006
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00022_20260801054514,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,213.8731871167941,66.55415863709095,10.934513966825572,152058,0.056813847347722574,0.057921943827984095,0.019130857962093416
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00022_20260801054514,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.24500076440447,21.913061008311637,31.528568034391526,156269,0.3068554863728571,0.3168180767070794,0.031445776193614855
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00022_20260801054514,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,121.19405595669015,28.395781492057434,22.973204579450275,156289,0.43652464344899516,0.48061993659739344,0.09174670002367408
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00033_20260801055324,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,210.4356290760899,63.51129893018982,9.615814289355196,151424,0.05736871301775148,0.058434176627674674,0.018233569315300086
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00033_20260801055324,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.2993317259225,21.90463046057114,34.456286796511066,155303,0.3079850357043972,0.31821145351003244,0.03213717700237599
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00033_20260801055324,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,120.76739540321519,28.622215581428154,22.461042219169887,155346,0.4357563117170703,0.48093127015928505,0.09393225445135375
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00003_20260801053109,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,202.70325530671232,58.35840420211151,9.378026573320302,163262,0.05835405666964756,0.059356776155111396,0.016893092085114716
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00003_20260801053109,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.016365818776,21.756073881816267,32.17964962189869,167422,0.30595142812772513,0.3156808125130961,0.030820322299339387
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00003_20260801053109,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,120.67047188096218,28.47835116724974,21.923155396339222,167451,0.43505861416175473,0.47918201431277624,0.092080668374629
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00028_20260801054941,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,216.90981048330835,66.56965379608751,10.712193705435432,148021,0.05613392694279866,0.05723713215033617,0.019274292161247392
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00028_20260801054941,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.18035781543458,21.919459030056057,32.22506042644908,151834,0.3088767996627896,0.31881713120326305,0.031178787359879875
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00028_20260801054941,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,121.08521317353295,28.484668445960526,22.51751642689249,151867,0.44119525637564444,0.4867317066083583,0.09355554531267492
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00014_20260801053918,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,205.79972212397334,62.21013974569379,11.157094384707287,161452,0.0581720882986894,0.05925626821789551,0.018296459628868018
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00014_20260801053918,P2_MID,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,111.22876210118088,21.664229308245176,33.33879794985221,165419,0.31441974622020447,0.3247581999712775,0.03183431165706479
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00014_20260801053918,P2_OUT,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,120.9017242625665,28.529869380490748,22.934847248455725,165457,0.43570837135932594,0.4809016196600581,0.09397607837685927
run_47,cfg_gain4.5_peaktime200_deflt,enp4s0f1_00007_20260801053407,P2_IN,Ar/CO2/Iso 93/5/2,2026-08-01 05:29:31,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450.0,750.0,201.95949855489857,61.94120337667044,10.718678147249575,147657,0.05838531190529403,0.05948799337565554,0.01853620214415842
