station,gas,mesh,drift,n_captures,sigma_ns,mu_ns,contrast,eff
P2_MID,Ar/CO2/Iso 93/5/2,450.0,800.0,51,21.91,113.92,29.12,0.42
P2_MID,Ar/CO2/Iso 93/5/2,450.0,850.0,49,22.28,114.62,27.5,0.42
P2_OUT,Ar/CF4/Iso 88/10/2,350.0,650.0,14,34.86,119.98,10.27,0.01
P2_OUT,Ar/CF4/Iso 88/10/2,360.0,660.0,26,34.57,120.75,11.14,0.02
P2_OUT,Ar/CF4/Iso 88/10/2,370.0,670.0,24,39.1,121.8,10.55,0.02
P2_OUT,Ar/CF4/Iso 88/10/2,380.0,680.0,27,39.02,121.67,11.39,0.03
P2_OUT,Ar/CF4/Iso 88/10/2,390.0,690.0,29,38.36,122.35,11.28,0.04
P2_OUT,Ar/CF4/Iso 88/10/2,400.0,700.0,29,38.33,123.19,12.83,0.07
P2_OUT,Ar/CF4/Iso 88/10/2,410.0,710.0,29,36.06,123.75,15.57,0.12
P2_OUT,Ar/CF4/Iso 88/10/2,420.0,720.0,48,34.32,123.84,18.39,0.19
P2_OUT,Ar/CF4/Iso 88/10/2,430.0,730.0,41,32.04,123.38,21.61,0.3
P2_OUT,Ar/CF4/Iso 88/10/2,440.0,740.0,41,30.06,122.28,22.75,0.43
P2_OUT,Ar/CF4/Iso 88/10/2,450.0,600.0,28,69.54,205.25,9.32,0.48
P2_OUT,Ar/CF4/Iso 88/10/2,450.0,650.0,9,44.37,158.74,13.63,0.52
P2_OUT,Ar/CF4/Iso 88/10/2,450.0,750.0,405,25.67,113.39,23.92,0.57
P2_OUT,Ar/CO2/Iso 93/5/2,350.0,650.0,41,38.43,122.63,8.58,0.01
P2_OUT,Ar/CO2/Iso 93/5/2,360.0,660.0,48,39.74,123.67,12.33,0.02
P2_OUT,Ar/CO2/Iso 93/5/2,370.0,670.0,51,40.5,123.4,12.26,0.03
P2_OUT,Ar/CO2/Iso 93/5/2,380.0,680.0,51,39.01,123.76,13.84,0.05
P2_OUT,Ar/CO2/Iso 93/5/2,390.0,690.0,49,37.78,124.95,14.66,0.08
P2_OUT,Ar/CO2/Iso 93/5/2,400.0,700.0,50,35.72,125.71,17.17,0.12
P2_OUT,Ar/CO2/Iso 93/5/2,410.0,710.0,51,32.86,124.83,19.49,0.2
P2_OUT,Ar/CO2/Iso 93/5/2,420.0,720.0,50,30.73,123.84,21.96,0.32
P2_OUT,Ar/CO2/Iso 93/5/2,430.0,730.0,50,29.07,122.8,22.32,0.43
P2_OUT,Ar/CO2/Iso 93/5/2,435.0,735.0,74,35.93,-104.82,12.17,0.16
P2_OUT,Ar/CO2/Iso 93/5/2,440.0,740.0,51,27.71,121.7,22.99,0.54
P2_OUT,Ar/CO2/Iso 93/5/2,450.0,600.0,50,90.22,227.07,6.15,0.51
P2_OUT,Ar/CO2/Iso 93/5/2,450.0,650.0,50,50.57,169.87,11.16,0.55
P2_OUT,Ar/CO2/Iso 93/5/2,450.0,700.0,51,33.43,135.85,15.0,0.59
P2_OUT,Ar/CO2/Iso 93/5/2,450.0,750.0,1644,26.43,110.8,22.8,0.59
P2_OUT,Ar/CO2/Iso 93/5/2,450.0,800.0,51,24.08,112.95,24.08,0.63
P2_OUT,Ar/CO2/Iso 93/5/2,450.0,850.0,49,23.37,110.51,24.87,0.66
