run_no,sg,snt,vmm_id,rate_on_khz,rate_off_khz,rate_on_std_khz,rate_off_std_khz,trig_rate_on_khz,n_on_bins,n_off_bins,n_good_channels
149,3.0,200,12,0.06191970507575417,0.00019575869314060552,0.05942767801113745,0.00024292421426496812,27.855066312997348,9425,34373,59
149,3.0,200,13,0.027155682513772702,0.00016000930963256044,0.02426783445637284,0.00021098887450965618,27.855066312997348,9425,34373,52
149,3.0,200,14,0.04629885057471264,0.00028753188064275256,0.0420550192091556,0.00013237311406195224,27.855066312997348,9425,34373,60
149,3.0,200,15,0.07105923961096375,0.00029221902203602955,0.06749550564154158,0.0002764702499338396,27.855066312997348,9425,34373,45
149,3.0,200,10,0.05759308379998035,9.805284293981818e-05,0.032553822070708914,4.825966047114648e-05,27.855066312997348,9425,34373,27
149,3.0,200,11,0.054429708222811665,5.6328228922874275e-05,0.021438584627636214,3.520097654111975e-05,27.855066312997348,9425,34373,47
149,3.0,200,8,0.006443854995579134,6.594323063644915e-05,0.003221801323498218,1.6684268208657237e-05,27.855066312997348,9425,34373,30
149,3.0,200,9,0.005296009932840453,4.7043356023499395e-05,0.002438485121303217,1.949577661836712e-05,27.855066312997348,9425,34373,47
156,3.0,100,12,0.020007763704560994,0.0004520985665749217,0.01800566355986039,0.00022128119287016066,28.215060625398852,14103,29842,59
156,3.0,100,13,0.009755153022542939,0.0005252019610976785,0.007728155754171318,0.0002476206884220037,28.215060625398852,14103,29842,52
156,3.0,100,14,0.016003687158760545,0.0008243415320688962,0.013350159848974107,0.00042848912730992497,28.215060625398852,14103,29842,60
156,3.0,100,15,0.02557217928415546,0.0012175234010231666,0.022408216422088015,0.00041578589903739575,28.215060625398852,14103,29842,45
156,3.0,100,10,0.13615700363200897,0.00041080555121169026,0.07402624520342921,5.665746864604607e-05,28.215060625398852,14103,29842,27
156,3.0,100,11,0.13275129329658245,0.0003514966055266959,0.049993795879551266,7.146128197628547e-05,28.215060625398852,14103,29842,47
156,3.0,100,8,0.0055732822803658795,0.00023456872863749078,0.002463821745079429,3.350981837678438e-05,28.215060625398852,14103,29842,30
156,3.0,100,9,0.0043207948814270696,0.00018109561420645185,0.0017265659895243503,4.821945485631678e-05,28.215060625398852,14103,29842,47
158,3.0,50,12,0.0041475290741307775,0.00015489818706707943,0.003955412862014343,0.00010709150669890088,10.065462274176408,14115,29872,59
158,3.0,50,13,0.001949644404479686,0.00018798154175765316,0.001387295325587155,0.00016190331990459958,10.065462274176408,14115,29872,52
158,3.0,50,14,0.003212894084307474,0.00017463399392965542,0.002752577985338824,0.0001249714554363402,10.065462274176408,14115,29872,60
158,3.0,50,15,0.004759318298106821,0.00013911206332202584,0.00429364762427123,0.00014836577828147247,10.065462274176408,14115,29872,45
158,3.0,50,10,0.04473307881030162,0.0006992798904957449,0.02494963729562641,0.00041084036396727005,10.065462274176408,14115,29872,27
158,3.0,50,11,0.043380740271779676,0.00025926221381440245,0.017256537541435423,9.173495553836475e-05,10.065462274176408,14115,29872,47
158,3.0,50,8,0.0011902231668437832,7.141581860382075e-05,0.0006774161722828388,1.8805011991555878e-05,10.065462274176408,14115,29872,30
158,3.0,50,9,0.0008200119082611677,6.908910642856328e-05,0.0003947941015328147,1.0707598076881867e-05,10.065462274176408,14115,29872,47
152,4.5,200,12,0.07711104231884483,0.0013119371130151981,0.0733340376281493,0.0014176078556732612,26.290284232140927,9253,34688,59
152,4.5,200,13,0.036067304574815655,0.0012180004612546125,0.030462626389485516,0.0006079487654222234,26.290284232140927,9253,34688,52
152,4.5,200,14,0.06995028639360208,0.0035425315190651904,0.059366005759847545,0.00033632153550112895,26.290284232140927,9253,34688,60
152,4.5,200,15,0.09923988616304623,0.0038188038130381303,0.08855511685917584,0.0017994780859273416,26.290284232140927,9253,34688,45
152,4.5,200,10,0.1649835288655131,0.000521046877135438,0.09082892247266741,0.00010669713454416402,26.290284232140927,9253,34688,27
152,4.5,200,11,0.1676925942362569,0.00033122006751982417,0.06313120928267422,8.129415491408178e-05,26.290284232140927,9253,34688,47
152,4.5,200,8,0.011117115169854823,0.0005535055350553505,0.005127170314575038,0.0001336511273886355,26.290284232140927,9253,34688,30
152,4.5,200,9,0.00824574433593705,0.00030729861819894794,0.003598901854826417,0.00020542692706771148,26.290284232140927,9253,34688,47
155,6.0,200,12,0.11022952677812412,0.0013487494469900682,0.10133806568771651,0.0008197792652915304,27.88289883819779,14116,29921,59
155,6.0,200,13,0.05136424570045993,0.0011877431081334694,0.042337584915250685,0.0005937658161295979,27.88289883819779,14116,29921,52
155,6.0,200,14,0.10276754510248418,0.0035883381794280496,0.08819362418308337,0.001156397245199002,27.88289883819779,14116,29921,60
155,6.0,200,15,0.13581436352759674,0.003738734222341054,0.12252037779057355,0.002289340030832636,27.88289883819779,14116,29921,45
155,6.0,200,10,0.1792607285664809,0.00045923400757798,0.09671088243321531,7.310521687472518e-05,27.88289883819779,14116,29921,27
155,6.0,200,11,0.18051795759150624,0.0003228359502718862,0.06864462533482633,9.127501848325438e-05,27.88289883819779,14116,29921,47
155,6.0,200,8,0.017072825162935675,0.00036206454775352873,0.007595968136322844,5.183601316414042e-05,27.88289883819779,14116,29921,30
155,6.0,200,9,0.013491556284403393,0.00024106032410169475,0.005676417089288661,7.613007190498242e-05,27.88289883819779,14116,29921,47
